id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,about_the_job
3773502347,Site Reliability Engineer / DevOps,htthttps://www.linkedin.com/jobs/view/3773502347,Catalyst,https://www.linkedin.com/company/insidecatalyst/life," ",2 weeks ago,66,,On-site,,"201-500 employees · Technology, Information and Internet","At Catalyst, People are the heartbeat for our company. We believe that good quality people will have a positive impact to our business.
We are looking for a Site Reliability Engineer / DevOps to join our growing team. 
If you are passionate about being part of the team, building some of the most critical products, Working alongside teams in the industry across product, engineering and design, Let’s join us! 

Job Description: 
Create monitoring and alerting system and monitor the system reliability
Maintain legacy application to keep running during the migration period
Provide technical assistance to improve system performance, capacity, reliability, and scalability
Create internal tools to automate or simplify workloads
Perform root cause analysis of reliability issues
Provide mentoring to any team that needs your expertise

Requirements:
Minimum 5 years experience as DevOps/Infra
Deep knowledge of Linux OS
Have knowledge about software version control (Git)
Able to write scripts (Bash/Python/Go)
Have knowledge about databases (MySQL, PostgreSQL, MongoDB, Redis, Elasticsearch)
Have knowledge about messaging system (RabbitMQ, Kafka)
Able to create automation tools (Ansible, Terraform)
Have knowledge about cloud technologies (AWS, GCP)
Have knowledge about monitoring system (Prometheus, Grafana, elastic, kibana)
Have knowledge about container orchestration (Docker, K8s)
Have knowledge about ci/cd (github action, gitlab-ci)
Have good knowledge about osi layer, infra & networking fundamental"
3781596760,Cloud Engineer (Managed Service On-Site),htthttps://www.linkedin.com/jobs/view/3781596760,Logicalis Asia,https://www.linkedin.com/company/logicalis-asia/life," ",2 weeks ago,27,,On-site,,"5,001-10,000 employees · IT Services and IT Consulting","Why choose iZeno?

iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specialising in digital transformation, application modernisation, DevOps, customer experience and hybrid cloud solutions.

With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients' existing IT frameworks.

With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge. 

About the role:

Perform administrative tasks related to install Linux (RedHat) servers from scratch, configure, patching, and has good troubleshooting skills. 
Performance monitoring for all Linux servers (OS, CPU, Memory, Network, Disk and Process), detect, diagnose, report and resolve Linux server related hardware and OS problems. 
Perform hardening and security configuration of Linux (RedHat) servers. 
Establish and maintain documentation and standards
Works as part a team and provide the support when required

What we are looking for:

Bachelor's degree or Diploma in Computer Science, related technical field, or equivalent practical experience
RedHat certifications is preferred
Knowledge of best practice especially for RedHat OpenShift Container Platform, RedHat OS, and IT operations in an always-up, always-available service. 
Hands-on experience with Linux (RedHat) environment, managing, troubleshooting and configuring servers will be advantageous
Working experience and knowledge with automation/configuration management using ansible. 
Working experience in scripting, Bash, Shell, and basic DevOps. 
Working experience with applications such as web/proxy servers, LDAP, database (Cassandra, PostgreSQL), Kafka, etc. 
Work effectively in a fast-paced implementation environment
Good analytical and problem solving attitude, work independently and as part of a team
Understand and willing to adapt with new technology (cloud computing, container, or configuration and automation management). 
Work on 24/7 rotation shifts based on customer site

What we have to offer:

An exciting job with latest technology
Continuous training& development of soft and hard skills
A competitive salary, in line with your profile
A package of benefits including healthcare insurance
An awesome team of colleagues& regular team building activities. 
The ability to work with the world’s leading companies in technology and innovation. 
An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners. 

Posting Code:"
3783348983,Senior DevOps Engineer,htthttps://www.linkedin.com/jobs/view/3783348983,FINETIKS,https://www.linkedin.com/company/finetiks/life," ",5 days ago,17,,On-site,,11-50 employees,"Company Description
FINETIKS' mission is to help our generation build great financial habits to live financially well.
FINETIKS aims to be a platform where its users can access all their finances in a single place, with personal insights to control and manage all their financial needs. We are building an inclusive community that shares and supports each other on their journey to reach their financial goals and build their financial literacy. We believe in open access and partnership with the financial ecosystem to provide our users access to financial products that will help them invest, grow, and protect their wealth over time.

This position is a mixed role between traditional DevOps and Security.

Role Description
Finetiks is looking for a full-time on-site DevOps Engineer to join their team in the Jakarta Metropolitan Area. The DevOps Engineer will be responsible for designing, implementing, and maintaining the infrastructure and security aspects of the company's infrastructure and applications. This role involves collaboration with cross-functional teams to ensure the integration of security practices into all company layers.

Qualifications
Bachelor's degree or higher in Computer Science or a related field
Experience in designing and implementing secure cloud solutions, particularly in GCP
Experience in building CI/CD pipelines using Gitlab
Experience in Kubernetes
Experience in working with security technologies such as WAF, IDS/IPS, Firewalls, DLP
Knowledge of secure web application development practices and client-server communication protocols (HTTP, TLS, SSL)
Experience with automation tools such as Ansible, Terraform, or CloudFormation
Strong knowledge of networking concepts like LAN, WAN, TCP/IP, DNS, DHCP
Experience with scripting languages such as Python or Bash
Experience with penetration testing tools like OWASP ZAP, BurpSuite, and vulnerability scanners like Nessus, Qualys
Possess excellent analytical and troubleshooting skills
Highly motivated, proactive, and able to work independently as well as collaboratively"
3784481602,DevOps Senior Engineer,htthttps://www.linkedin.com/jobs/view/3784481602,Elitery,https://www.linkedin.com/company/elitery/life," ",3 days ago,60,,Hybrid,,51-200 employees,"Basic Qualifications:

2+ years of experience in deploying large scale applications
2+ years of experience in AWS/GCP/Cloud Environment
Solid basic knowledge, deep understanding of computer principles
Master at least one language such as Shell script, Go, Java, PHP, Python, etc
Have good communication skills and team awareness, positive and optimistic, and have a sense of responsibility
Excellent problem analysis and problem-solving skills, able and willing to seek challenges, acquire new knowledge
Experience using source code management tools eg GIT, SVN, etc
Experience using automation tools, such as Ansible, Chef, Puppet, Shell script, etc
Having Cloud Certification is a big plus

 Responsibilities:

Analyze and verify the solutions for system requirements and specification
Deploying the solutions to make production grade infrastructure
Creating and maintaining CI/CD application from developer side to production
Deploying infrastructure using automation like Terraform, Cloudformation, etc
Creating documentation regarding servers and application installation and maintenance
Automating tasks that occurred multiple times
Working with Project Managers and other teams using agile methodology
Participating in design, reviews and recommending new technology to make services easily maintainable"
3791837604,Site Reliability Engineer (Marketplace) - Sea Labs,htthttps://www.linkedin.com/jobs/view/3791837604,Shopee,https://www.linkedin.com/company/shopee/life," ",,10,,On-site,,"5,001-10,000 employees · Technology, Information and Internet","About The Team

The Engineering and Technology team is at the core of the Shopee platform development. The team is made up of a group of passionate engineers from all over the world, striving to build the best systems with the most suitable technologies. Our engineers do not merely solve problems at hand; We build foundations for a long-lasting future. We don't limit ourselves on what we can or can't do; we take matters into our own hands even if it means drilling down to the bottom layer of the computing platform. Shopee's hyper-growing business scale has transformed most ""innocent"" problems into huge technical challenges, and there is no better place to experience it first-hand if you love technologies as much as we do.

About Team

The mission of SRE (Site Reliability Engineer) team is to ensure the efficient and sustainable operation of Shopee 24x7, as well as to build and maintain large-scale, highly available, high-performance distributed systems based on system availability and performance. It is formed by combining traditional software engineering and technical operation. The SRE team needs to dive deep into the Shopee development lines to ensure that the system is highly scalable under rapid evolution of the System. From the perspective of stability and performance, it includes the design of business development, components of the basic platform (middleware, container scheduling, caching, object storage, etc.), OS optimization, data center and network optimisation. We optimise the inefficient and complicated operation in the traditional operation and maintenance mode through engineering and service means, and are committed to building a sound monitoring system to improve the efficiency of incident handling.

Job Description

Deep dive into development lines, learn and understand the mechanism of every application component, and promote product scalability, stability, and performance
Set up, manage, and maintain Shopee product/middleware/big-data applications and services
Perform regular and ad-hoc server-side deployments, make improvements of the performance, and troubleshoot
Design and develop automated technical operation platform
Manage Capacity and Resource
Responsible for the full-chain stress test to enhance the performance and remove redundancy of applications
Prepare routine operation documentation

Requirements

Bachelor's degree or above in Computer Science, Engineering, Information Systems or related fields
More than 2 years of relevant experience (candidates with no working experience are welcomed to apply)
Extensive and hands-on knowledge with Linux operating systems (Ubuntu, CentOS, etc.)
Highly familiar with Computer Network (TCP/IP, DNS, etc.), Computer Organisations, and OS
Hands-on experience with at least one of the programming languages: Bash, Python, Go
Strong analytical and problem-solving skills with the ability to thrive in a dynamic work environment
Passionate and possess a strong sense of responsibility
Fast learning ability and a good team player
Agile and detail-oriented

Skills Below Are Optional But Preferred

Experience with automation tools like Ansible, SaltStack
Experience with monitoring tools like Prometheus, Zabbix, Grafana etc
Experience with load balancing tools like LVS, Nginx, Openresty or HAProxy
Experience with container technology such as Docker, Kubernetes
Experience with High Availability system design and Server Deployment Process
Experience with SRE
Experience with Ops Paas platform or Ops automation platform (ie:CMDB)"
3779349269,Cloud Engineer,htthttps://www.linkedin.com/jobs/view/3779349269,iZeno,https://www.linkedin.com/company/izeno-pte-ltd/life," ",1 week ago,121,,Hybrid,,51-200 employees · IT Services and IT Consulting,"iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specialising in digital transformation, application modernisation, DevOps, customer experience and hybrid cloud solutions.

With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients' existing IT frameworks.
With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge.

About the role:
Perform administrative tasks related to install Linux (RedHat) servers from scratch, configure, patching, and has good troubleshooting skills.
Performance monitoring for all Linux servers (OS, CPU, Memory, Network, Disk and Process), detect, diagnose, report and resolve Linux server related hardware and OS problems.
Perform hardening and security configuration of Linux (RedHat) servers.
Establish and maintain documentation and standards.
Works as part a team and provide the support when required.

What we are looking for:
Bachelor's degree or Diploma in Computer Science, related technical field, or equivalent practical experience.
RedHat certifications is preferred.
Knowledge of best practice especially for RedHat OpenShift Container Platform, RedHat OS, and IT operations in an always-up, always-available service.
Hands-on experience with Linux (RedHat) environment, managing, troubleshooting and configuring servers will be advantageous.
Working experience and knowledge with automation/configuration management using ansible.
Working experience in scripting, Bash, Shell, and basic DevOps.
Working experience with applications such as web/proxy servers, LDAP, database (Cassandra, PostgreSQL), Kafka, etc.
Work effectively in a fast-paced implementation environment.
Good analytical and problem solving attitude, work independently and as part of a team.
Understand and willing to adapt with new technology (cloud computing, container, or configuration and automation management).

What we have to offer:
An exciting job with latest technology.
Continuous training & development of soft and hard skills.
A competitive salary, in line with your profile.
A package of benefits including healthcare insurance.
An awesome team of colleagues & regular team building activities.
The ability to work with the world’s leading companies in technology and innovation.
An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners.

Posting Code: #LI-RD1"
3782470632,DevOps Engineer (Mid/Sr),htthttps://www.linkedin.com/jobs/view/3782470632,JULO,https://www.linkedin.com/company/juloindonesia/life," ",1 week ago,133,,Remote,,"501-1,000 employees · Financial Services","We are looking for
someone with a passion for User Interface and can-do attitude to build, maintain, and monitor automated cloud computing infrastructure for various JULO applications and services.

Responsibilities
Analyze and systematically approach requirements and bugs reported, always coming up with practical short term and long term solutions that minimize complexity and maximize value.
Design and build software infrastructure using open source software or cloud services to allow transporting massive data inflow smoothly and making it available for machine learning based underwriting and business intelligence.
Develop and setup software and tool chains that will help end to end evolution and scaling of JULO products.
Passionate about automation and follow ‘Infrastructure as Code’
Include security, maintainability, reusability, and testability when developing software solutions and code reviewing.
Factor Linux/Unix OS system internals, data storage, computing resources, microservices in the produced software architecture.
Identify things that can go wrong early but also investigate bugs reported in production.
Apply and tailor software development concepts and best practices.
Work well and closely with
The Product team
Backend Engineers
QA engineers
Marketing team

Requirements
Min 2 years of backend software development and 1 year cloud infrastructure experience and teams.
Practical problem solver, highly analytical, great team player, have excellent work ethic, and have strong security ethics.
Can communicate clearly, timely, and professionally:
With technical and non-technical users,
With leadership roles and individual contributors
In English and Indonesian.
Expert in multi-tasking, both in planning, executing, and managing projects thoroughly in issue tracking tools.
Have working experience in developing, testing, debugging, and troubleshooting system-level scripts in Python or Bash.
Highly skilled in all kinds of infrastructure tools that turns source code in a text file to infrastructure resources in production, including but not limited to: linux, git, ansible, docker, kubernetes, alibaba cloud.
Experience in database management, be it RDBMS, NoSQL, in-memory data storage, or big data infrastructure.
Highly skilled in working on Linux-based OS and open source IDE."
3783345728,Cloud Engineer,htthttps://www.linkedin.com/jobs/view/3783345728,Packet Systems Indonesia ,https://www.linkedin.com/company/packet-systems-indonesia/life," ",5 days ago,39,,On-site,,201-500 employees · IT Services and IT Consulting,"Job Specification: 
Requirement : 
Hold a bachelor's degree (S-1 degree) in Information Technology Computer Engineering or Telecommunication from a reputable university with a minimum IPK of 3.0.
5 years of working experience as ·engineer is a plus.
Deep knowledge of the Cloud environments (Azure, AWS, etc) is a must.
Having Cloud Certification is a must ·
Deep knowledge of Virtualization, server, storage & backup technology such as VMWare, Cisco UCS, DELL, Pure Storage, Netapp & Veeam. 
Preferably having Experienced in administering physical and virtual environments.
Preferably have Experienced in Linux Administration.
Minimum 5 years of relevant experience operating in a similar role. 
Have a passion for technology and wants to make a difference with technology solutions. 
Strong analytical and troubleshooting skills.
Excellent interpersonal & communication skills.
Fluent in English, good communication skills.
Competent with Microsoft Office applications i.e. Microsoft Visio, Word, Excel, and PowerPoint.
Ability to perform under pressure and tight time constraints; be able to work under limited guidance in line with a broad plan, or strategy. 
Leadership, teamwork, commitment, and service excellence are personal qualities.

Job Description: 
The role shall cover the following: 
For Project based: 
Support for a new installation, integration into the existing system, migration, and monitoring. Including all documentation related to the project (Site Survey, MoP, UAT, as build documentation).
 For Maintenance based: 
Support for troubleshooting problems in all PSI customers. Also, support for change requests in the customer network. Including reporting, documentation, and standby monitoring. 
Support for Onsite Resident Engineer on PSI Customer Site.
Provide server and system operation support, problem isolation, and troubleshooting for incidents. Proactively maintain and develop infrastructure technology for backend services."
3730897618,Senior Solutions Engineer,htthttps://www.linkedin.com/jobs/view/3730897618,Infobip,https://www.linkedin.com/company/infobip/life," "," ",154,,Hybrid,,"1,001-5,000 employees · IT Services and IT Consulting","At Infobip, we dream big. We value creativity, persistence, and innovation, passionately believing that it is through teamwork that we can all reach greater heights.

Since 2006, we have been innovating at the edge of technological possibilities and are now shaping global communications of the future. Through 70+ offices on six continents, Infobip’s platform is used by almost 70% of the population, making it the largest network of its kind and the only full-stack cloud communication platform globally.

Join us on our mission to create life-changing interactions between humans and online services with new and unseen solutions.

Why is this role important at Infobip?

The Senior Solutions Engineer is an individual contributor in the region that plays a vital role in crafting exceptional customer experiences by delivering tailored solutions and nurturing innovation. The engineer participates in activities surrounding Infobip’s product proposals, owns solution deployments, connectivity, integrations, & works to innovate on current solutions.

Solutions Engineers must have a passion for helping customers find creative ways to run their businesses more effectively. They find new ways to constantly improve the satisfaction and loyalty of our customers.

You Know You Are Doing a Good Job When

You are able to provide unwavering technical support to the sales team throughout the entire sales cycle.
You have the means to gather intricate technical prerequisites and present sophisticated technical solutions in a simple to understand manner.
You handle product demonstrations & proofs of concept (POCs) with ease.
You are skillfully able to align our customers' needs with the functionalities of our products.
You seamlessly deliver exceptional project implementation services for both our new & existing customer base.

More About You

You are a seasoned professional boasting at least 5 years of experience in roles such as presales, technical sales, system integration, or implementation.
Your technical know-how in networking, connectivity, programming logic, and APIs is considered advantageous.
Your exposure to communications platform as a service (CPaaS) or software as a service (SaaS) is highly valued.
You have a robust engineering background and a genuine passion for technology.
You are an effective communicator: your the ability to communicate fluently with clients & colleagues alike in both English and Bahasa is unmatched.

Why our employees choose us (and stay)? 

Never a dull moment – We serve and partner with the majority of the leading mobile operators, OTTs, brands, banks, social networks, aggregators and many more. Seriously, our clients are really cool. Work with the world’s leading companies and impact how they communicate with their users!
Opportunity knocks. Often. – Being a part of a growing company in a growing industry – we challenge you not to grow! Whether it’s horizontal, vertical, or angular, we want to support the path that you want to carve.
Learn as you grow – Starting from the Academy as an onboarding program, to internal education, education resources, e-learning to external education, we invest heavily in employee learning and development.
Connect globally – Work with people from all over the world. We put the “global” in globalization.
Compensation & Benefits – Competitive salary, travel allowance, expatriate compensation packages for your business trips, rewards and holiday bonuses, a team taking care of all the equipment you need, team buildings and other organized activities, organized sports, kitchen stocked with the usual suspects... Talk about a balanced lifestyle!

Infobip employees are people with diverse backgrounds, characteristics, and experiences that share the same passion and talent that helps us achieve our mission. That's why Infobip is committed to creating a diverse workplace and is proud to be an equal-opportunity employer. 

All qualified applicants will receive consideration for employment without regard to race, color, ancestry, religion, age, sex, sexual orientation, gender, gender identity, national origin, citizenship, disability, veteran status, or any other part of one's identity."
3782024141,"Technical Lead, DevOps (Bangkok based, relocation provided)",htthttps://www.linkedin.com/jobs/view/3782024141,Agoda,https://www.linkedin.com/company/agoda/life," ",1 week ago,16,,Full-time,,"5,001-10,000 employees · Software Development","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team:

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity:

DevOps Engineering team is tasked with creating automation into the Software Development Lifecycle concerning all Agoda’s R&D.

The team is responsible for maintaining all central Dev-related tooling chain and develop internal

tools/Web Portals in order to increase development efficiency and security. The impact of this engineering team affects all development in Agoda.

In this Role, you’ll get to:

Maintain CI/CD best practices and automating security testing at the speed of DevOps
Maintain all central Dev-related systems for source control, CI, Service Discovery, and more
Bridging the gap between Development and Operations
Full-stack development for internal portals and tooling

What you’ll Need to Succeed:

4+ years of experience and hands-on experience with the whole SDLC: Requirement, Design, Code, Test, Deploy
Great coding skills in a modern programming language (preferably Python/Go)
Knowledge of Development ecosystem tooling: Git/CI/Docker/Kubernetes
Passion for learning cutting-edge technologies and automating large scale processes
Software architecture design skills for maintaining High Availability and Fault Tolerance
Linux system administration skills

It’s Great if you have:

Experience with Configuration Management tools (preferably Ansible)
Experience coding a Full Stack application (preferably with React.js and Go)
Experience working with OpenStack
Experience working with Container orchestration (preferably Kubernetes)
Experience with Hashicorp tools (Consul / Vault)
Experience with both SQL/NoSQL databases (PostgreSQL, Elastic, MSSQL)

#sydney #melbourne #london #tokyo #dhaka #edinburgh #amsterdam #munich #moscow #kyiv #singapore #jakarta #dublin #saopaulo #bogota #colombo #taipei #warsaw #stockholm #copenhagen #seoul #hcmc #telaviv #hcmc

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
