id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,about_the_job
3765666639,Mgr-Marketing Communications I,htthttps://www.linkedin.com/jobs/view/3765666639,Sheraton Hotels & Resorts,https://www.linkedin.com/company/sheraton/life," "," ",46,,Full-time,,"1,001-5,000 employees · Hospitality","채용 번호 23207700

작업 카테고리 Sales & Marketing

위치 Sheraton Jakarta Soekarno Hatta Airport, Kawasan Bandara Soekarno-Hatta, Jl. Tol Prof. Sedyatmo No.KM 02, Pajang, Kec. Benda, Kota Tangerang, Banten, Indonesia 지도에서 보기

스케줄 Full-Time

원격 위치입니까? N

근무지 변경? N

직책 유형 Management

메리어트는 기회 균등 고용주입니다. 저희는 다양한 직원을 고용하고 포괄적인 문화를 유지하기 위해 노력하고 있습니다. 장애인 및 퇴역 군인과 같이 보호를 받는 상태 또는 해당 법률에 의해 보호를 받는 기타 상태로 인해 차별하지 않을 것을 약속합니다."
3638965546,Division Trade Marketer,htthttps://www.linkedin.com/jobs/view/3638965546,Valeo,https://www.linkedin.com/company/valeo/life," "," ",341,,On-site,,"10,001+ employees · Motor Vehicle Parts Manufacturing","Valeo is a tech global company, designing breakthrough solutions to reinvent the mobility. We are an automotive supplier partner to automakers and new mobility actors worldwide. Our vision? Invent a greener and more secured mobility, thanks to solutions focusing on intuitive driving and reducing CO2 emissions. We are leader on our businesses, and recognized as one of the largest global innovative companies.

Champion for structural market analysis:

Manage Market Studies : Information gathering by sales team / External research projects / customer survey
Market quantification and Competition analysis, including market watch and research if necessary
Compile information in the E1 of the given perimeter
Regularly updates the crosslists for given perimeter

Contribute to the implementation of the distribution strategy for the allocated perimeter:

Analysis and follow up of Customer development plans (CDPs)
Marketing contributor to the preparation of the sales budget and yearly listings
Monthly sales analysis, report and follow-up
Based on those analysis, prepare related marketing & sales action plans

Responsible of the product lifecycle in the given market:

Prepare & monitor the launch of new products/ranges with communication, promotion & marketing animation
Follow the sales of new products and monitor the range penetration through sales, range gaps & cross-selling

analysis, regular contacts with sales and customers

Anticipate & monitor the end of life of products/ranges and the switch to their replacement if any
According to each step of this lifecycle, draw up of monthly forecasts for procurement

Responsible for promotion, communication services and sales animation activities for the given market:

Efficient use of a delegated marketing-costs budget
Promotions design and follow-up:

○ Prepare / Review promotion calendar on an annual / quarter basis

○ Prepare cost/benefit analysis and KPI’s for all promotions

○ Use STORM & CRM to manage and monitor promotion launch and follow-up

Coordination of local deployment with trainers/Sales force, detection of synergies between areas
Definition and follow up of key customers, develop contacts with their product managers, marketing &

communication team, and according tailor made marketing plans if any

In liaise with Division’s communication officer, ensure the deployment of communication plan of the given perimeter :

Deploy and animate physical and digital communication plan with customers on regular basis
Look after communication (media, convents, open houses) trainings and factory visits

Liaise with product marketing, sales & technical trainers for sales and marketing operational tasks/ requests:

Day to day coordination / monitoring of monthly corrective action plans according to monthly results & follow up

with sales

Visit & contact clients and prospects on a regular base, incidentally alone
Participate to the customer’s portfolio analysis to ensure high level of service rate
Give support for product-technical questions in link with Technical Promoter to customers and customer service

Partner of the division’s product coordinator:

Contribution to the yearly price list exercise
Ensure the good level of margin of the allocated perimeter by comparing target selling conditions given by sales

team with purchasing conditions

Formulate range and pricing needs, based on market developments and competition analysis
Keep the pricing and ranges up-to-date

Job:

Aftermarket Trade Marketer

Organization:

Country/Division Pro VSA

Schedule:

Full time

Employee Status:

Regular

Job Type:

Permanent contract

Job Posting Date:

2023-04-17

Join Us !

Being part of our team, you will join:

 one of the largest global innovative companies, with more than 20,000 engineers working in Research & Development
 a multi-cultural environment that values diversity and international collaboration
 more than 100,000 colleagues in 31 countries... which make a lot of opportunity for career growth
 a business highly committed to limiting the environmental impact if its activities and ranked by Corporate Knights as the number one company in the automotive sector in terms of sustainable development

More information on Valeo: https://www.valeo.com"
3776608424,Marketing Metals Manager,htthttps://www.linkedin.com/jobs/view/3776608424,Indoprima Group,https://www.linkedin.com/company/indoprima-group/life," ",2 weeks ago,264,,On-site,,"10,001+ employees · Motor Vehicle Manufacturing","Deskripsi Pekerjaan :
Mengembangkan produk metals sesuai kebutuhan pasar
Menyusun strategi pemasaran dengan tim
Melakukan terobosan penjualan di area baru
Memenuhi target penjualan yang ditetapkan

Kualifikasi : 
Pendidikan min. S1 jurusan Pemasaran/Manajemen/Teknik Industri dan jurusan setara
Memiliki pengalaman 5 tahun sebagai Manager Marketing di perusahaan dengan bidang Timah / Copper
Memiliki networking di pemasaran timah, copper, lead part dan sejenisnya
Aktif Bahasa Inggris dan/atau Bahasa Mandarin"
3735704284,Brand Manager - Fragrances,htthttps://www.linkedin.com/jobs/view/3735704284,LUXASIA,https://www.linkedin.com/company/luxasia/life," "," ",730,,On-site,,"1,001-5,000 employees · Retail Luxury Goods and Jewelry","Description

LUXASIA is the leading beauty omnichannel distribution platform of Asia Pacific that has successfully enabled brand growth for more than 120 luxury beauty brands. Our integrated brand-building capabilities include luxury retail, online commerce, consumer marketing, and supply chain management. Since 1986, the company has partnered with the world's finest brands, such as Aveda, Bvlgari, Calvin Klein, Diptyque, Hermes, La Prairie, Montblanc, and SK-II. We have also established Joint Ventures with the likes of LVMH Group, Elizabeth Arden, Puig, Yves Rocher, and By Terry. At the core of our business is a diverse and dynamic #OneTeam of 2000 talents that shapes the face of luxury beauty, and delights consumers daily across our growing footprint of 15 markets. Come join us now!

Why Join Us?

At LUXASIA, we believe there is beauty within every talent - that is you.

We grow you by building your competencies and unleashing your potential. We have curated a vast portfolio of over 100 luxury brands across Asia Pacific, and growing. Your work will enrich the lives of millions of consumers across the region. With us, you get to be an entrepreneur, running the business like it is your very own. We give you autonomy but not without guidance and genuine care. We are a diverse and inclusive team that is courageously innovative. Together as #OneTeam, we celebrate differences, embrace change, explore new ideas, take risks, fail fast, and drive results. While challenges at work are inevitable, the journey promises to be fulfilling.

With LUXASIA, an exciting career filled with robust professional growth awaits you. Isn't that beautiful?

Position Purpose: 
To oversee, develop, and leverage the performance of the brand in the Indonesian market. Specifically, to focus on developing brand image and positioning, sales turnover as well as profitability. 
To partner with a wide variety of respective parties in managing leading-edge premium beauty lifestyle products to ensure the business milestones are achieved as per the business plan.

Description of Duties:

Planning function:
Analyze market data and sales trends to set up an annual budget, in terms of revenue, expenditures, and profitability 
Create and develop clear business strategies to achieve daily/monthly/yearly goals 
Create and develop a marketing plan as well as set up clear indicators to measure the results of each activity

Operational:
Effectively execute marketing activities according to the marketing calendar and to ensure the return on investment
Set up sales targets, and periodic sales forecasts and must ensure the expected sales outcome is achieved
Construct monthly sales report that summarizes sales achievement, marketing activities updates, and competitive landscape for submission to principal
Manage, control, and implement optimum merchandising in accordance with brand guidelines
Explore, prospect, and manage consumer data, encouraging engagement programs to maintain long-run goals

Liaison:
Liaise with the respective principal in bringing a consistent brand image & marketing programs i.e. marketing campaigns, product launches, PR events, etc.
Liaise with respective government institutions to ensure that all practices comply with regulation 
Liaise with local partners and ensure business milestones are in place
Liaise with internal organization to ensure all SOPs are in place

Requirements
At least 8 years experience in the related field, with 3 years as a brand manager in the retail industry preferably in high-end and luxury fragrances or cosmetics/beauty
Strong creative, analytical, communication, and organization skills
Possess a degree in business, marketing, or a related degree. Preferably Brand Managers also hold an advanced degree
Have a background of retail sales, inventory management, marketing, and brand management 
Have a good handle on consumer and market insights, including the ability to analyze market data, and he or she may be tasked with conducting consumer research"
3597484277,Digital / Content Marketing Manager - Beauty,htthttps://www.linkedin.com/jobs/view/3597484277,Michael Page,https://www.linkedin.com/company/michael-page/life," ",7 months ago,235,,On-site,,"5,001-10,000 employees · Staffing and Recruiting","Competitive package|Growing career prospect


About Our Client

The client is a retail company, which focuses in beauty services.

Job Description

Develop and implement a comprehensive digital and content marketing strategy that aligns with the overall business objectives of the clinic.
Develop and manage digital marketing campaigns, including email marketing, social media, SEO, SEM, PPC, and display advertising.
Plan and create content for the clinic's website, blog, social media channels, and other digital platforms.
Develop and implement lead generation campaigns to drive new business and increase revenue.
Track and analyze digital marketing metrics and provide regular reports to management on campaign performance.
Manage relationships with third-party vendors and partners, including advertising agencies and content creators.
Stay up-to-date with the latest digital marketing trends and best practices and make recommendations for improvements to the clinic's digital marketing strategy.
The Successful Applicant

Bachelor's degree in marketing, communications, or a related field.
At least 5 years of experience in digital and content marketing, preferably in the beauty or healthcare industry.
Experience in developing and executing digital marketing campaigns across multiple channels.
Strong copywriting and content creation skills.
Experience with website analytics tools and social media management platforms.
Experience with SEO, SEM, PPC, and other digital marketing tactics.
Strong analytical and problem-solving skills.
Excellent communication and project management skills.
What's on Offer
Competitive package
Growing career prospect
Opportunity to grow the business
Contact: Aulia Riwinda

Quote job ref: JN-052023-6041445"
3642662802,Music Promotion Manager,htthttps://www.linkedin.com/jobs/view/3642662802,TikTok,https://www.linkedin.com/company/tiktok/life," "," ",1,,Full-time,,"10,001+ employees · Entertainment Providers","Responsibilities

 About Us:
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. 

Why Join Us:
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. 
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. 
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. 
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. 
Join us.

About TikTok Music Distribution Platform: 
The emerging product is a music distributor that allows musicians to distribute their music work directly to TikTok and other DSPs while musicians can enjoy 100% royalties. Our vision is to nurture the local independent artists by supporting them in distribution, promotion, and career development. 
The distribution platform is an integrated platform for music marketing and distribution, designed to empower new and undiscovered artists, helping them develop and build their careers. Free to join, the platform also enables artists to grow their fanbases, harness their creative voice and have their music heard worldwide.

TikTok's all-in-one platform for music creators:
- Distribute your music globally on TikTok and all major streaming services
- Maintain 100% ownership and receive 100% royalties
- Promote your music and reach global audiences

About the Team: 
The Team serves an all-in-one platform powered by TikTok, designed to better service music creators through each step of their career — from TikTok integrated promotion tools to universal music distribution, from diverse monetization opportunities to smart music creation.
The Promotion Team exists to give every music creator & label the power to authentically connect with new audiences and ""do music"" their way.

Responsibilities:
- Act as campaign manager and form comprehensive promotion plans for artists together with A&R team, responsible for content creative support, resource coordination and campaign execution.
- Build and maintain a good connection with artists, support A&R team on artist communication regarding promotion progress and result delivery
- Partner with DSPs and optimize playlist pitching strategy to get better support from DSPs
- Responsible for media buying and exploring new feasible promotion channels according to business goals. 

Qualifications

 - Extensive experience in music campaigns and artist collaborations, strong knowledge of marketing and media channels
- Decent methodology and work experience working with DSP Partners
- Good project management and coordination skills, high ownership and responsible attitude towards work
- Proficient in English to work with international colleagues in a global environment
- Good work ethics, self-motivated and result-driven with cross-cultural empathy.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
3683364669,Marketing Data Analytics Manager,htthttps://www.linkedin.com/jobs/view/3683364669,Gojek,https://www.linkedin.com/company/gojek/life," "," ",1,,On-site,,"1,001-5,000 employees · Technology, Information and Internet","About The Role

If you’re looking to be part of a dynamic, highly-analytical team who enjoys improving the Gojek experience to delight and engage more users, look no further. As a Data Analyst for the Marketing team, you’ll work closely with cross-functional teams to develop data-driven solutions to deep dive into rider’s behavior to drive growth and improve performance. Working closely with multiple functions, you'll dive deep into local market insights to provide direction and analytical solutions that are timely, accurate, and actionable to drive growth and contribute to the continuous improvement of data pipelines within the market intelligence domain. Employing your stellar analytical skills and contextual business acumen, your efforts will improve the way we communicate to our passengers, and ensure that we provide both our passengers and driver-partners the delightful “Gojek experience” they deserve.

What You Will Do

Analyze and interpret trends and complex data sets to identify key insights and opportunities related to consumer behavior for business growth
Analyze the different user stages and models and develop personalized communication plans for different Mobility services and customer segments based on data analysis
Develop and implement channel allocation and spending strategies to grow and optimize business performance 
Monitor and analyze market trends and competitor activity to identify potential threats and opportunities
Collaborate with cross-functional teams (Strategy, BI, Research, Competitive Intelligence) to identify opportunities for process improvements and implement data-driven solutions
Provide regular updates and reports on insights and recommendations to senior management in a clear, concise format to support strategic decision-making
Ability to identify and validate new data sources to supplement existing data and enhance market intelligence insights
Continuously build, automate, and improve data pipelines within the Growth & Market Intelligence domain to ensure data quality and reliability

What You Will Need

At least 3 years of work experience in data analysis or consumer insights
Fluent in written & verbal English communication abilities at the business level with strong presentation skills in order to represent the Marketing team in functional meetings
A wizard at working on and analyzing complex datasets, with the ability to translate quantitative findings into actionable insights
Resilience and ability to take initiative in a fast-paced environment
Proficiency in SQL, Python, and Excel, and experience with data visualization tools such as Tableau or Power BI 
Bachelor's degree in a quantitative field such as Mathematics, Statistics, Economics, or Computer Science and experience with JavaScript is a plus.

About The Team

Mobility Marketing has its members divided into online ride-hailing and logistic marketing teams. As nasi goreng is to the people of Indonesia, we are to Gojek: providing the nourishment to sustain our business from the inside out. Our main responsibility is to ensure that we defend our position as the pioneer of online ride-hailing in Indonesia.

How does one achieve this, you may ask? By creating an impactful and sustainable marketing initiative. What drives us is our shared vision to move people and goods anywhere, anytime by taking part in continuously educating people on how our product can change their lives, and remove their daily frictions.

As a team, we’re concerned with the growth of the company, and each other’s personal growth and well-being, too; we enjoy bonding over our shared love of workout routines, books, movies, and any other hobbies.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, e-commerce, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek, Tokopedia and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

About Tokopedia

Tokopedia is an Indonesian technology company with a mission to democratize commerce through technology. It has been a driving force behind Indonesia's digital development since its foundation in 2009, with more than 99% of districts and empowered around 12 million merchants listed nationwide. With Nakama ranging all across Indonesia, Tokopedia aims to simplify the lives of many to #FindYourPurpose together.

GoTo and its business units, including Gojek, Tokopedia, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
3743813878,Senior Manager / Director - Marketing & Commerce (Automotive Industry),htthttps://www.linkedin.com/jobs/view/3743813878,Deloitte,https://www.linkedin.com/company/deloitte/life," "," ",541,,On-site,,"10,001+ employees · Business Consulting and Services","At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.

Work you will do 

This role sits within the Customer and Marketing (C&M) team of Deloitte Southeast Asia, which is a part of Deloitte that uses technology and creativity to better connect the customer with the business.

Better known as Deloitte Digital, we use emergent technology to imagine, deliver, and run entirely new business futures. We create innovative ventures, digital platforms, and more meaningful experiences.

As part of Marketing and Commerce (M&C), you will work with team to help our clients with their Creative Design and Innovation, Advertising and Branding, Digital Marketing, Digital Commerce and Customer Experience Platform

You will:

Responsible for developing and implementing segment marketing strategies and programs across the region, with a focus on the automotive sector.
Through tight alignment with the sales, business and product organizations, develop and lead on market expansion initiatives to unlock new revenue channels, provide valuable market and customer insights for business growth. Be a key advisor to M&C on go-to-market strategies.
With regional business and marketing directions in mind, the role will define our business plans to tap into the growth potential in the region with alignment to the go-to-market plan.
Communicate plans across cross-functional teams, execute and monitor success. Provide counsel and insight to the team and corporate campaign marketing in the design of marketing initiatives.
Understand and identify key market opportunities. Deliver coordinated marketing programs to get results with good customer experience. Work with regional heads of Digital functional team, corporate marketing, country sales to plan a wide range of programs. Successfully driving the execution of those programs in the country. 
Lead marketing insights projects by analyzing client channel strategy, data and performance and effectively communicating findings
Help clients identify the right marketing key performance indicators (KPIs), highlight areas of improvement, and influence strategy
Build strong relationships with client digital and marketing leaders to provide strategic advice on channel expansion, optimization, and business growth
Lead junior team members by coaching them to both provide leverage on projects and grow their technical and communication skills
Accountable for leading a cross functional team to put in place a marketing management system to enable target setting and performance tracking. 
Manage sales to fulfil vertical revenue with a focus on pipeline development, management, and closure to meet targets 
Develop cross-sector go-to-market strategy in close alignment with M&C Service Offering.

Your role as a leader 

Lead and act as an exemplary role model for leaders at all levels, whilst continuously promoting a sense of loyalty and energizes others to act.
Build and sustain a high performance culture by cultivating and amplifying individual and team strengths.
Develop and sustain long-term, trust-based relationships with stakeholders, clients and team.
Manage the sustainable development of a strong pipeline of talent for current and future success, by driving a talent experience that differentiates Deloitte.
Lead behavioral and cultural change through a supportive, collaborative and highly inclusive environment where team members feels supported, respected and engaged.

Enough About Us, Let's Talk About You

If you are someone with:

Tertiary qualification in a relevant technology, business, or marketing discipline. 
Strong background in selling and delivering E-commerce and/or Marketing based projects, including experience with the automotive sector 
Ability to bring, build industry and partner network to build and drive business growth. Strong track record in building, managing / exceeding sales target 
Experience in designing and implementing Martech or commerce technologies in an enterprise or consulting environment.
Experience designing and implementing technology-enabled business solutions in client-facing and team leadership roles (e.g. Programme lead, business transformation lead, solution architect, project manager). Experience defining, developing requirements, designing and prototyping, testing, training, defining support procedures, and implementing practical business solutions. 
Experience in selling professional services 
Ability to fostering strong relationships and operating rhythms with leaders inside and outside client and product team to implement effective user experiences. 
Willing to push beyond the current capabilities and find the best solution for the business and our customers. 
Drive, tenacity, client focused and results oriented. 
Proven demonstration of sound business acumen, teamwork and leadership qualities. 
An appreciation of the consulting lifestyle and ability to travel (both locally and abroad) 

Next Steps 

So what are you waiting for? Join the winning team now.

Due to volume of applications, we regret only shortlisted candidates will be notified.

Requisition ID: 100993

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website."
3777372601,Marketing Communications Manager - Lampung Marriott Resort & Spa,htthttps://www.linkedin.com/jobs/view/3777372601,Marriott Hotels,https://www.linkedin.com/company/marriott_hotels_resorts/life," "," ",41,,Full-time,,"10,001+ employees · Hospitality","Job Number 23210263

Job Category Sales & Marketing

Location Lampung Marriott Resort & Spa, Way Ratay, Pantai Teluk Pandan, Kabupaten Pesawaran, Lampung, Indonesia VIEW ON MAP

Schedule Full-Time

Located Remotely? N

Relocation? N

Position Type Management

Hotel Description

The Lampung Marriott Resort & Spa offers 162 rooms, with unobstructed view of the beach and Lampung Bay. The resort comes with an multiple Food & Beverage venues, such as an all day dining restaurant, a specialty restaurant (beachfront restaurant), bakery, lobby lounge, roof top bar and a pool bar. Function facilities include a ballroom at 1,200SM and 3 meeting rooms. Other facilities includes spa, kid’s club and recreation center. Located on the east coast of Padang Cermin District of Pesawaran Regency in Lampung Province on the southern tip of Sumatra Island, the resort is near the Hurun Village and features natural lush landscape of gentle slopes with a direct beachfront stretching approximately 150 M. The resort is 30 minutes drive to Lampung City and 70mins away from Radin Intan II International Airport. The hotel is projected to open in Q1, 2024.

Job Summary

Develops and implements marketing strategies designed to achieve RevPar/share-of-wallet (non-room revenue) goals for departments including, but not limited to, spa, food and beverage, retail, concierge, and front office. Manages all in-hotel messaging to guests. Updates hotel web page content as needed to insure up-to-date accuracy. Liaises with key departmental leaders and teams to assist with developing and implementing marketing plans and goals. Develops, plans, and executes programs as necessary to achieve stated revenue goals. Manages workflow with on-property graphic designer to verify all in-house marketing messages/materials are on-strategy and within budget.

CANDIDATE PROFILE 

Education And Experience

 2-year degree from an accredited university in Business Administration, Marketing, Sales, or related major; 3 years' experience in Marketing or a comparable professional area. 

OR

 4-year bachelor's degree in Business Administration, Marketing, Sales, or related major; 1 year experience in Marketing or a comparable professional area. 

CORE WORK ACTIVITIES 

Conducting Marketing Activities to Achieve Departmental Goals 

 Implements regular tracking of initiatives to determine results. 
 Updates hotel web page content as needed to insure up-to-date accuracy. 
 Manages all in-hotel messaging to guests including, but not limited to: AstroVision, Janus, plasma screens, front desk electronic signage, in-room and in-hotel collateral, iConnect, entertainment guides, duratrans, pole banners, on-hold messages, in-room videos, transportation videos, wayfinding, fast maps, key cards, etc.). 

Developing and Implementing Marketing Strategies 

 Liaises with key operators of each department to determine goals and marketing needs. 
 Liaises with hotel Director of Public Relations to provide communications tools as needed for the implementation of local/regional publicity and promotions initiatives. 
 Works with brand Vice Presidents and Brand Marketing Managers to assist with implementation of brand leisure transient and group market strategies at hotel level as needed. 
 Coordinates and implements Strategic Alliance partner marketing program elements. 

Maximizing Revenue 

 Develops, plans, and executes programs as necessary to achieve stated revenue goals. 
 Manages workflow with on-property graphic designer to verify all in-house marketing messages/materials are on-strategy and within budget. 
 Liaises with brand VPs for all local/regional media needs related to non-rooms revenue initiatives. 

Managing and Conducting Human Resources Activities

 Interviews, selects and trains employees. 
 Directs the work of employees. 
 Sets and adjusts employees' rates of pay and hours of work. 
 Handles employee complaints and executes disciplinary action as needed. 
 Evaluates employee's productivity and efficiency for the purpose of recommending promotions or other changes in status. 
 Conducts annual performance appraisal with direct reports according to Standard Operating Procedures. 

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

Marriott Hotels strive to elevate the art of hospitality, innovating at every opportunity while keeping the comfort of the oh-so-familiar all around the globe. As a host with Marriott Hotels, you will help keep the promise of “Wonderful Hospitality. Always.” by delivering thoughtful, heartfelt, forward-thinking service that upholds and builds upon this living legacy. With the name that’s synonymous with hospitality the world over, we are proud to welcome you to explore a career with Marriott Hotels. In joining Marriott Hotels, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you.

JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you."
3781147411,Brand Manager - NIVEA MEN FACE,htthttps://www.linkedin.com/jobs/view/3781147411,Beiersdorf,https://www.linkedin.com/company/beiersdorf/life," ",1 week ago,1,,Hybrid,,"10,001+ employees · Personal Care Product Manufacturing","At Beiersdorf Indonesia, we want to help people feel good about their skin – and our commitment goes far beyond caring for skin. For 140 years, we have developed innovative skin and body care products for well-known brands such as NIVEA and Hansaplast. We act according to our purpose, WE CARE BEYOND SKIN, and take responsibility for our consumers, our employees, the environment and society. Behind every brand, every product and every accomplishment are our more than 20,000 employees. It is for them that we live a culture of inclusion, respect and trust that is strongly aligned with our values – CARE, COURAGE, SIMPLICITY and TRUST. We embrace diversity by valuing the uniqueness of each individual and being committed to equal opportunities for all.

Your Task:
Brand Strategy Development: Develop and implement comprehensive brand strategies to drive market penetration, consumer engagement, and brand loyalty for NIVEA MEN.
Product Management: Oversee the entire product lifecycle, from concept development to product launch and post-launch analysis. Collaborate with product development teams to ensure product offerings align with brand objectives.
Marketing Campaigns: Plan, execute, and evaluate marketing campaigns across various channels, including digital media, social platforms, television, print & BTL events. Monitor campaign performance and adjust strategies as needed to achieve desired outcomes.
Brand Communication: Develop compelling brand messaging and communication materials. Collaborate with advertising agencies and internal creative teams to create impactful advertising campaigns and promotional materials.
Partnerships and Collaborations: Identify and forge strategic partnerships and collaborations that enhance the brand's visibility and appeal to the target audience.
Budget Management: Manage the brand's marketing budget effectively, ensuring optimal allocation of resources for maximum ROI.
Market Research and Analysis: Conduct market research/use NIELSEN to identify consumer trends, preferences, and competitive landscape. Use insights to make data-driven decisions and develop marketing campaigns that resonate with the target audience.
Team Leadership: Lead and inspire cross-functional teams, including marketing, sales, and product development, fostering a collaborative environment focused on achieving brand objectives.

Your Profile:
Bachelor’s degree in Marketing, Business Administration, or related field. MBA is a plus.
Min 3 years of experience of brand management, in the consumer goods industry, preferably in cosmetic/Skin care industry
Proven track record of successfully implementing marketing strategies that resulted in brand growth and increased market share.
Strong analytical thinking, skills and ability to interpret data to make informed decisions.
Excellent communication, presentation, and interpersonal skills.
Creative mindset with the ability to think outside the box and develop innovative marketing campaigns.
Ability to multitask, prioritize, and manage time efficiently in a fast-paced environment.
Proficiency in NIELSEN & Microsoft Office.
Fluent in English"
