id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,company_logo,company_description,about_the_job
3790014262,Lowongan Kerja Mobile Application Developer,https://www.linkedin.com/jobs/view/3790014262,Universitas Dian Nuswantoro,https://www.linkedin.com/company/universitas-dian-nuswantoro/life," ",1 week ago,12,,On-site,,201-500 employees · Higher Education,https://media.licdn.com/dms/image/D560BAQHFOrdgXmdrIg/company-logo_100_100/0/1695195227462/universitas_dian_nuswantoro_logo?e=1712188800&v=beta&t=TSlSkzI6e_mX5r4awvLLdxTlAno5-sg1c9yuDotI1SI,Universitas Dian Nuswantoro (UDINUS) Merupakan Universitas Terbaik Swasta Berbasis Komputer dan IT Yang Berada Di Semarang.,"Detail Lowongan

PT. Alphabet Technology Indonesia membutuhkan Mobile Application Developer yang dapat bekerja sama dengan tim dan menguasai pemrograman yang digunakan dalam membuat/mengembangkan aplikasi pada iOS dan Android.

Selain itu, dapat menguasai bahasa Inggris secara aktif maupun pasif. Mobile Developer bertanggung jawab untuk membuat, mengembangkan serta memperbaiki error (maintenance) pada aplikasi tersebut.

Tanggung Jawab

 Membuat dan mengembangkan aplikasi di Android dan iOS
 Memperbaiki error pada aplikasi

Requirements

 Pendidikan D3/S1 - Teknik Informatika
 Menguasai PHP, SQL, Database Query, JavaScript
 Menguasai pemrograman yang digunakan dalam pembuatan/pengembangan applikasi pada iOS dan Android
 Menguasai Bahasa Inggris aktif dan pasif
 Menjadi point plus jika bisa menggunakan Wordpress dan e-Commerce atau lainnya
 Memiliki pengalaman di bidang yang sama min. 1 tahun
 Teliti & dapat bekerjasama dalam tim
 Berdomisili di Semarang

Kirimkan CV Anda Ke

hrd@alphabetindonesia.com

 Apply Lowongan Online Agar perusahaan bisa memantau proses lamaran anda sebaiknya melamar lewat system.

Langsung klik saja Kirim Lamaran, maka biodata anda akan tersimpan kedalam database perusahaan

Cek selalu lamaran anda atas konfirmasi dari perusahan."
3751657041,Fullstack Web Developer,https://www.linkedin.com/jobs/view/3751657041,,,,,0,,Hybrid,,See how you compare to 77 applicants. Upgrade my plan,,,"Company Description: PT Yubi Technology Kami adalah perusahaan startup yang bergerak dibidang pengembangan software & layanan perangkat keras yang telah berdiri sejak 2010. Perusahaan kami berbasis dari Korea. Job Description:

 Mengembangkan aplikasi berbasis Web
 Membuat aplikasi Web yang responsif & kompatible cross browser
 Menganalisa sistem arsitektur dan menyediakan solusi terbaik agar sesuai dengan kebutuhan sistem.
 Membuat dokumentasi perencanaan teknis untuk pengembangan.
 Menulis kode dengan baik, rapi dan mudah dipahami.
 Wajib melakukan testing sebelum melaporkan hasil pekerjaan
 Membuat dokumentasi fungsi/fitur yang sudah dibuat
 Memperbaiki Bugs/Error yang ada pada software.
 Melakukan improvement/Peningkatan performa, fitur dan kestabilan pada software yang ada.
 Aktif melakukan berkomunikasi dengan tim"
3726936498,Senior/Staff Full Stack Engineer,https://www.linkedin.com/jobs/view/3726936498,Coda Payments,https://www.linkedin.com/company/coda-payments/life," ",3 months ago,21,,Hybrid,,"501-1,000 employees · Internet Publishing",https://media.licdn.com/dms/image/C560BAQGPvgUuumAyZw/company-logo_100_100/0/1630672427695/coda_payments_logo?e=1712188800&v=beta&t=TfAjQr4dhQj9GcjGVSV5lyXyG4Zbg_hoaMX-LoUjqCk,"We take life’s digital experiences over the top by enabling users to bring more creativity and self-expression to their play - no matter who or where they are.

Founded in 2011, Coda Payments (“Coda”) is the leading provider of secure, cross-border monetisation solutions for digital products and services in more than 60 markets. Through our three services: Codashop, xShop, and Codapay, we help a range of top digital content publishers worldwide, such as Activision Blizzard (Call of Duty: Mobile, Diablo Immortal), Riot Games (VALORANT, League of Legends: Wild Rift), Moonton (Mobile Legends: Bang Bang), Garena (Free Fire), Tencent (PUBG Mobile), beIN, Bigo Live, Tinder, and Viu to monetise their content and unlock new revenue streams.

Today, Coda has more than 500 people in 35+ countries who are working towards the same mission: to offer our customers the best value, experience and entertainment every day, without fail.

If you want to make an impact in taking life’s digital experiences over the top, join us!

- We are backed by Smash Capital, Insight Partners, GIC, Apis Partners and GMO Global Payment Fund (affiliated with Japan’s largest online payment gateway).
- In 2022, we are named the 5th fastest growing fintech company in the APAC by the Financial Times, the 13th fastest growing company in Singapore by the Straits Times, and a Technology Pioneer by the World Economic Forum.
- Our headquarters are in Singapore, with 11+ offices worldwide and 35+ remote locations, including South Korea, Egypt and France.

We are an equal opportunity employer that is committed to cultivating an inclusive environment for all employees, and we welcome the diversity that you will bring!
…
show more","What we do

At Coda, we break down barriers between publishers and their audiences by thinking outside of the app. Coda is trusted by 300+ top digital content publishers – including industry giants Activision Blizzard, Bigo, Electronic Arts, Riot Games, and Zynga – to grow revenue, profit margins, and customer engagement in 60+ markets with ease. For publishers, this means less lift, more players and more payers. For players, Coda’s solutions allow them to pay for play their way.

Our winning formula? A laser-focused, pragmatic attitude coupled with an unwavering commitment to excellence. We are customer-centric, creative, and solution-oriented, always delivering to our users the top-tier entertainment content they want at competitive prices.

If you’re ambitious, bold and ready to take your career to the next level, get in touch!

Engineering - Technology at Coda

At Coda, our goal is to make our mark in the high-volume payments and e-commerce industry – and we are levelling up fast. To stay in stride with the dynamic environment, we focus on building robust, distributed systems that can effortlessly handle traffic spikes. Moreover, our ambitious roadmap necessitates innovative tools to streamline the development lifecycle and sustain our swift momentum.

We place great value on balancing teamwork with individual autonomy, allowing our teams to make the most of modern cloud infrastructure. Our tech stack is solidly based on AWS cloud, with a keen interest in infrastructure-as-code and the creation of new microservices via the Quarkus framework. Our toolbox includes JSON and GRPC, multiple data storage integrations, queues, OpenTelemetry, and more.

But what truly defines us? It's our incredible team. We hire top talent and give them the freedom to push Coda's technology and products to exciting new levels. We believe that genius can strike anywhere, so we promote ownership and cultivate a servant leadership culture that lets engineers take the reins on features.

About The Role

We are looking for a proactive, driven engineer who is hungry to contribute using their deep and fundamental knowledge in software development and automation. You will be responsible for the architecture, development, and evolution of key products and features at Coda.

About The Experimentation Team

The Experimentation team is the brand new initiative across Coda destined to build a world-class experimentation platform. We combine full-stack and data skills to make feature switching and A/B testing easy and enjoyable. We aim to collect and deliver all the customer behaviour and business information to our Product and Business users so they can make informed and impactful decisions.

Responsibilities

Design and develop highly scalable, reliable, secure, and fault-tolerant systems end to end using state of the art technology
Work directly with Product and Technology team members to define and implement complex features
Collaborate with other team members to learn and share best practices
Understand and constantly optimize our products, identifying and fixing problems, improving stability and user experience
Take operational responsibility for the services that are owned by your team
Debug production issues across services
Participate in on-call rotations as needed (we support a healthy work/life balance, so we invest in minimizing out-of-office interruptions and we use rotations to minimize on-call days)


Requirements

At least 5 years of experience in software development
A bachelor’s degree in computer science, engineering, mathematics, or a related field (or equivalent experience)
Strong knowledge of one or more programming languages (Java, Scala, Kotlin, Groovy, Go, C/C++, Rust, Python, C#, etc.) and the ability to learn new programming languages quickly
Knowledge and practical experience in one or more front-end technologies (JavaScript, TypeScript, and modern frameworks like VueJS, React, etc.)
Strong understanding of software architecture
Understanding of data systems and how to query/interact with them (RDBMS, NoSQL, Queues, etc.)
A desire to build automation into everything you do, including implementing state of the art CI/CD practices and test automation
Understanding of agile methodologies (e.g. Scrum)
Good command of the English language and the ability to communicate effectively


Bonus if you have

Experience building high scale APIs
Knowledge of AWS and cloud technologies such as lambdas and containerization
Experience in FinTech or related fields requiring strong security discipline


Working at Coda

Joining the Coda team means diving into a fast-paced, challenging, and exciting world. With Codans spread across over 30 countries around the world, our highly collaborative environment breaks down time zones and cultural barriers, empowering you to chase innovative ideas, contribute to Coda’s growth, and make a lasting impact.

If you have a passion for pushing boundaries, and thrive on continuous improvement through experimentation, we'd love to hear from you!

Our Perks*

WFH / Hybrid Support: Get a monthly allowance to cover your work-from-home expenses and keep you connected.

Wellness Boost: Stay healthy with resources for physical and mental well-being with our flexible benefits and Employee Assistance Program - because you matter!

Customized Benefits: Tailor your benefits with our flexible plan.

Growth Opportunities: Unlock your potential through clear progression paths.

Skill Development: Access training resources to fuel your personal and professional growth.

Volunteer Time Off: Enjoy paid time off to make a difference in the world through volunteering.

Family Care: Take advantage of paid Family Care Leave to bond with your family, while our selected Flexible Benefits also cater to your family's needs.

Benefits are reviewed and updated on a yearly basis


We are proud to be an equal opportunity employer, embracing the unique qualities of every individual, regardless of gender, race, age, religion, disability, or other local protected classes. Our goal is to foster an inclusive environment where everyone feels welcome and valued.

Due to the large number of exceptional applications we receive, we can only reach out to shortlisted candidates. If you don't hear from us, rest assured there may be another opportunity at Coda that aligns better with your unique abilities. Remember to check our Careers Page for more exciting job openings!"
3789317422,Backend Engineer (BRIK),https://www.linkedin.com/jobs/view/3789317422,Dealls,https://www.linkedin.com/company/dealls/life," ",2 weeks ago,7,,On-site,,See how you compare to 21 applicants. Upgrade my plan,,,"🙌🏻 About Us

WHY BRIK???

Let’s be honest: When you read “construction” or “cement” or “building materials”, your first thoughts might be “dusty, slow, uninspiring”.

Nothing could be further from the truth. We pride ourselves on being among the fastest companies in the world with the best business sense. You might not believe this right away – we usually don’t talk a lot about ourselves.

What’s true: we don’t build autonomous cars. We don’t build landing rockets. We don’t build blockchains and ICO them.

But what we do is we disrupt one of the last undisrupted industries: Construction. Construction is one of 3 industries responsible for 88% of all inflation since the year 2000. It is one of the most inefficient industries in the world. It is just beginning its digital journey.

That means: it is one of the last Eldorados to build exponential new businesses.

Our ambition is to fundamentally change how construction works, starting from building materials. We are serious about this – no PR nonsense, no pseudo-disruption, no-Entrepreneur wannabe that pretends to do innovation. We disrupt construction with force and pure financial motivation. And: we are among the world’s most entrepreneurial companies (yes, we are!). That puts us in the best position to completely transform the construction industry. In just a few years, we want to be South East Asia’s most reputed corporate in disruptive business models in the fields of construction.

Visit Us

https://brik.id/

https://www.linkedin.com/company/brik-construction/

💰Salary

Very competitive

👑 Job Role

Design, develop, and maintain robust backend systems 
Manage and optimize databases for data integrity and accessibility
Create, maintain, and enhance APIs for seamless communication with frontend applications
Implement security measures to protect construction data
Conduct testing and debugging to resolve issues
Document backend systems and processes
Collaborate with cross-functional teams

⛩️ Requirements

Proven experience as a Backend Engineer with a minimum of 2 years experience
Knowledge in construction or infrastructure-related processes/challenges is a plus
Proficiency in programming languages such as Javascript (Node.js) with a strong preference for Typescript
Strong knowledge of database management systems (e.g., SQL, NoSQL)
Experience with API development and integration
Excellent problem-solving skills and attention to detail
Ability to work collaboratively in a team environment
Strong communication and documentation skills
Ability to adapt in a fast-paced environment with strong commitment for learning

🎁 Perks

Period Leave
Medical Insurance
communication allowance"
3791748504,Back End Developer,https://www.linkedin.com/jobs/view/3791748504,School of Business and Management ITB,https://www.linkedin.com/company/sbm-itb/life," ",,21,,On-site,,51-200 employees,,,"Qualifications
Persyaratan:
- Pendidikan Min. D3 Jurusan Teknik Informatika, Sistem Informasi atau bidang terkait
- Memiliki pengalaman bekerja minimal 1 tahun sesuai posisi terkait, atau pengerjaan project pengembangan sistem/aplikasi dalam skala perusahaan
- Menguasai Bahasa Pemrograman Go Lang
- Menguasai Framework Go Lang (Gin)
- Memiliki kemampuan merancang Relational Database, manajemen DBMS menggunakan SQL dan Complex Query
- Memiliki pemahaman merancang dan implementasi RESTful API
- Memiliki kemampuan manajemen server
- Memiliki kemampuan menggunakan Code Versioning Tools (GIT)
- Memiliki kemampuan dasar PHP (Framework CakePHP), HTML, CSS, dan Javascript sebagai nilai tambah
- Memiliki pemahaman mengenai Front-End frame work (Vue.Js) sebagai nilai tambah

Tanggung Jawab:
- Perancangan Database
- Meningkatkan Struktur Data yang Telah Ada
- Merancang alur Aplikasi
- Pemrograman dan Testing
- Mengatur Keamanan Aplikasi
- Mengatasi Permasalahan yang Muncul di Back-End"
3775936283,"Senior/Staff Front End Engineer, Codashop",https://www.linkedin.com/jobs/view/3775936283,Coda Payments,https://www.linkedin.com/company/coda-payments/life," ",1 month ago,20,,Hybrid,,"501-1,000 employees · Internet Publishing",,,"What we do

At Coda, we break down barriers between publishers and their audiences by thinking outside of the app. Coda is trusted by 300+ top digital content publishers – including industry giants Activision Blizzard, Bigo, Electronic Arts, Riot Games, and Zynga – to grow revenue, profit margins, and customer engagement in 60+ markets with ease. For publishers, this means less lift, more players and more payers. For players, Coda’s solutions allow them to pay for play their way.

Our winning formula? A laser-focused, pragmatic attitude coupled with an unwavering commitment to excellence. We are customer-centric, creative, and solution-oriented, always delivering to our users the top-tier entertainment content they want at competitive prices.

If you’re ambitious, bold and ready to take your career to the next level, get in touch!

Engineering - Technology at Coda

At Coda, our goal is to make our mark in the high-volume payments and e-commerce industry – and we are levelling up fast. To stay in stride with the dynamic environment, we focus on building robust, distributed systems that can effortlessly handle traffic spikes. Moreover, our ambitious roadmap necessitates innovative tools to streamline the development lifecycle and sustain our swift momentum.

We place great value on balancing teamwork with individual autonomy, allowing our teams to make the most of modern cloud infrastructure. Our tech stack is solidly based on AWS cloud, with a keen interest in infrastructure-as-code and the creation of new microservices via the Quarkus framework. Our toolbox includes JSON and GRPC, multiple data storage integrations, queues, OpenTelemetry, and more.

But what truly defines us? It's our incredible team. We hire top talent and give them the freedom to push Coda's technology and products to exciting new levels. We believe that genius can strike anywhere, so we promote ownership and cultivate a servant leadership culture that lets engineers take the reins on features.

About The Role

We are looking for a proactive, driven engineer who is hungry to contribute using their deep and fundamental knowledge in software development and automation. You will be responsible for the architecture, development, and evolution of key products and features at Coda.

About The Codashop Team

The Codashop Team owns our b2c e-commerce marketplace for in-app purchases. Codashop.com allows tens of millions of users each month to benefit from our direct relationships with publishers and payment channels. We currently operate in over 60 countries and growing. Our aim is to always provide the best value, delightful user experiences, and a highly secure platform for accessing the best digital content globally. We need engineers who want to collaborate on complex problems in an exciting and growing space.

Responsibilities

Develop features using modern front end technologies
Collaborate with back end developers and contribute to API development when necessary
Work directly Product and Technology team members to define features
Collaborate with other team members to learn and share best practices
Understand and constantly optimize our products, identifying and fixing problems, improving stability and user experience
Take operational responsibility for the services that are owned by your team
Debug production issues across services
Participate in on-call rotations as needed (we support a healthy work/life balance, so we invest in minimizing out-of-office interruptions and we use rotations to minimize on-call days)


Requirements

At least 5+ years of experience in software development
A bachelor’s degree in computer science, engineering, mathematics, or a related field (or equivalent experience)
Expert front end development skills (JavaScript, TypeScript, and modern frameworks like VueJS, React, etc.)
Knowledge and practical experience in one or more back end programming languages (Java, Scala, Kotlin, Groovy, Go, C/C++, Rust, Python, C#, etc.) and the ability to learn new programming languages quickly
Strong understanding of software architecture
Understanding of data systems and how to query/interact with them (RDBMS, NoSQL, Queues, etc.)
A desire to build automation into everything you do, including implementing state of the art CI/CD practices and test automation
Understanding of agile methodologies (e.g. Scrum)
Good command of the English language and the ability to communicate effectively


Bonus if you have

Strong knowledge of Vue.js
Experience in FinTech or related fields requiring strong security discipline


Working at Coda

Joining the Coda team means diving into a fast-paced, challenging, and exciting world. With Codans spread across over 30 countries around the world, our highly collaborative environment breaks down time zones and cultural barriers, empowering you to chase innovative ideas, contribute to Coda’s growth, and make a lasting impact.

If you have a passion for pushing boundaries, and thrive on continuous improvement through experimentation, we'd love to hear from you!

Our Perks*

WFH / Hybrid Support: Get a monthly allowance to cover your work-from-home expenses and keep you connected.

Wellness Boost: Stay healthy with resources for physical and mental well-being with our flexible benefits and Employee Assistance Program - because you matter!

Customized Benefits: Tailor your benefits with our flexible plan.

Growth Opportunities: Unlock your potential through clear progression paths.

Skill Development: Access training resources to fuel your personal and professional growth.

Volunteer Time Off: Enjoy paid time off to make a difference in the world through volunteering.

Family Care: Take advantage of paid Family Care Leave to bond with your family, while our selected Flexible Benefits also cater to your family's needs.

Benefits are reviewed and updated on a yearly basis


We are proud to be an equal opportunity employer, embracing the unique qualities of every individual, regardless of gender, race, age, religion, disability, or other local protected classes. Our goal is to foster an inclusive environment where everyone feels welcome and valued.

Due to the large number of exceptional applications we receive, we can only reach out to shortlisted candidates. If you don't hear from us, rest assured there may be another opportunity at Coda that aligns better with your unique abilities. Remember to check our Careers Page for more exciting job openings!"
3639480630,Senior Frontend Engineer - Fintech (Remote),https://www.linkedin.com/jobs/view/3639480630,Michael Page,https://www.linkedin.com/company/michael-page/life," ",6 months ago,252,,Remote,,"5,001-10,000 employees · Staffing and Recruiting",,,"International Team |Stable but Fast Moving 


About Our Client

Our client is a B2B Fintech that is very stable but growing.

Job Description

Build high quality, fault tolerant systems and products, owning all areas of implementation, frontend, CI pipeline, automated test suites and operations
Work with your product owner and business stakeholders to define the product and tech roadmaps.
Engage with the wider engineering organisation, making sure your tech roadmap aligns with the other teams.
The Successful Applicant

Experienced with frontend frameworks like Next.js and React
Familiar with Server Side Rendering (SSR) and/or Static Site Generation (SSG)
Familiar with Kubernetes and write your applications Docker first.
A team leader, with prior experience mentoring junior engineers and facing off to business stakeholders.
What's on Offer
Competitive Salary 
International Team 
Fully Remote 
Contact: Gladys Nathania

Quote job ref: JN-062023-6092828"
3748812224,Senior Frontend Engineer - Fintech (Remote),https://www.linkedin.com/jobs/view/3748812224,Michael Page,https://www.linkedin.com/company/michael-page/life," ",6 months ago,252,,Remote,,"5,001-10,000 employees · Staffing and Recruiting",,,"International Team |Stable but Fast Moving 


About Our Client

Our client is a B2B Fintech that is very stable but growing.

Job Description

Build high quality, fault tolerant systems and products, owning all areas of implementation, frontend, CI pipeline, automated test suites and operations
Work with your product owner and business stakeholders to define the product and tech roadmaps.
Engage with the wider engineering organisation, making sure your tech roadmap aligns with the other teams.
The Successful Applicant

Experienced with frontend frameworks like Next.js and React
Familiar with Server Side Rendering (SSR) and/or Static Site Generation (SSG)
Familiar with Kubernetes and write your applications Docker first.
A team leader, with prior experience mentoring junior engineers and facing off to business stakeholders.
What's on Offer
Competitive Salary 
International Team 
Fully Remote 
Contact: Gladys Nathania

Quote job ref: JN-062023-6092828"
3790141745,Front End Developer,https://www.linkedin.com/jobs/view/3790141745,KECILIN,https://www.linkedin.com/company/kecilin/life," ",1 week ago,39,,On-site,,51-200 employees · Software Development,,,"Responsibilities

We are seeking a skilled Frontend Designer to join our team. As a Frontend Designer, you will play a critical role in developing intuitive and visually appealing user interfaces for Kecilin Products. You will be:

Collaborate with UX/UI designers to translate design concepts into responsive and visually appealing dashboards.
Implement interactive features and components for an enhanced user experience.
Work closely with backend developers to integrate data visualization components seamlessly into dashboards.
Ensure effective representation of complex data sets.
Develop dashboards that are responsive across various devices and screen sizes.
Optimize performance for smooth interactions and loading times.
Ensure the seamless flow of data between the frontend and backend systems.
Implement interactive elements and user controls for customized dashboard experiences.
Conduct usability testing and gather feedback for continuous improvement.
Ensure cross-browser compatibility and resolve any frontend issues that may arise.
Stay updated on the latest frontend technologies and best practices

Requirements

Bachelor's degree in Computer Science, Software Engineering, or a related field from a top university.
Proven experience as a Front-End Developer or similar role.
Proficiency in Laravel, React JS, HTML, CSS, and JavaScript.
Experience with data visualization libraries such as D3.js or Chart.js.
Solid understanding of responsive design principles.
Familiarity with browser testing and debugging.
Experience with version control systems such as Git.
Excellent problem-solving skills and attention to detail."
3791766539,Front End Developer,https://www.linkedin.com/jobs/view/3791766539,KECILIN,https://www.linkedin.com/company/kecilin/life," ",1 week ago,39,,On-site,,51-200 employees · Software Development,,,"Responsibilities

We are seeking a skilled Frontend Designer to join our team. As a Frontend Designer, you will play a critical role in developing intuitive and visually appealing user interfaces for Kecilin Products. You will be:

Collaborate with UX/UI designers to translate design concepts into responsive and visually appealing dashboards.
Implement interactive features and components for an enhanced user experience.
Work closely with backend developers to integrate data visualization components seamlessly into dashboards.
Ensure effective representation of complex data sets.
Develop dashboards that are responsive across various devices and screen sizes.
Optimize performance for smooth interactions and loading times.
Ensure the seamless flow of data between the frontend and backend systems.
Implement interactive elements and user controls for customized dashboard experiences.
Conduct usability testing and gather feedback for continuous improvement.
Ensure cross-browser compatibility and resolve any frontend issues that may arise.
Stay updated on the latest frontend technologies and best practices

Requirements

Bachelor's degree in Computer Science, Software Engineering, or a related field from a top university.
Proven experience as a Front-End Developer or similar role.
Proficiency in Laravel, React JS, HTML, CSS, and JavaScript.
Experience with data visualization libraries such as D3.js or Chart.js.
Solid understanding of responsive design principles.
Familiarity with browser testing and debugging.
Experience with version control systems such as Git.
Excellent problem-solving skills and attention to detail."
