id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,company_logo,company_description,about_the_job
3742666027,Manufacturing Assistant&Interpreter(Chinese),https://www.linkedin.com/jobs/view/3742666027,ROOTCLOUD,https://www.linkedin.com/company/rootcloud/life,"West Jakarta, Jakarta, Indonesia Reposted 3 weeks ago"," ",259,,Hybrid,,"1,001-5,000 employees · Software Development",https://media.licdn.com/dms/image/C510BAQGFiZBlswOEIQ/company-logo_100_100/0/1630633642596/irootech_logo?e=1712793600&v=beta&t=44XB6CqGtRwQqUsjBxYuGwSBWdLliDwW3T5rbLxI94c,"Established in June 2016, ROOTCLOUD TECHNOLOGY CO., LTD (hereinafter referred to as “ROOTCLOUD"") is a company specialized in building the IIoT operating system --- ROOTCLOUD Platform to provide a new foundation for industrial digital transformation. Based on cross-industry IIoT platforms, we build IoT connection products, industrial apps, data intelligence, and innovative applications to offer industrial enterprises efficient & reliable digital transformation services with low cost and few barriers.
At present, ROOTCLOUD has been selected as the only Chinese IIoT platform company in Gartner Magic Quadrant for Industrial IoT Platforms for three consecutive years.
It originates in the World's Factory, China, where the industry prospers the most and serves customers around the world. ROOTCLOUD has set up offices in Singapore and 8 cities in China including Beijing, Guangzhou, and Shanghai. It has deployed 7 servers worldwide and expanded its business to Europe, Southeast Asia, the Middle East, North America, Latin America, etc. ROOTCLOUD promotes the rebuild and upgrade of industrial enterprises through their entire value chain. Its products include data-driven intelligent R&D, intelligent manufacturing, intelligent services, industrial finance, etc. Its customers come from 48 specific domains such as equipment manufacturing, automobiles, parts, and steel. ROOTCLOUD has built 20 industrial chain platforms for industries such as construction machinery, concrete, environmental protection, casting, plastic molds, textiles, and custom home furnishing. Up to now, the ROOTCLOUD Platform has supported more than 1100 industrial protocols and connected more than 900,000 pieces of high-value industrial equipment which can be divided into 5,000 types and are worth more than 740 billion yuan in total asset value.","ROOTCLOUD (www.rootcloud.com)------Leading Global Industrial IoT platform company:
1.On the list of IIoT Magic Quadrants for 4 consecutive years.
2.Ranks first among China's Top Ten IIoT Enterprises in the Forbes China's IIoT Series Selection 2021
3.In IDC's China Industrial Internet of Things Platform Vendor Assessment 2021, the technical capability of ROOTCLOUD Platform ranks first in the Assessment.
4.Headquartered in Guangzhou, China, with around 1,000 employees. ROOTCLOUD operates on a global scale with a strategic focus on the markets in Southeast Asia and Europe. It has established substantial legal entities and offices in Singapore, Indonesia, and Germany to deepen its localized operations.

---
JD of Manufacturing Assistant&Interpreter:

【Chinese&English&Indonesian Spearking and writing are MUST】

Job responsibilities
1. Assist overseas business teams in simultaneous interpretation (Indonesian, English, and Chinese translations); Translation company platform products, marketing materials and other documents, daily functional documents such as websites and meeting minutes, etc
2. Assist project managers and experts, liaise with clients, complete daily project execution work, including requirement analysis, detailed design, factory construction, operational trial production, and document work during the process
3. Familiar with the entire production process, with clear concepts of production indicators, starting from manufacturing scenarios, able to provide digital suggestions

Qualification
1. Bachelor's degree or above in engineering design and manufacturing industry, with a better understanding of digitalization;
2. Indonesian native speaker, fluent in English and Chinese, with over one year of experience in translation and simultaneous interpretation, meticulous work, agile thinking, strong sense of responsibility, and passion for the translation industry
3. Solid language skills and professional interpretation training.
4. At least 2 years of experience as an engineer with clear decomposition and execution of production indicators, specializing in automotive manufacturing, electronic manufacturing, and food manufacturing.
5. Proficient in PPT/Word/Excel, with good communication and expression skills."
3789547167,Embedded Software Engineer,https://www.linkedin.com/jobs/view/3789547167,Staffing Ninja,https://www.linkedin.com/company/staffing-ninja/life,Indonesia 1 week ago,1 week ago,42,,Remote,,1-10 employees · Staffing and Recruiting,https://media.licdn.com/dms/image/D4D0BAQH6VtK5Mqw5Wg/company-logo_100_100/0/1692353299796?e=1712793600&v=beta&t=yHjDQ2VFN-ULvOP0UcgfYbEVtCGCL_B6QUXi2brsiXw,"Staffing Ninja is a leading recruitment agency specializing in connecting top talent with innovative companies worldwide for recruiting.

At Staffing Ninja, we are committed to building long-term relationships with our clients and candidates. Our goal, among other industry experts, is to help our clients achieve their business objectives by providing them with the best talent available through our headhunting service and to help our candidates take their careers to the next level with the best AI jobs.

Find your next career opportunity in the AI space, contact us today!","Job Responsibilities:
Proficient in C and C++ programming languages.
Familiarity with embedded programming concepts and bare metal programming.
Knowledgeable about I2C, UART, SPI, and CAN protocols.
Desirable understanding of RTOS concepts.
Experience of at least 2-3 years with ARM-based processors such as Ti DSP Controllers, NXP, ST, etc.
Capable of identifying and resolving hardware and software technical issues.
Competent in MCU Peripheral driver usage for SPI, I2C, UART, CAN.
Familiarity with Automotive firmware development and using test tools for CAN/I2C/SPI module verification.
Proficient in using JTAG/SWD debugger.
Understanding of ASIL and AutoSAR-based product development.
Strong analytical and problem-solving skills.
Desirable familiarity with agile concepts.
Proficient in utilizing test and measurement equipment like oscilloscopes, logic analyzers, multimeters, etc.
Basic understanding of wireless technologies such as Zigbee, Bluetooth, and WIFI products.
Quick learner with the ability to adapt.
Basic knowledge of Microsoft tools, Jira, or any project management tools.
Basic familiarity with code management tools like Bitbucket, SVN, etc.
Excellent verbal and written communication skills.

Job Qualifications:
Bachelor’s/Master’s degree in Engineering.
3-6 years’ experience in firmware development (automotive/industrial products) with at least 3 years in development and testing.
Minimum 2 years’ experience in developing low-level MCU peripheral drivers for UART, SPI, I2C, CAN.
Minimum 2 years’ experience in developing embedded applications for bare metal (Non-RTOS) based systems.
Ability to interpret schematics and datasheets.
Responsible for writing modular code while adhering strictly to coding standards.
Proficient in debugging and problem-solving with minimal support.
Capable of performing unit testing for completed features.
Effective communication skills.
Knowledge of Automotive firmware development and understanding of ASIL and AutoSAR-based product development.
Good to have : Proficiency in - Japanese, Chinese and English in any of the combinations"
3763350633,"Senior Solutions Architect, Indonesia SA Team",https://www.linkedin.com/jobs/view/3763350633,Amazon Web Services (AWS),https://www.linkedin.com/company/amazon-web-services/life,Jakarta Metropolitan Area Reposted 2 weeks ago," ",151,,Full-time,,"10,001+ employees · IT Services and IT Consulting",https://media.licdn.com/dms/image/C560BAQER_QnUTXrPJw/company-logo_100_100/0/1670264051233/amazon_web_services_logo?e=1712793600&v=beta&t=gC5hnf-aFRh-5wraKzbW4-m1RMEUDVPCgqLLM-l4vWU,"Launched in 2006, Amazon Web Services (AWS) began exposing key infrastructure services to businesses in the form of web services -- now widely known as cloud computing. The ultimate benefit of cloud computing, and AWS, is the ability to leverage a new business model and turn capital infrastructure expenses into variable costs. Businesses no longer need to plan and procure servers and other IT resources weeks or months in advance. Using AWS, businesses can take advantage of Amazon's expertise and economies of scale to access resources when their business needs them, delivering results faster and at a lower cost.

Today, Amazon Web Services provides a highly reliable, scalable, low-cost infrastructure platform in the cloud that powers hundreds of thousands of businesses in 190 countries around the world. With data center locations in the U.S., Europe, Singapore, and Japan, customers across all industries are taking advantage of our low cost, elastic, open and flexible, secure platform.","Description

 Are you passionate about how technology can help companies accelerate their growth?
 Do you have a knack for helping companies understand infrastructure & application architectures including integration approaches?
 Do you want to participate in industrial revolution where you get not only to witness disruption happening, but be part of disruption as well ?
 Do you want to be a part of talented cloud architects’ team in Indonesia, where we work hard, have fun and MAKE HISTORY for our nation?
 Do you want to architect & build solution for some of large complex system in cloud ecosystem to set success for our enterprise customers?
 Are you passionate about architecting & building customers solutions leveraging the state-of-the-art cloud computing technologies on Amazon Web Services (AWS)?
 Finally…. Do you want to reinvent yourself ?

Responsibilities

Come join the Amazon Web Services (AWS) team as Solutions Architect in Indonesia! and this position you will carry out some of roles and responsibilities:

 As a key member of the solution architecture team, ensure the success of our Enterprise Customers in building and migrating applications, software and services on the AWS platform
 Solutions Architects work closely with CIO, CTO, CDO, CISO, technical co-founders, engineers and developers to help them make the most of the Cloud. They are at the crossroads of business and technology and engage with organizations at all stages of cloud adoption.
 Solutions Architects also take a leading role in creating and presenting technical content and best practices.
 In this role you will work directly with some of our large customers to enable innovation through continuous improvement, software development and deployment best practices, and help these businesses stay on top of the latest technology trends in software and solutions architecture in the cloud. You’ll be excited to practice your creativity; linking technology to tangible solutions and educating Enterprise about the art of the possible, architectural choices across broad use cases involving compute, storage, database, networking, security, as well as advanced scenarios involving serverless, analytics, and AI/ML.
 Own each engagement, and help ensure a timely and successful delivery of value.
 Educate customers of all sizes on the value proposition of AWS and participate in deep architectural discussions to ensure solutions are designed for successful deployment in the cloud
 Conduct technical workshops to transfer knowledge to customers considering or already using AWS
 Author and contribute to AWS customer-facing publications such as white papers and blog articles- Present at AWS and industry events
 Act as a technical liaison between customers, service engineering teams and support

Come and define or invent cloud-native reference architectures to help enterprises become the successful in their business!

Key job responsibilities

 Work directly with customers to accelerate their projects and recommend best-practice cloud architectures in line with their long-term business outcomes.
 Drive technical solutions discussions with your customers, diving deep into the details to solve complex technical business problems and use your knowledge to craft scalable, flexible, and resilient cloud architectures.
 Scope and own each customer engagement, with attention towards clear and well-defined objectives and success criteria.
 Work backwards from your customer's business needs to accelerate adoption of the most appropriate AWS technology
 As a trusted technical advisor, use your interpersonal skills to influence a variety of stakeholders from technical teams to executives, and help ensure their short-term technology decisions are aligned with their long-term goals.
 Define and execute on the strategy by engaging highly technical teams (Solutions Architects, Technical Account Managers, AWS professional services consultants and consulting/managed services partners).
 Act as a thought leader in the wider community, playing a key role in educating, sharing best practices, presenting at events, writing white papers, blogs, and running workshops.
 Share the voice of the customer to influence the roadmap of new features and services for the AWS platform. Proactively work within the organization to influence the evolution of the platform.
 Serve as a key technical member of the Solutions Architecture team through influencing decision makers across multiple domains to ensure customer success in building applications and services on the AWS platform which align to long-term business goals.

A day in the life

Our solutions architects are experienced technologists with technical breadth and depth coupled with strong interpersonal skills. The key to AWS success is its top-tier collaborative culture. You will have the opportunity to work with multiple AWS professionals that can help

you accelerate your career and bring ideas to market. You will be working closely with a talented team of managers and Solutions Architects that will push your technical abilities while you bring new innovations to a widely adopted and fast-growing service.

As a Senior Solutions Architect you’ll own the overall technical relationship between customers and AWS and make recommendations on security, cost, performance, reliability and operational efficiency. They work to understand the customer's business needs and give

prescriptive guidance on how to create business value with technology. To do this they collaborate with other teams such as account management, professional services, support, product teams and the AWS partner ecosystem

We are open to hiring candidates to work out of one of the following locations:

Jakarta, IDN

Basic Qualifications

 Passionate builder with demonstrated ability to adapt to new technologies and learn quickly!
 Bachelor degree in computer science, mathematics, computer engineering or electrical engineer or related discipline.
 8+ years in customer-facing and 10+ yrs hands-on technical experience working with Applications, Compute, Storage, Database, Networking, Security.
 Practical experience in building user-facing software products and services, with programming languages like (Python, JavaScript, Go, .Net, Java, etc) or similar
 Experience in developing technology solutions and evangelising end-to-end technology roadmaps that guide IT transformation toward cloud computing
 Strong verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations
 Prior experience in communicating across technical and non-technical audiences, including executive level stakeholders, customers and internal facing teams
 Presentation and whiteboarding skills with a high degree of comfort speaking with internal and external executives, IT management, and developers.

Preferred Qualifications

 Advanced degree in computer science, mathematics, MIS, engineering or related discipline.
 Experience managing open-source projects
 Knowledge of distributed systems design and implementation, large scale automation and workflow management, database design and implementation
 One or more valid AWS Certifications, such as, AWS Solutions Architect or similar
 Experience with AWS services related to core service, AI/ML highly desirable, AWS Lambda, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service,
 Hands on experience leading software development teams, building microservice architectures, such as projects in the software development or Internet industries


Company - PT Amazon Web Services Indonesia

Job ID: A2503902"
3779322666,Cyber Security Consultant ( Offensive ) - Indonesia,https://www.linkedin.com/jobs/view/3779322666,Horangi Cyber Security - a Bitdefender company,https://www.linkedin.com/company/horangi/life,Indonesia 3 weeks ago,3 weeks ago,131,,Remote,,51-200 employees · Computer and Network Security,https://media.licdn.com/dms/image/D560BAQFaL6x1X1Oxuw/company-logo_100_100/0/1701327958973/horangi_logo?e=1712793600&v=beta&t=X4rHl5LaKr2A3n5TxuejZLVX5gt4pB_9AdsEXWv_RoI,"At Horangi, we’re passionate about building a safer cyberspace and creating software that solves challenging cybersecurity problems. Horangi focuses on building partnerships with our customers, developing an understanding of their business goals and building a security strategy that helps achieve their objectives. Horangi’s personnel have an extensive engineering experience and strong background in penetration testing, incident response and strategic consulting including both large multinational networks and small organizations with focused missions. We enjoy solving tough security problems and we are eager to find new challenges and build new relationships.","About The Role 

The Cybersecurity Consultant will work in Horangi’s Cyber Operations (Offensive) team, and works directly with Horangi’s customers to perform offensive security assessments. Members of the Cyber Operations (Offensive) team are generally familiar with most aspects of cyber security but specialize in penetration testing of web and mobile applications and red team operations. They work closely with the Sales and Engagement Delivery team to deliver value to our clients and helping to place Horangi at the top of the security food chain.

Requirements :
At least two years of experience in offensive security (e.g. penetration testing, red teaming).
OffSec Certified Professional (OSCP) and/or CREST Registered Penetration
Tester
Good competency in using scripting languages (Python, VBscript, Javascript, Powershell, etc.)
Passionate about cybersecurity, technically hands-on, driven, willing to learn and teach, and curious about the inner workings of technologies and exploiting their vulnerabilities
Strong communication, writing and interpersonal skills to collaborate wit external and internal stakeholders

It would be good if you have :
At least two years of red teaming / adversary simulation experience, preferably for financial institutions
Additional certifications such as OffSec Experienced Pentester (OSEP), Certified Red Team Operator (CRTO), OSCE³, etc.
Experience using tools such as Nmap, Burp Suite, Cobalt Strike, Fortify, etc.
Public disclosure of vulnerabilities or relevant awards from bug bounty programmes.
Excellent analytical, conceptualisation, and problem-solving skills

Why Horangi :
We value technical competency (and development) in our consultants and the quality of work we deliver to our clients
There is an annual training budget allocated for each consultant to take up cybersecurity related courses/certifications
Opportunities to learn and perform a variety of security assessments beyond web and mobile penetration testing. We have done and continue to do adversary simulations, cloud security assessments, blockchain security and IoT testing. Opportunities to collaborate with defensive disciplines such as threat hunting are also available
We have an awesome delivery team that will help minimize distractions and allow you, our consultant, to focus your efforts on the assessment
Work with and learn from fellow similar-minded colleagues from countries such as United States, Korea, Romania and Indonesia"
3782766697,Full-Stack Engineer,https://www.linkedin.com/jobs/view/3782766697,Turing,https://www.linkedin.com/company/turingcom/life,Jakarta Metropolitan Area 3 weeks ago,3 weeks ago,0,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting",https://media.licdn.com/dms/image/D4D0BAQHB79AE71th8A/company-logo_100_100/0/1688472201595/turingcom_logo?e=1712793600&v=beta&t=4FGWgCfJkxOCKBALRGsvioKS7232ACwtsujijBaMbL8,"Traditional recruiting wasn’t designed for today’s software-first world. The old model is simply too slow, doesn’t allow for deep vetting and takes the control and ownership out of your hands. This is why we built Turing, the world’s most deeply vetted developers and teams, matched by AI. Turing connects world-class engineers with companies to help them achieve their respective career and business goals.

Traditional recruiting is over. Welcome to the Talent Cloud.

Turing enables:
> companies to get matched to vetted remote talent at the touch of a button
> developers to achieve their elite dream career from anywhere in the world

900+ top companies, including Pepsi, Bumble, and Dell, have trusted Turing’s Talent Cloud for their engineering needs.

Recruit Developers/Engineers:
Turing combines AI and a global reach to deliver your ideal engineers tailored to your business needs. Our Talent Cloud matches you to rigorously vetted, quality remote developers.

Try Turing.com for 2 weeks risk-free at turing.com

Turing Careers:
Turing helps you get excellent remote opportunities to build a high-growth career faster.

Find high-quality remote U.S. software jobs across 15 roles and 100+ technologies.

Apply today: turing.com/jobs

—----------------------
Co-founded by @Jonathan Siddarth and @Vijay Krishnan, Turing is an AI-powered technology company disrupting the traditional recruiting model for companies seeking to engage the most deeply vetted developers and teams.

Having raised $140 million from investors, including WestBridge Capital, Foundation Capital, Stanford StartX, and execs from Google, Meta, Microsoft, and Amazon, Turing's last round was on a $4 billion valuation cap.","A U.S.-based company that is leveraging advanced technology to develop a world-class platform for manufacturing analytics, is looking for a Full-Stack Engineer. The engineer will be working together with UX/UI designers to put user-centric solutions into practice. By enabling factory workers to make quicker, more informed decisions based on real-time data, the company's completely automated manufacturing analytics solution offers predictive notifications, real-time manufacturing production data visualizations, and historical analytics. During their Series B round, the company managed to secure $35mn+ in funding.

Job Responsibilities:

Use Node.js to create and manage API endpoints
Make sure APIs are reliable, scalable, and performance-optimized
Utilize SQL databases to work with Sequelize ORM
Control database schemas, create effective queries, and guarantee data accuracy
Use React to create user interfaces that are responsive and easy to use for our APIs
Gain an understanding of machine networking fundamentals to help you better integrate data from manufacturing equipment with the IoT
Make use of your diagnostics knowledge in the Linux environment to troubleshoot and optimize the application configuration
Work closely with other team members, especially those who are creating machine code at a low level, to guarantee smooth data flow and integration

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 4+ years of relevant experience as a full-stack engineer
Extensive experience working with Node, React, and SQL (Sequelize)
Demonstrable experience and knowledge of Socket.io, GraphQL, and Docker
Proficiency in machine networking and the IoT is highly valued
Prior experience in Linux diagnostics and troubleshooting
Excellent problem-solving abilities, meticulousness, and a knack for teamwork
Fluent in English communication, both spoken and written"
3791738290,DevOps Engineer,https://www.linkedin.com/jobs/view/3791738290,,,"Jakarta, Jakarta, Indonesia 3 days ago",,0,,Hybrid,,See how you compare to 13 applicants. Try Premium for IDR0,,,"Company Description: WIR Group merupakan salah satu pemain terkemuka dalam teknologi imersif Augmented Reality (AR) yang terintegrasi dengan Virtual Reality (VR), dan Artificial intelligence (AI) di Asia Tenggara. Dalam melaksanakan kegiatan usahanya, WIR Group memiliki visi untuk menyediakan solusi ‘smart society’ dan dunia O2O (Online to Offline) Metaverse yang dapat dinikmati semua orang (A liveable world of O2O (Online to Offline) metaverse for everyone) dalam memasuki era web 3.0. WIR Group saat ini memiliki 5 (lima) paten global untuk AR yang terdaftar secara nasional maupun pada Patent Cooperation Treaty (PCT) yang mencakup 150+ negara. WIR Group telah menyelesaikan lebih dari seribu proyek, yang meliputi proyek pengembangan aplikasi AR dan VR dan proyek branding, untuk korporasi dari beragam sektor industri yang berada di lebih dari 20 negara. Kegiatan usaha utama WIR Group melalui Anak Usaha yaitu menyediakan jasa teknologi berbasis AR dengan menggabungkan teknologi VR, AI, Internet of Things (IoT) dan teknologi pendukung lainnya seperti Blockchain dan mechatronics sebagai sarana untuk menghasilkan ide dan produk yang memungkinkan interaksi antara dunia virtual dan dunia nyata yang disesuaikan dengan kebutuhan masing-masing konsumen. WIR Group masuk ke dalam daftar “Metaverse Technology Companies to Watch in 2022” versi Forbes bersama-sama dengan Apple, Microsoft, Facebook, Magic Leap, Niantic, dan Snap Inc. WIR Group menjadi salah satu pembicara yang mewakili Indonesia di acara ASEAN-ROK (Republic of Korea) Innovation Summit 2021 dan membicarakan dimulainya era Metaverse. Selain itu WIR Group juga dipercaya oleh pemerintah Pemerintah RI (Kementerian Investasi/BKPM) untuk mewakili Indonesia pada kegiatan World Economic Forum (WEF) Davos pada tahun 2019, 2020 dan 2022. Job Description:

 DevOps Engineer"
3707593845,Backend Software Engineer,https://www.linkedin.com/jobs/view/3707593845,ION Mobility,https://www.linkedin.com/company/ionmobility/life,"Jakarta, Jakarta, Indonesia 3 months ago",3 months ago,88,,On-site,,11-50 employees · Motor Vehicle Manufacturing,https://media.licdn.com/dms/image/D560BAQFA16Yx1-_rWw/company-logo_100_100/0/1699247663901/ionmobility_logo?e=1712793600&v=beta&t=Y3jzBsqZQmhh6CcxOc_a1I-eAgIZtHD3d_7k3OtQb8Q,"ION Mobility’s mission is to create affordable, desirable, and sustainable mobility for everyone. We are committed to creating great products and seamless user experiences for our customers.","We are seeking a talented Backend Engineer with expertise in Manufacturing Execution Systems (MES) to play a pivotal role in designing, developing, and maintaining our MES platform. As a Backend Engineer at Ion Mobility, you will have the opportunity to work on innovative projects that will drive efficiency, quality, and productivity in manufacturing processes.

What You Will Do

Collaborate closely with cross-functional teams, including manufacturing, operations, and IT, to understand system requirements. 
Design, develop, and maintain scalable and efficient backend systems for our MES platform. 
Implement data collection, analysis, and reporting features to improve manufacturing processes. 
Optimize system performance and ensure high availability and reliability. 
Collaborate on database design and optimization for manufacturing data storage and retrieval. 
Troubleshoot and resolve technical issues, ensuring minimal downtime. 
Stay current with industry trends and best practices in MES development. 

Who You Are

Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience). 
Proven experience as a Backend Engineer with a focus on MES or manufacturing systems. 
Strong proficiency in programming languages commonly used in MES development. 
Experience with database technologies (SQL, NoSQL) and data modeling for manufacturing data. 
Familiarity with manufacturing processes and workflows. 
Experience with IoT technologies and sensor integration. 
Previous work on projects involving process optimization and automation in manufacturing. 
Understanding of security best practices in manufacturing system development. 
Knowledge of real-time data processing and integration with shop floor equipment. 
Excellent problem-solving and debugging skills. 
Strong communication and collaboration abilities. 

About ION Mobility

We are pushing the frontiers of what is possible by developing desirable products as clean alternatives for urban users, to alleviate urban air pollution, and to lead the inevitable transition to EVs across Southeast Asia. Our team is constantly pushing the boundaries of innovation and design to create an electric riding experience that doesn't compromise on quality or style.

Join the team to bring about the future of mobility with us today!"
3664636845,Lead Data Science - Transportation Company,https://www.linkedin.com/jobs/view/3664636845,Michael Page,https://www.linkedin.com/company/michael-page/life,Jakarta Metropolitan Area 5 months ago,5 months ago,18,,On-site,,"5,001-10,000 employees · Staffing and Recruiting",https://media.licdn.com/dms/image/D4E0BAQHpnANIG_FYpg/company-logo_100_100/0/1688136319954/michael_page_logo?e=1712793600&v=beta&t=DJDLuApQFyKVzky8o_ojF-Z1u1aLMiXnstQVAZTDHkQ,"Welcome to the Michael Page global company profile.

Michael Page has five decades of expertise in professional services recruitment. We were established in London in 1976, and over this period we've grown organically to become one of the best-known and most respected consultancies, with an office network spanning six continents.

While size has its advantages, it doesn't define us - the nature of our organic growth means that each new office is integrated into the region that it serves. It also means that as an employer looking to hire, or as a candidate aiming to grow your career you have the best of both worlds; a team that understands the market and geography you operate in, plus the resources and expertise of an international network at your disposal.

Our teams are broken down to focus on industry, assignment type, salary level and location, so your hiring requirements or job search will all be handled by a specialist who knows your sector inside-out. We are confident that our expertise can add value to your recruitment or job search process – get in touch to find out more.
…
show more","Portfolio in leading team to build data science foundation|Competitive salary and benefit


About Our Client

Client is one of the biggest transportation company in Indonesia.

Job Description

Lead a team in providing data modeling, mining, pattern analysis, data visualization and Machine Learning/Deep Learning/Artificial Intelligence solutions
Drive the design for accurate and scalable prediction algorithms
Initiate and implement the application of mathematical models, simulation models, machine learning algorithms, operations research techniques, and strong business acumen to deliver insight, recommendations, and solutions
Bridge the data science team with data engineers and data analyst to analyze, extract, normalize, and label relevant data
Be the key person to collaborate the data science team with software engineering and IoT engineering team to bring analytical prototypes to production
Initiate and identify actionable insights for business improvements across business function in the company
The Successful Applicant

Bachelor's degree or equivalent experience in quantitive field (Statistics, Mathematics, Computer Science, Engineering, etc.)
5+ years of experience in quantitative analytics or data modeling
Experienced in leading a team of 2-3 data scientists
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Strong business acumen and ability to align data models in answering business problems
Proficient in SQL and experience working with statistical computer languages (R, Python, etc)
Experience in machine learning framework (Scikit-Learn, Pandas, MlLib Spark, Tensorflow, etc)
What's on Offer

Portfolio in leading team to build data science foundation

Competitive salary and benefit

Contact: Clairine Lonteng

Quote job ref: JN-072023-6119642"
3633598481,Business Development Manager - Smart Living & Office Solution,https://www.linkedin.com/jobs/view/3633598481,Michael Page,https://www.linkedin.com/company/michael-page/life,Jakarta Metropolitan Area 6 months ago,6 months ago,31,,On-site,,"5,001-10,000 employees · Staffing and Recruiting",https://media.licdn.com/dms/image/D4E0BAQHpnANIG_FYpg/company-logo_100_100/0/1688136319954/michael_page_logo?e=1712793600&v=beta&t=DJDLuApQFyKVzky8o_ojF-Z1u1aLMiXnstQVAZTDHkQ,"Welcome to the Michael Page global company profile.

Michael Page has five decades of expertise in professional services recruitment. We were established in London in 1976, and over this period we've grown organically to become one of the best-known and most respected consultancies, with an office network spanning six continents.

While size has its advantages, it doesn't define us - the nature of our organic growth means that each new office is integrated into the region that it serves. It also means that as an employer looking to hire, or as a candidate aiming to grow your career you have the best of both worlds; a team that understands the market and geography you operate in, plus the resources and expertise of an international network at your disposal.

Our teams are broken down to focus on industry, assignment type, salary level and location, so your hiring requirements or job search will all be handled by a specialist who knows your sector inside-out. We are confident that our expertise can add value to your recruitment or job search process – get in touch to find out more.","Excellent remuneration package|Great career growth


About Our Client

The client is a multinational company and a leader in Smart Living/Office systems. Mastering integration of the whole ecosystem and also bringing the most hi-tech solution, they're constantly breaking new barriers and excelling in the market with their expertise.

Job Description

Key responsibilities include (but are not limited to):
Be at the forefront of the market to gain market intel on market demands
Build and maintain relationship with key customers and partners in order to secure projects for share of pocket in the market
Actively promote the company's hi-tech solutions and potential in the market to gain market awareness
Provide necessary support to and coordination with other operating teams in order to win market business
Do market research and mapping to understand the company's brand position and actively aim to grow market share
The Successful Applicant

The successful candidate is someone with strong experience and exposure in Office/Building/Home automation, potentially with a mixed experience of Access Control, Home/Building Security, Smart Home/Building Solutions, Building/Office Networking, and other fields related to smart space technology.

The candidate also possesses strong track record in building company brand reputation and growing market share in the related field, with strong networks with the end users or other channels or supporting players, such as contractors, system integrators, consultants, etc.

What's On Offer

The client offers excellent remuneration package and great career growth.

Contact: Stephen Andrean

Quote job ref: JN-062023-6082684"
3794168026,Embedded Engineer (PARKEE),https://www.linkedin.com/jobs/view/3794168026,Dealls,https://www.linkedin.com/company/dealls/life,Jakarta Metropolitan Area 1 week ago,1 week ago,7,,Hybrid,,See how you compare to 7 applicants. Try Premium for IDR0,,,"🙌🏻 About Us

PARKEE is an integrated IoT platform solution connecting users, parking providers, and building owners.

Utilizing technological advancements and innovations, PARKEE develops maximum land potential for landowners and managers. Providing more benefits, through the distribution of cost-effective management, providing a holistic and comfortable experience, as well as strengthening the management function through the provision of vehicle traffic data for analysis, with maximum transparency.

💰Salary

Very competitive

👑 Job Role

Develop high-quality software for embedded devices using C/C++, Linux, RTOS and other tools
Meeting with clients and the software design team to determine software specifications.
Designing and writing the embedded software code according to desired specifications
Testing the software for scalability and structure
Implementing the embedded system and interpreting error reports.
Troubleshoot and resolve software issues
Document software design and functionality
Collaborating with vendors to enhance the capabilities of the device reader for improved functionality and compatibility
Follow software development best practices and standards

⛩️ Requirements

Bachelor’s degree in computer science or computer engineering
Experience with a complete life-cycle of an embedded software system
Proficient in C and C++ programming languages
Knowledge of modern OS coding techniques, IP protocols, and hardware interfaces
Extensive experience in developing embedded systems using C and C++ programming languages.
Proficient in scripting with bash/shell scripts for automation and system-level tasks
Experienced in integrating REST APIs for developing scalable and efficient applications
Skilled in utilizing SQLite databases for data storage and retrieval
Proficient in designing and implementing solutions using Object-Oriented Programming (OOP) principles
Experienced in utilizing dynamic and static libraries to enhance software functionality
Expertise in implementing multi-threading techniques to optimize performance
Strong knowledge and skill set in Linux operating systems
Specialization in the field of electronic financial devices, specifically developing device readers for electronic cards
Good communication skills and the ability to project manage

🎁 Perks

Medical Insurance"
