id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,about_the_job
3780360980,"Senior Machine Learning Engineer (Bangkok based, relocation provided)",htthttps://www.linkedin.com/jobs/view/3780360980,Agoda,https://www.linkedin.com/company/agoda/life," ",2 weeks ago,5,,Full-time,,"5,001-10,000 employees · Software Development","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.

Get to Know Our Team

The Engineering department oversees all Agoda’s ML and software related requirements. Our goal is to enable and increase Agoda’s business through creative approaches and the implementation of powerful resources such as operational and analytical databases, ML driven solutions, queue systems and data monitoring tools. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the engineering team plays at Agoda is critical as business users, product managers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the ML engineering squad, but also the reward. We work across structured and non-structured data at scale. For example, our current ML models process millions of images every day to try and enhance the experience that our users get from our app.

Why Agoda Engineering Team (ML role)?

Our engineering teams are at the intersection of business analytics, ml engineering, data warehousing and software engineering. Our job involves dealing with distributed systems, stream processing, ml modeling and computation at tens of PB Scale. We focus on software engineering related to data replication, storage, centralized computation, and Data API’s. By providing our users with ML products/tools, shared frameworks, and ML services, we enable our company to validate strategic decisions, make smarter choices, and react to the fast-changing world. We are a small but passionate team with people from different nationalities working together on a single goal.

In this Role, you will get to:

 Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing ML systems and processes.
 Build, administer and scale ML processing pipelines.
 Be comfortable navigating the following technology stack: Python3, Pyspark, scripting (Bash/Python), Hadoop, SQL, S3 etc.
 Should be able to understand internals of ML models such as Random Forest, CNN, Regression models, etc
 Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality.
 Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks.
 We believe in end-to-end ownership; this role will involve taking ML models to production at a scale.

What You’ll need to Succeed:

 Bachelor’s degree in computer science /information systems/engineering/related field
 8+ years of experience in software engineering with a minimum of 4+ years in ML
 Good experience in Pyspark
 Expert level understanding of Python with design patterns and object-oriented programming.
 Experience debugging and reasoning about production issues is desirable.
 A good understanding of data architecture principles preferred.
 Any other experience with Big Data technologies / tools
 SQL experience
 Analytical problem-solving capabilities & experience.
 Systems administration skills in Linux
 A strong engineering driven mindset will be required to succeed in this role.

It’s great if you have:

 Good understanding of Hadoop ecosystems
 Experience working with Open-source products
 Experience with Scala development
 Working in an agile environment using test driven methodologies

#telaviv #jerusalem #IT #ENG #4 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #doha #alrayyan #riyadh #jeddah #mecca #medina #singapore #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #london #manchester #edinburgh #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #jerusalem #IT #4

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3773091658,Sr. Python Engineer,htthttps://www.linkedin.com/jobs/view/3773091658,Nikel,https://www.linkedin.com/company/nikel-embedded/life," ",2 weeks ago,115,,On-site,,11-50 employees,"Background

Nikel is a financial technology company that enables small business lending in Southeast Asia. We combine deep expertise in alternative lending with best-in-class technology solutions to bridge international capital markets with underserved communities in Southeast Asia. Website: https://nikel.com/

Role
To support our growth, we are looking for a Software Development Engineer to join our team in Jakarta. This is a unique opportunity to get exposure to modern core banking solutions and build exciting, impactful financial products that scale. We are seeking a candidate with experience in financial services products, Python expertise and test-driven development practices.

Key Responsibilities: 
Implement credit products in Python using existing frameworks (e.g. Flask and Bottle) and systems
Drive implementation and incremental optimization of existing products 
Build ad-hoc solutions in support of the rest of the engineering function
Write clean, well-documented code that passes tests 
Provide technical leadership and expertise to the rest of the engineering function as Python Subject Matter Expert.

Qualifications Required: 
Bachelor’s/Master’s degree in any related field 
6+ years of relevant working experience 
3+ years of direct experience in Python software development 
Proficiency in financial services products (esp. credit & lending) 
Familiar with modern architectural patterns and development practices 
Strong quantitative and analytical skills; strong problem-solving skills 
Fluency in English 
Extreme attention to detail 
Enthusiastic and quick learner 
Ability to thrive in an environment with a high degree of volatility and uncertainty 
Can work unsupervised and prioritize, and accomplish tasks accurately and on a timely basis

Benefits
Challenging role in a startup environment with strong growth ambitions
Meaningful work toward the Company’s social impact mission and vision
Competitive compensation and benefits

At Nikel, we are committed to diversity and equitable access to employment opportunities based on ability. Interested candidates can send their applications to sitti@nikel.com. We thank all applicants for their interest but will only contact candidates selected to advance in the hiring process."
3784198639,Senior Data Engineer,htthttps://www.linkedin.com/jobs/view/3784198639,Grab,https://www.linkedin.com/company/grabapp/life," ",1 week ago,108,,On-site,,"5,001-10,000 employees · Software Development","Job Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.

Get to know the Team

The Fulfillment tech family is one of the pillars enabling Grab to out-serve our customers and partners in different businesses and marketplaces across Southeast Asia. We are working on high throughput, real-time distributed systems that use advanced software engineering techniques to solve hundreds of millions of requests per day. We are a distributed team in 4 different locations: Singapore, Beijing, Indonesia, and Malaysia. Our communication is in English, both in spoken and written form.

Our mission is to offer the best-in-class products and experiences to our driver partners as to increase adoption and engagement of our services. Improve driver partner opportunities and efficiency in order to fulfill customer orders without fail, rain or shine. And to create efficient marketplaces by determining an optimal price that is both sustainable and loved by our partners and customers.

Get to know the Role

As the Data engineer in the Fulfillment Data Engineering team, you will work closely with data modelers, product analytics, product managers, software engineers and business stakeholders across the SEA in understanding the business and data requirements. You will be responsible for building and managing the data asset, including acquisition, storage, processing and consumption channels, and using some of the most scalable and resilient open source big data technologies like Flink, Airflow, Spark, Kafka and more on cloud infrastructure. You are encouraged to think out of the box and have fun exploring the latest patterns and designs.

The Day-to-Day Activities

Developing scalable and reliable ETL pipelines and processes to ingest data from a large number and variety of data sources
Developing a deep understanding of real-time data productions availability to inform on the real time metric definitions
Maintaining and optimizing the performance of our data analytics infrastructure to ensure accurate, reliable and timely delivery of key insights for decision making
Design and deliver the next-gen data lifecycle management suite of tools/frameworks, including ingestion and consumption on the top of the data lake to support real-time, API-based and serverless use-cases, along with batch as relevant

The Must-Haves

At least 5+ years of relevant experience in developing scalable, secured, distributed, fault tolerant, resilient & mission-critical Big Data platforms.
Proficiency in at least one of the programming languages Python, Scala or Java.
Strong understanding of big data and related technologies like Flink, Spark, Airflow, Kafka etc.
Experience with different databases – NoSQL, Columnar, Relational.
You have a hunger for consuming data, new data technologies, and discovering new and innovative solutions to the company's data needs
You are organized, insightful and can communicate your observations well, both written and verbally to your stakeholders to share updates and coordinate the development of data pipelines

The Nice-to-Haves

You have a degree or higher in Computer Science, Electronics or Electrical Engineering, Software Engineering, Information Technology or other related technical disciplines.
You have a good understanding of Data Structure or Algorithms or Machine Learning models.

Our Commitment

We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers."
3787664807,DevOps Engineer,htthttps://www.linkedin.com/jobs/view/3787664807,AJARI TECHNOLOGIES,https://www.linkedin.com/company/ajari/life," ",3 days ago,59,,On-site,,51-200 employees,"Company Description
AJARI Technologies is an AI Solutions Company based in Jakarta Metropolitan Area. We are dedicated to leveraging AI technology to optimize processes, enhance decision-making, and improve outcomes across various industries, with a primary focus on High-Level Education Technology. Our team of experts deploys state-of-the-art machine learning algorithms to drive innovation and efficiency in developing our customized AI capabilities.

Role Description
This is a full-time on-site role for a DevOps Engineer at AJARI Technologies. The DevOps Engineer will be responsible for Infrastructure as code (IaC), Software Development, Continuous Integration, System Administration, and working with Linux-based systems. They will work closely with the development team to ensure efficient and reliable operation of the infrastructure, and will be responsible for optimizing and scaling the infrastructure to support growing customer demand.

Qualifications
Hands-on experience with Infrastructure as Code (IaC) tools such as Terraform, Ansible, or CloudFormation
Proficiency in one or more software development languages such as Python, Java, or Go
Experience with Continuous Integration using tools such as Jenkins or GitLab CI/CD
Highly skilled in working on Linux-based OS and open source IDLE
Have working experience in developing, testing, debugging, and troubleshooting system-level scripts in Python or Bash
Experience working with cloud-based platforms such as AWS, Azure, or GCP is a plus
Highly skilled in all kinds of infrastructure tools that turns source code in a text file to infrastructure resource in production, including but not limited to : Linux, Git, Ansible, Docker, Kubernetes, Alibaba Cloud, Google Cloud Platform, On-Promise Server.
Min 2 Years of DevOps Engineer and 2 year cloud infrastructure experience and team
Practical problem solver, highly analytical, great team player, have excellent work ethic, and have strong security ethics
Can communicate clearly, timely, and professionally
With technical and non technical users
With individual contributors
Expert in multi-tasking, both in planning, executing, and managing projects thoroughly in issue tracking tools
Bachelor's degree or higher in Computer Science, IT, or a related field
Proficient in English are preferrable"
3747625315,Data Engineer,htthttps://www.linkedin.com/jobs/view/3747625315,SeaMoney,https://www.linkedin.com/company/seamoney/life," ",,297,,On-site,,201-500 employees · Financial Services,"Job Description

Work closely with Data PM, Business Intelligence Analyst, & other Engineers to turn data into information that can be used to make sound business decisions.
Build and maintain data pipelines, data warehouses, and data marts that support business intelligence and data analytics initiatives and based on the requirements of accuracy, timeliness, reliability, and scalability.
Develop and implement best practices for data management, including data quality, data security, and data privacy.
Build and maintain analytics tools that utilize the data pipeline to provide actionable insights into operational efficiency and other key business performance metrics.
Being responsible for the full life cycle development, implementation, and support of self-serve data products.
Adhere to software development best practices, including test-driven development

Requirements

Master’s or bachelor’s degree in Computer Science/Information Systems or any related fields.
2+ years of relevant experience working in Data Engineering or related fields.
Expert in SQL, Spark, HDFS, Kafka, Airflow, and other data processing/engineering tools.
Expertise working with Python is essential.
Experience working in a UNIX environment is preferred.
Proficient in data modeling concepts, batch processing, and lambda architecture.
Proficient in Software Development Life Cycle (SDLC) including code version control, test driven development, and technical documentation.
Solid software engineering skills with experience in scripting, APIs, and computational automation.
Ability to translate complex technical concepts to non-technical stakeholders.
Excellent problem-solving skills with the ability to troubleshoot and resolve data-related issues.
Comfortable working with a variety of languages, frameworks, and technologies, adapting to the most suitable tool for the task at hand.
Ability to converse in English is strongly preferred as we are deeply working with regional teams."
3778798363,Senior Data Engineer,htthttps://www.linkedin.com/jobs/view/3778798363,JULO,https://www.linkedin.com/company/juloindonesia/life," ",2 weeks ago,103,,,,"501-1,000 employees · Financial Services","Roles and Responsibilities:
As part of the analytics team you will design, develop and implement data products and tools together for our business analysts and data scientists.
You will be responsible for the reliability, scalability, and usability of all of our all of our data elements, whether in databases or in raw form.
You will maintain and manage data storage, workflows and pipelines and work closely with our backend engineers to put these solutions into production.
Automate manual processes, optimize data delivery, re-design infrastructure for greater scalability
Build the infrastructure required for optimal extraction, transformation and loading of data from a wide variety of data sources using SQL and other technologies.
You research new technologies and solutions in the realm of data analytics and data science that can increase the performance, reliability and quality of our data assets.
You will collaborate with internal teams (engineering, analytics, and operations) to bring our products from design to delivery

You should have:
Exceptional CAN-DO ATTITUDE
Bachelor’s degree in Engineering, Computer Science, or similar advanced degree
3+ years working experience developing ETL solutions, data workflows, pipelines and products in
Python, R, Scala or equivalent
Familiarity with Test Driven Development
Solid communication skills (Bahasa Indonesia and English)
Attention to detail and high-quality standards
You are resourceful, flexible and self-motivated to explore new technologies to solve the problem at hand
Able to write basic to advanced SQL queries
Familiar with launching and managing in at least one of the major cloud services (AWS, GCP, Azure or AliCloud)

Nice-to-have experience in any of the following:
Knowledge about machine learning and the python data stack: Numpy, Pandas, Scipy, Scikit-learn etc.
Stream and batch processing
Familiar with other data technologies: e.g. Airflow, Spark, Elastic Search, Kafka, PubSub
Master’s Degree in Engineering or Computer Science"
3777063644,DevOps Engineer,htthttps://www.linkedin.com/jobs/view/3777063644,MIMS Pte Ltd,https://www.linkedin.com/company/mims-pte-ltd/life," ",2 weeks ago,153,,Remote,,"501-1,000 employees · Hospitals and Health Care","Who We Are:
MIMS is Asia-Pacific’s leading multi-channel provider of trusted, quality medical information, medical education, and knowledge services connecting healthcare communities. Our work empowers healthcare professionals to improve patient outcomes by facilitating knowledge exchange and better decision-making. Today, MIMS has a strong regional presence in 17 countries and regions across Asia-Pacific with approximately two million healthcare professionals subscribed to its drug & resource portal, digital and print publications. We provide solutions to leading pharmaceutical companies and established healthcare institutions across the world. 

Who We are Looking For:
We are looking for a talented, motivated, and passionate engineer with a strong technical background to join the Marketing Platform Team. 
 As a DevOps Engineer, you will be a significant contributor to the Product team as you design, build, enhance, and maintain highly scalable and innovative solutions for MIMS.

Roles & Responsibilities:
Design and implement Microsoft DevOps Solutions.
Design, implement, and maintain CI/CD pipelines in Azure DevOps.
Integrate pipelines with external tools, including dependency scanning, security scanning, and code coverage.
Design and implement quality and release gates, including security and governance.
Plan and implement branching strategies for the source code.
Design and implement a package management strategy.
Design and implement a dependency versioning strategy for code assets and packages, including semantic versioning and date-based.
Develop complex pipeline scenarios, such as containerized agents and hybrid.
Design a deployment strategy, including blue/green, canary, ring, progressive exposure, feature flags, and A/B testing.
Define an IaC strategy, including source control and automation of testing and deployment.
Monitor pipeline health, including failure rate, duration, and flaky tests.
Optimize pipelines for cost, time, performance, and reliability.
Implement continuous monitoring with Azure Monitor and Application Insights.
Implement continuous testing solutions with Dev and QC teams.

What Skills and Experience You will Bring:
Degree in Computer Science/Information Technology or any related
Must have at least 3 years work experience with Azure DevOps or GitHub Actions.
Must have at least 2 years software development with C# and .NET eco-system.
Must have been experienced in implementing CI/CD pipelines for automating software releases for Microsoft Azure cloud services such as Web App Service, WebJobs, Azure Functions, Azure Container Apps.
Programming and scripting languages required: Azure CLI, PowerShell, C#, YAML
Knowledge working with RESTful APIs, distributed microservices based architecture.
Strong analytical and problem-solving skills, self-motivated, team player with a proactive approach.
Possess good communication skills and a strong team player working in a multi-culture environment.
Organized and familiar with technical documentations, building workflows and diagrams.
Must be able to work independently on a given project as well as within a team.
Demonstrate understanding or keen interest in latest technologies.
AZ-900: Microsoft Azure Fundamentals certificate is required.
AZ-400: Designing and Implementing Microsoft DevOps Solutions certified, will be a plus.

Why Work with Us:
You will be part of huge in-house IT team with multi-cultural environment.
You will be directly involved in developing the products with vast opportunity to experience cloud technology.
We offer a vast opportunity for continuous improvement involving latest technologies.
Excellent career growth opportunity."
3779349269,Cloud Engineer,htthttps://www.linkedin.com/jobs/view/3779349269,iZeno,https://www.linkedin.com/company/izeno-pte-ltd/life," ",1 week ago,121,,Hybrid,,51-200 employees · IT Services and IT Consulting,"iZeno was founded in 2003 to provide enterprises with custom-built technology solutions they need to keep their business running seamlessly. Logicalis Asia, part of the Logicalis Group, a leading international IT solutions and managed services provider, has acquired a majority stake in iZeno, a company specialising in digital transformation, application modernisation, DevOps, customer experience and hybrid cloud solutions.

With a team of 120+ in-house innovators, we have delivered over 500 Enterprise Solutions, implemented, and optimized to enable smarter insights. Our team draws on industry experiences in accomplishing a portfolio of mission-critical applications, integrating Cloud, CRM, Data Analytics, and other leading technologies with our clients' existing IT frameworks.
With leading presence in the region, headquartered in Singapore and operation in Malaysia, Indonesia, Thailand and Philippines, no project is too complex for us, and our team is always ready for a new challenge.

About the role:
Perform administrative tasks related to install Linux (RedHat) servers from scratch, configure, patching, and has good troubleshooting skills.
Performance monitoring for all Linux servers (OS, CPU, Memory, Network, Disk and Process), detect, diagnose, report and resolve Linux server related hardware and OS problems.
Perform hardening and security configuration of Linux (RedHat) servers.
Establish and maintain documentation and standards.
Works as part a team and provide the support when required.

What we are looking for:
Bachelor's degree or Diploma in Computer Science, related technical field, or equivalent practical experience.
RedHat certifications is preferred.
Knowledge of best practice especially for RedHat OpenShift Container Platform, RedHat OS, and IT operations in an always-up, always-available service.
Hands-on experience with Linux (RedHat) environment, managing, troubleshooting and configuring servers will be advantageous.
Working experience and knowledge with automation/configuration management using ansible.
Working experience in scripting, Bash, Shell, and basic DevOps.
Working experience with applications such as web/proxy servers, LDAP, database (Cassandra, PostgreSQL), Kafka, etc.
Work effectively in a fast-paced implementation environment.
Good analytical and problem solving attitude, work independently and as part of a team.
Understand and willing to adapt with new technology (cloud computing, container, or configuration and automation management).

What we have to offer:
An exciting job with latest technology.
Continuous training & development of soft and hard skills.
A competitive salary, in line with your profile.
A package of benefits including healthcare insurance.
An awesome team of colleagues & regular team building activities.
The ability to work with the world’s leading companies in technology and innovation.
An environment where we embrace openness, transparency and grab every opportunity to have fun, while always doing what is right for our customers and partners.

Posting Code: #LI-RD1"
3782202950,Embedded Software Engineer,htthttps://www.linkedin.com/jobs/view/3782202950,Staffing Ninja,https://www.linkedin.com/company/staffing-ninja/life," ",1 week ago,68,,Remote,,1-10 employees · Staffing and Recruiting,"Job Responsibilities:
● Proficient in C and C++ programming languages.
● Familiarity with embedded programming concepts and bare metal programming.
● Knowledgeable about I2C, UART, SPI, and CAN protocols.
● Desirable understanding of RTOS concepts.
● Experience of at least 2-3 years with ARM-based processors such as Ti DSP Controllers, NXP, ST, etc.
● Capable of identifying and resolving hardware and software technical issues.
● Competent in MCU Peripheral driver usage for SPI, I2C, UART, CAN.
● Familiarity with Automotive firmware development and using test tools for CAN/I2C/SPI module verification.
● Proficient in using JTAG/SWD debugger.
● Understanding of ASIL and AutoSAR-based product development.
● Strong analytical and problem-solving skills.
● Desirable familiarity with agile concepts.
● Proficient in utilizing test and measurement equipment like oscilloscopes, logic analyzers, multimeters, etc.
● Basic understanding of wireless technologies such as Zigbee, Bluetooth, and WIFI products.
● Quick learner with the ability to adapt.
● Basic knowledge of Microsoft tools, Jira, or any project management tools.
● Basic familiarity with code management tools like Bitbucket, SVN, etc.
● Excellent verbal and written communication skills.
Qualifications:
● Bachelor’s/Master’s degree in Engineering.
● 3-6 years’ experience in firmware development (automotive/industrial products) with at least 3 years in development and testing.
● Minimum 2 years’ experience in developing low-level MCU peripheral drivers for UART, SPI, I2C, CAN.
● Minimum 2 years’ experience in developing embedded applications for bare metal (Non-RTOS) based systems.
● Ability to interpret schematics and datasheets.
● Responsible for writing modular code while adhering strictly to coding standards.
● Proficient in debugging and problem-solving with minimal support.
● Capable of performing unit testing for completed features.
● Effective communication skills.
● Knowledge of Automotive firmware development and understanding of ASIL and AutoSAR-based product development."
3783345728,Cloud Engineer,htthttps://www.linkedin.com/jobs/view/3783345728,Packet Systems Indonesia ,https://www.linkedin.com/company/packet-systems-indonesia/life," ",5 days ago,39,,On-site,,201-500 employees · IT Services and IT Consulting,"Job Specification: 
Requirement : 
Hold a bachelor's degree (S-1 degree) in Information Technology Computer Engineering or Telecommunication from a reputable university with a minimum IPK of 3.0.
5 years of working experience as ·engineer is a plus.
Deep knowledge of the Cloud environments (Azure, AWS, etc) is a must.
Having Cloud Certification is a must ·
Deep knowledge of Virtualization, server, storage & backup technology such as VMWare, Cisco UCS, DELL, Pure Storage, Netapp & Veeam. 
Preferably having Experienced in administering physical and virtual environments.
Preferably have Experienced in Linux Administration.
Minimum 5 years of relevant experience operating in a similar role. 
Have a passion for technology and wants to make a difference with technology solutions. 
Strong analytical and troubleshooting skills.
Excellent interpersonal & communication skills.
Fluent in English, good communication skills.
Competent with Microsoft Office applications i.e. Microsoft Visio, Word, Excel, and PowerPoint.
Ability to perform under pressure and tight time constraints; be able to work under limited guidance in line with a broad plan, or strategy. 
Leadership, teamwork, commitment, and service excellence are personal qualities.

Job Description: 
The role shall cover the following: 
For Project based: 
Support for a new installation, integration into the existing system, migration, and monitoring. Including all documentation related to the project (Site Survey, MoP, UAT, as build documentation).
 For Maintenance based: 
Support for troubleshooting problems in all PSI customers. Also, support for change requests in the customer network. Including reporting, documentation, and standby monitoring. 
Support for Onsite Resident Engineer on PSI Customer Site.
Provide server and system operation support, problem isolation, and troubleshooting for incidents. Proactively maintain and develop infrastructure technology for backend services."
