id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,company_logo,company_description,about_the_job
3797587566,Digital Marketing Manager,https://www.linkedin.com/jobs/view/3797587566,Confidential,https://www.linkedin.com/company/confidentialcompany/life,"Jakarta, Jakarta, Indonesia",3 weeks ago,100,,On-site,,"10,001+ employees · IT Services and IT Consulting",https://media.licdn.com/dms/image/C510BAQESoEd_uyChWA/company-logo_100_100/0/1630564888472/confidentialcompany_logo?e=1715212800&v=beta&t=u3i_x3TcIenHLRWE4W28OOeAZNAOcr_yz8SlBWyEIIo,We help organizations grow! We do this confidentially!,"Responsibilities:
Plan and coordinate daily content creation for company's social media platforms
Plan and oversee digital strategy (digital ads, SEO/SEM, email, web and social media)
Analyze the overall effectiveness and continuously optimize the company's entire digital strategy
Analyze and identify potential digital trends in related industries, especially building materials based on data and insights
Collaborate with the IT Division to perform web optimization
Prepare detailed and comprehensive corporate digital strategy performance reports on a regular basis
Synergize with agencies/vendors

Qualification:
Min. Bachelor’s Degree from any major
Proven experience as a digital marketing (managerial level)
Candidates with experience working in the FMCG Industry, Digital Agency, startup or market plan are preferred
Familiar with marketing tools (Google Analytics, SEO/SEM, Content Management Tools, etc)
Proficient in using social media as a marketing tools
Have good understanding of web optimization
Expert in data analysis
Fluent in English"
3814241124,VP of Growth,https://www.linkedin.com/jobs/view/3814241124,Evermos,https://www.linkedin.com/company/evermos/life,"Jakarta, Indonesia",4 days ago,100,,On-site,,"501-1,000 employees · Technology, Information and Internet",,,"As the VP of Growth at Evermos, your role is to be the driving force behind Evermos's expansion. You will work closely with our leadership team to develop and execute strategies that will help us grow, attract more customers, and increase our revenue.

Key Responsibilities:
Collaborate closely with the founding team to define and refine the company's growth strategy and long-term objectives.
Conduct market research and competitor analysis to identify niche opportunities for growth.
Develop and implement holistic growth plans, encompassing product launches, go-to-market strategies, and targeted marketing campaigns.
Drive customer acquisition, retention, and upsell initiatives.
Optimize sales and marketing funnels to enhance conversion rates.
Build and lead a nimble, results-driven growth team, including marketing, sales, and business development professionals.
Foster a culture of innovation and provide mentorship and professional growth opportunities to team members.
Define and track key performance indicators (KPIs) to gauge growth success.
Leverage data insights to make informed decisions, iterate strategies, and enhance performance.
Identify and establish strategic partnerships, collaborations, and alliances to amplify growth.
Manage partnerships that align with the company's mission and growth objectives.
Continuously evaluate market trends and customer needs to identify avenues for new product or service offerings.
Oversee successful product launches and rapid market penetration.
Develop and manage the growth budget, ensuring cost-effective allocation of resources.
Monitor spending and ROI on growth initiatives, optimizing resource utilization.
Collaborate closely with customer support and experience teams to ensure exceptional customer journeys.
Implement strategies to enhance customer satisfaction, loyalty, and advocacy.

Requirements:
Demonstrated ability to think creatively and entrepreneurially, fostering a growth-oriented culture.
Exceptional leadership skills with the ability to build, inspire, and lead high-performing teams in fast-paced environment.
Proficiency in data analysis and interpretation to drive data-centric decision-making.
Strong verbal and written communication skills to articulate growth strategies and results effectively.
Deep understanding of the startup landscape, including emerging trends, funding sources, and market dynamics.
Proactive approach to identifying and capitalizing on growth opportunities while navigating the unpredictability of startup life.
Strong commitment to achieving and exceeding growth targets and KPIs in a resource-constrained environment.
Solid financial management skills to optimize resource allocation and budget management.
Uphold the highest ethical standards and integrity in all growth-related activities.
Strong networking skills and the ability to build and nurture relationships with key stakeholders, investors, and partners within the startup ecosystem.

As the VP of Growth in Evermos, you'll be a key player in our journey to success, driving our growth and helping us reach new heights. Your role is all about being strategic, leading a great team, and getting results.

NOTE:
Evermos is committed to providing an inclusive environment where equal opportunities are available to all applicants regardless of race, color, religion, gender, national origin, disability, age, genetic information, marital status, pregnancy, or related condition. We will not tolerate discrimination or harassment based on any of these characteristics.

We also emphasize the importance of diversity in all aspects of employment including recruitment, hiring, promotions, training, and organization operations."
3820129218,Performance Marketing Analyst,https://www.linkedin.com/jobs/view/3820129218,PT Esensi Solusi Buana (ESB),https://www.linkedin.com/company/pt-esensi-solusi-buana-esb/life,"North Jakarta, Jakarta, Indonesia",2 days ago,93,,On-site,,201-500 employees · IT Services and IT Consulting,,,"About the role:
In this role you will work closely with the marketing team to understand business goals, translate them into actionable strategies, and implement campaigns that deliver measurable results. This role will be a data enthusiast, constantly evaluating campaign performance and making data-driven decisions to maximize ROI.

What you’ll do (Responsibilities):
Assist with the planning and execution of performance marketing campaigns across multiple channels (e.g., Google Ads, Social Media Ads, Programmatic Advertising)
Manage campaign budgets and optimize spending for maximum efficiency and ROI
Analyze campaign performance data and generate insights to inform strategy adjustments
Collaborate with designers and copywriters to develop engaging ad creatives
Collaborate with developers & product owners to optimize marketing funnel and ensure accurate tracking
Monitor industry trends and stay up-to-date on the latest digital marketing platforms and technologies
Prepare reports and presentations to communicate campaign results and recommendations
Perform other marketing tasks as assigned

What capabilities you’ll need (Requirements):
Bachelor's degree in Marketing, Business, or a related field (Preferred)
Strong understanding of digital marketing principles and concepts
Familiarity with popular performance marketing platforms like Google Ads, Facebook Ads, or similar
Excellent analytical and data-driven decision-making skills
Strong communication, written, and verbal skills
Ability to work independently and as part of a team
Highly organized and detail-oriented
Passion for technology and a constant thirst for learning new things

Bonus points if you have the following skills:
Experience in B2B SaaS industry is a big plus
Experience in programmatic marketing such as Criteo
Experience with conversion optimization techniques (A/B testing, landing page optimization)
Understanding of SEO and organic marketing channels
Experience working in a fast-paced startup environment"
3815213137,Marketing Specialist (Medical Device),https://www.linkedin.com/jobs/view/3815213137,PT Anugerah Pharmindo Lestari,https://www.linkedin.com/company/pt-apl-zuellig-pharma-company-/life,"Jakarta, Indonesia",3 days ago,100,,On-site,,"1,001-5,000 employees · Pharmaceutical Manufacturing",,,"Responsibilities:
Conduct in-depth market analysis to identify opportunities and threats. Monitor competitor strategies and stay informed about industry trends.
Identify and implement innovative campaigns and programs to maintain competitiveness. Evaluate the effectiveness of marketing campaigns through data analysis.
Work closely with cross-functional teams, including National Sales Managers (NSM), Product Account Managers (PAM), and finance, to ensure integrated and cohesive marketing efforts.
Manage and lead a team of Medical Device Product Specialists. Assign tasks, provide guidance, and foster a collaborative and high-performing team environment.
Oversee the execution of marketing campaigns for the entire Medical Device team. Ensure that campaigns align with the overall marketing strategy.
Take responsibility for the allocated marketing budget. Efficiently manage budget allocation to optimize campaign performance.

Requirements:
Bachelor's degree in Marketing, Business, or a related field.
Proven experience in marketing, preferably in the medical device industry.
Strong analytical skills with the ability to conduct thorough market analysis.
Demonstrated ability to lead and manage cross-functional teams.
Innovative mindset with a track record of successful campaign development and evaluation.
Excellent communication and collaboration skills.
Budget management experience and ability to optimize resources for maximum impact."
3802704098,"Commodity Manager, Consumer Electronics Category",https://www.linkedin.com/jobs/view/3802704098,Xingyun Group,https://www.linkedin.com/company/xingyungroup/life,"Central Jakarta, Jakarta, Indonesia",3 weeks ago,100,,On-site,,"501-1,000 employees · Technology, Information and Internet",,,"About The Company
Founded in 2015, Xingyun Group is a leader in global B2B e-commerce service platform. Xingyun now has more than 3,000 employees worldwide and has built a multidivisional structure consisting of Shenzhen, Hangzhou, Shanghai, Hong Kong, and Singapore. Xingyun has set up subsidiaries in 72 countries and one region globally, including Germany, Japan, Australia, etc.

Polibeli (part of Xingyun Group) is a B2B online wholesale platform built for SMEs in Indonesia.
Our mission is to empower entrepreneurs and shop-owners to pursue their business dreams with our strong supply chain capabilities and reliable e-commerce platform.

Job Description
Research and analyze the consumer electronics market to identify potential new suppliers aligned with the company's strategy.
Reach out to potential suppliers through cold calls, email campaigns, and in-person meetings to establish relationships and negotiate deals.
Negotiate and secure deals with new suppliers meeting or exceeding company targets for product quality, pricing, and delivery.
Develop and maintain strong relationships with existing suppliers to ensure continued support and opportunities for growth.
Stay up-to-date on industry trends, regulations, and competitors to inform the company's strategy and supplier negotiations.
Collaborate with the merchandising team to onboard new suppliers and ensure accurate representation of their products on the app.
Provide regular reports on supplier activity, acquisition progress, and performance metrics to the leadership team.

Qualifications:
Bachelor's Degree in Business, Marketing, or a related field.
Fluency in English is a must.
At least 3 years of experience in business development, with a strong track record of success in securing suppliers deals, preferably in the consumer electronics industry.
Data-driven with strong analytical and problem-solving skills.
Excellent communication and negotiations skills, with the ability to close deals.
Ability to work independently and as part of a team.
Proficient in Microsoft Office and CRM software.
Demonstrated ability to meet exceed targets in a fast-paced and dynamic environment.
Willing to work from the office in Sudirman."
3810162848,Manager - Advertising Sales,https://www.linkedin.com/jobs/view/3810162848,Vuclip,https://www.linkedin.com/company/vuclip/life,Jakarta Metropolitan Area,1 week ago,15,,On-site,,"201-500 employees · Technology, Information and Internet",,,"Job description:

  Executing all key growth digital sales strategies, tactics and action plans required to achieve annual ad sales target withing the assigned set of accounts
Explore and execute strategic new potential sales strategy & brand solution to expand the client base with Reputed Brands & agencies
Build and maintain strong, long-lasting client’s relationships with Clients & Agencies in the objective to understand their business needs and work closely that will benefit both parties
Effectively communicate the value proposition through proposals, presentations, and discussions.


Profile description:

7+ years of Media Sales Experience, in Digital / Internet Industry. Brand Solutions experience would be an advantage
Project Management, experienced in seeing projects through completion with minimum direction with attention to detail
Keen sales hunter – who believes that his place is in the market meeting agency partners and clients to sell them solutions
Good contacts at buying and decision-making levels in Big Agencies – Group M, OMD, IPG, Starcom.
Individual contributor who believes that he / she can make a difference by using the power of partnerships – be it agency relationships or sales networks to get his numbers done.
Understand category-specific landscapes and trends, reporting on the forces that shift tactical budgets and strategic direction of accounts"
3800572466,Digital Media Planner,https://www.linkedin.com/jobs/view/3800572466,Bank Jasa Jakarta,https://www.linkedin.com/company/bank-jasa-jakarta/life,"Jakarta, Indonesia",3 weeks ago,100,,Hybrid,,51-200 employees · Banking,,,"About You
You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment
You enjoy doing purpose-led and meaningful work
You have a strong thirst for knowledge and are driven to find solutions that don't exist yet
You are comfortable with ambiguity and extremely resourceful (in your past life, you could've been a detective)
You always find a way to get things done without sacrificing the quality of your work, integrity, and values
No task is off limits for you
You are humble and prioritize the success of the team over your own with an eagerness to help those around you
You don't shy away from challenges and can bounce back from setbacks

What you’ll do and what success looks like in this role:
Support performance marketing managers and assist with the planning and execution of media campaigns across multiple channels.
Conduct research and analysis for the application market and competitive insights to support overall digital activities.
Work closely with media vendors to negotiate rates, secure placements, and ensure campaigns are executed as planned.
Monitor media purchases to ensure they are performing as expected and provide regular reports on key metrics.
Create and manage media budgets, ensuring they are implemented on time and within budget.
Collaborate with internal teams and external partners to execute campaigns smoothly.
Good networking with advertising platforms and new media technologies to recommend new opportunities in digital media buying.

What Is Required And What We’re Looking For
3-4 years experience in digital media purchasing or planning.
Strong negotiation skills with the ability to get favorable prices and placements.
Good analytical skills with the ability to interpret data and make decisions based on data.
Good communication and interpersonal skills to work effectively with internal and external stakeholders.
Detail-oriented with the ability to handle multiple tasks and prioritize deadlines.
Passionate about the media industry and eager to learn and grow in the role.
Both in organizational skills, project management, and a collaborative mindset with various stakeholders.
A customer-focused mindset and good analytical skills.
A structured approach to creativity and audience insights"
3781740250,Dir-Marketing,https://www.linkedin.com/jobs/view/3781740250,"The Ritz-Carlton Hotel Company, L.L.C.",https://www.linkedin.com/company/the-ritz-carlton-hotel-company-llc/life,"Lannyna, Papua, Indonesia"," ",17,,Full-time,,"10,001+ employees · Hospitality",,,"채용 번호 23217664

작업 카테고리 Sales & Marketing

위치 The Ritz-Carlton Bali, Jalan Raya Nusa Dua Selatan Lot III, Bali, Bali, Indonesia 지도에서 보기

스케줄 Full-Time

원격 위치입니까? N

근무지 변경? N

직책 유형 Management

메리어트는 기회 균등 고용주입니다. 저희는 다양한 직원을 고용하고 포괄적인 문화를 유지하기 위해 노력하고 있습니다. 장애인 및 퇴역 군인과 같이 보호를 받는 상태 또는 해당 법률에 의해 보호를 받는 기타 상태로 인해 차별하지 않을 것을 약속합니다."
3808364640,Marketing Staff,https://www.linkedin.com/jobs/view/3808364640,Tarumanagara Foundation,https://www.linkedin.com/company/tarumanagara-foundation/life,"Jakarta Selatan, Jakarta, Indonesia",1 week ago,100,,On-site,,"1,001-5,000 employees · Non-profit Organizations",,,"The ideal candidate will be responsible for creating a strong brand presence with innovative promotional offerings, online and offline marketing campaigns, and marketing events. 
 Requirements:
Minimum Education S1 (preferably IT or Management or Communication Studies) from reputable university, min. GPA 3.00 of 4.00
Creative, dynamics, and love to explore and produce the new exciting idea
Good looking, polite and honest
Computer literate (Ms. Office)
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Able to work individually or in team
Fluent in English is a plus"
3777034643,Product Marketing Manager,https://www.linkedin.com/jobs/view/3777034643,McEasy,https://www.linkedin.com/company/mceasy/life,"Jakarta, Jakarta, Indonesia"," ",100,,On-site,,"201-500 employees · Technology, Information and Internet",,,"Job Description
1. Becoming strategic partner with PMs
Share customer and market insights, actively look after feedback from customers to be able develop strategy and plan
Be a product champion, PMMs are well-equipped with the product knowledge and well aware with the product/feature launches.
2. Run GTM strategy independently and ensure the product adoption
Understand the target market:
Define the channels based on target market and buyer persona
Develop key messaging that will be utilized across Sales and Marketing taking into account the product capabilities and roadmap
Develop the pricing/packaging from various point of view (competitors, own cost, commercial benefits, and product capabilities)
Tell the story of product/brand through the voice of the customer
3. Measurement & Analytics: Do basic data analysis from the performance measured and come up with actionables
4. Sales Enablement
Stronger collaboration between PMM and sales team
Actively pursuing sales outbound strategy
Gather feedback from Sales and able to develop the Sales collateral
5. Marketing Strategy/Campaign Development
Identify segmentation criteria
Drive the content strategy of product category to improve the product adoption
 Qualifications
Has a good understanding of GTM, product marketing, sales driven strategy, marketing and communications landscape, and best practices across different online and offline channels
Good at data handling and analytics that can provide insight and actionable to drive commercial
A customer-centric, self-starter, strong team player, adaptable and agile
A “do-whatever it-takes” mindset to understand your market, customers and competition better than anyone, and able to integrate this information into sales and marketing strategies
A good problem solver, analytical thinker, and quick learner
Agile in strategy and execution which is able to execute fast, fail, and learn faster
Previous experience in a startup is highly considered, particularly B2B"
