id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,company_logo,company_description,about_the_job
3809023352,"iOS Developer, VisionPro",https://www.linkedin.com/jobs/view/3809023352,BJAK,https://www.linkedin.com/company/bjak/life," ",1 month ago,100,,Hybrid,,51-200 employees,https://media.licdn.com/dms/image/D560BAQHLdbu8pvZ5Zg/company-logo_100_100/0/1687510523771/bjak_logo?e=1717027200&v=beta&t=plCkezb6Pv5JJYpxBuirPmFhsmfRsy8uZ2T6gNyfB74,"BJAK is focused on providing access to affordable and sustainable financial services for people in ASEAN.

Headquartered in Malaysia, BJAK is the largest insurance portal in Southeast Asia. Our main portal, Bjak.com, helps millions find the insurance policy with the best value and highest coverage for them.

Using technology, our team's core strengths are in problem solving and navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.

Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services, that were previously inaccessible or difficult to understand.

If you enjoy building cutting edge platforms and ecosystems to give equal access to financial services for the masses - Speak to us.","Bjak is focused on providing access to affordable and sustainable financial services for people in ASEAN. Headquartered in Malaysia, Bjak is the largest insurance portal in Southeast Asia. Our main portal, Bjak.com, helps millions find the insurance policy with the best value and highest coverage for them. Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services that were previously inaccessible or difficult to understand.

Our core strengths are in navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.

Role Overview:
This role is crafted for an iOS App Developer dedicated to creating applications exclusively for the latest Vision Pro technology. The iOS App Developer will be responsible for designing and developing mobile applications tailored for iOS platforms. Working closely with cross-functional teams, they will identify and implement new features, troubleshoot issues, and optimize performance. Keeping pace with emerging trends and technologies in software development is a crucial aspect of the iOS App Developer's role.

Responsibilities:
Design and develop high-quality iOS applications using VisionPro technology.
Implement VisionPro technology to enhance visual features and functionalities within iOS applications.
Optimize application performance, ensuring smooth and responsive user experiences.
Troubleshoot and resolve issues related to VisionPro integration for optimal functionality.
Conduct regular code reviews to ensure code quality and adherence to best practices.
Develop and execute thorough testing plans for VisionPro-integrated features.

Requirements:
Required skills: Mobile Application Development, iOS Development, and iOS proficiency.
Experience in software development and mobile applications.
Proficient in Swift programming language and the Xcode development environment.
Familiarity with software development tools such as Git and Jira.
Knowledge of software design patterns and system architecture.
Strong problem-solving skills and meticulous attention to detail.
Ability to work independently and collaboratively in a fast-paced environment.
Bachelor's degree in Computer Science or a related field is required.
Experience in VR development is beneficial.
Bonus: Experience with Android development.

Benefits
 Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry!
Fast moving, challenging and unique business problems
International work environment and flat organization
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire"
3809023284,"Senior iOS Engineer, VisionPro",https://www.linkedin.com/jobs/view/3809023284,BJAK,https://www.linkedin.com/company/bjak/life," ",1 month ago,94,,Hybrid,,51-200 employees,https://media.licdn.com/dms/image/D560BAQHLdbu8pvZ5Zg/company-logo_100_100/0/1687510523771/bjak_logo?e=1717027200&v=beta&t=plCkezb6Pv5JJYpxBuirPmFhsmfRsy8uZ2T6gNyfB74,"BJAK is focused on providing access to affordable and sustainable financial services for people in ASEAN.

Headquartered in Malaysia, BJAK is the largest insurance portal in Southeast Asia. Our main portal, Bjak.com, helps millions find the insurance policy with the best value and highest coverage for them.

Using technology, our team's core strengths are in problem solving and navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.

Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services, that were previously inaccessible or difficult to understand.

If you enjoy building cutting edge platforms and ecosystems to give equal access to financial services for the masses - Speak to us.","Bjak is focused on providing access to affordable and sustainable financial services for people in ASEAN. Headquartered in Malaysia, Bjak is the largest insurance portal in Southeast Asia. Our main portal, Bjak.com, helps millions find the insurance policy with the best value and highest coverage for them. Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services that were previously inaccessible or difficult to understand.

Our core strengths are in navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.

Role Overview:
Join us as a key player in conceiving, developing, and delivering state-of-the-art spatial computing experiences at our Indonesia branch. As a Senior Engineer, you will collaborate at the intersection of design, frameworks, operating systems, and low-level software, contributing to the creation of life-changing products. We are in search of proven expertise in delivering high-quality apps using iOS technologies. Flourish in our dynamic, agile environment as we pioneer spatial computing, exploring answers through prototyping and deploying best practices. Your leadership will be instrumental in shaping impactful code and fostering quality within our collaborative and diverse team. Make a significant impact in the evolving realm of spatial computing.

Responsibilities:
Lead the design and development of high-quality iOS applications utilizing VisionPro technology.
Implement advanced VisionPro features to enhance visual capabilities within iOS applications.
Drive optimization efforts to ensure superior performance and responsiveness of iOS applications.
Conduct comprehensive code reviews to maintain high-quality code standards.
Develop and execute thorough testing plans for VisionPro-integrated features.
Debug and resolve intricate issues identified during testing phases.

Requirements:
Proven track record of successfully building and launching complex and engaging applications or user-facing systems across various iOS platforms.
In-depth knowledge of iOS development frameworks and technologies, with proficiency in Swift or Objective-C.
Extensive expertise in modern software engineering practices, including object-oriented programming, functional programming, declarative user interfaces, and test-driven development.
Solid grounding in Computer Science fundamentals.
Meticulous attention to detail in planning, execution, and maintenance processes.
Exceptional communication skills, enabling successful collaboration with peers from diverse experiences and backgrounds.
Demonstrated ability to achieve results in a fast-paced and agile organizational environment.
Minimum of 5 years of professional experience.

Benefits
 Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry!
Fast moving, challenging and unique business problems
International work environment and flat organization
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire"
3809097221,Java Software Engineer,https://www.linkedin.com/jobs/view/3809097221,Lancesoft Indonesia,https://www.linkedin.com/company/lancesoft-indonesia/life," "," ",100,,On-site,,"1,001-5,000 employees · Staffing and Recruiting",https://media.licdn.com/dms/image/C560BAQGLOAFB358F-g/company-logo_100_100/0/1632155027401/lancesoft_indonesia_logo?e=1717027200&v=beta&t=7BCr1AnPWPJo8Ll-QfpClxPix52ujCvKHcXZRcFoYqA,"Established in 2000, LanceSoft is a Certified MBE and Woman-Owned organization, and a pioneer in providing premium end-to-end Global Workforce Solutions and IT Services to diverse clients across various domains.

LanceSoft’s mission is to establish global cross-culture human connections that further the careers of our employees and strengthen the businesses of our clients. We are driven to use the power of our global network to connect businesses with the right people, and people with the right businesses without bias. We provide Global Workforce Solutions with a human touch.

LanceSoft provides Global Workforce Solutions with a human touch and a comprehensive recruiting organization, addressing the complex workforce challenges your company faces today, from contingent and permanent staffing to talent management, outsourcing, and talent development.

With currently over 3,800+ staff serving over 110+ enterprise clients worldwide including “Fortune” companies, LanceSoft serves a wide array of industries including Banking & Financial Services, Semiconductor/VLSI, Technology, Healthcare & Life Sciences, Government, Telecom & Media, Retail & Distribution, Oil & Gas and Energy & Utilities.

LanceSoft is headquartered in Herndon, VA with 27 regional offices across the U.S. and 21 offices around the globe.
Other Offices - India, Indonesia, Hongkong, Malaysia, Thailand, Philippines, Australia, Japan & Bangladesh, etc..

Office in Indonesia -
Gedung Wisma Metropolitan I, Level 3A, Jl Jend Sudirman Kav 29-31, RT. 008 RW. 003, Karet, Setiabudi, Jakarta Selatan, Indonesia, D07 P4AX
Indonesia","Hi IT Talent!

We're looking for Backend Java Developer

Job Details:
- Mastering the Java Programming Language
- Mastering the Java Spring MVC Framework
- Understand the concept and be able to implement Java Server Page (JSP)
- Understand the concept and be able to implement web service / API
- Able to use SQL Server Database, MySQL Database, MongoDB and Redis cache
- Having knowledge in SAP Hybris is a plus
- Able to use collaboration tools such as Github and TFS
- Able to understand the concept of security in programming"
3833631109,"Security Engineer Team Leader, Indonesia",https://www.linkedin.com/jobs/view/3833631109,Check Point Software Technologies Ltd,https://www.linkedin.com/company/check-point-software-technologies/life," ",3 days ago,37,,Hybrid,,"5,001-10,000 employees · Computer and Network Security",https://media.licdn.com/dms/image/D560BAQGtqN8lHnC7WA/company-logo_100_100/0/1698642229581/check_point_software_technologies_logo?e=1717027200&v=beta&t=3SiI9dFGgaynkQbsoF4EW-PoCbmB8hoclQZfm1X5pQk,"Check Point Software Technologies Ltd. is a leading provider of cyber security solutions to governments and enterprises globally. Our solutions protect over 100,000 customers from cyber attacks with an industry-leading catch rate of malware, ransomware and advanced targeted threats. By offering a multilevel security architecture, we defend enterprises’ cloud, network and mobile devices. Check Point offers the most comprehensive and intuitive one point of control security management system.
…
show more","Check Point’s mission is to provide industry-leading security solutions that redefine the security landscape. We achieve our mission by constantly developing innovative and cutting-edge technology solutions focused on real customer needs while challenging ourselves to grow and excel.

If you want to be part of the fascinating and fast-growing Cyber Security industry, where your unique talent and value will be recognized, Check Point Software Technologies is where you want to be.

This role is working with the Check Point team and our Channel Partners to drive the go-to-market programs. Ensure that our channel has the technical training and enablement to provide our customers with pre and post-sales activities. Working with the Check Point channel SE’s to drive execution on these programs
Join now and become a part of the success story that secures tens of thousands of organizations of all sizes around the globe.

Join Check Point’s leading sales team and take your career one step ahead!
 Your Impact & Responsibilities
Act as an SE Team Lead for Indonesia and be hands-on in pre-sales activity and channel enablement.
Work to develop the engineering programs together with Country Manager and regional SE managers to drive our go-to-market.
Provide technical pre-sales assistance for our partners and through our partners to our customers.
Develop existing and new partners in conjunction with the local sales team.
Respond to RFI's & RFP's with our Partners and Check Point pre-sales activities.
Coach, mentor, and lead the SE team in Indonesia
Technical Product and solution presentations
Active participation in IT security events and trade shows
Develop a solution by translating a customer’s business requirements into an integrated technical solution.
Technically close complex and competitive opportunities, through advanced competitive knowledge, technical skill, and credibility
Identify revenue impacting support escalations and engage proactively with required parties (internal/external) to ensure timely resolution and satisfactory resolution.
Work independently and collaboratively with Sales and Management, exercising judgment in developing people, technical requirements, and evaluation criteria.
Proactively engage and communicate with Product Management, Business units, Sales and Marketing
Broad understanding of Security Engineering Landscape / IT Security industry, past, present, and future

Your Knowledge & Skills
Desired Background
Minimum 8 years of relevant experience from a channel partner, IT-security-function with a customer, or for another vendor in the IT-security industry
Proven leadership
Good understanding of IT Security
Result oriented and action-driven
Well-versed in cloud architectures
Experience from navigating in dynamic and virtual organizations is a plus

What You'll Get In Return
Exposure to exciting and award-winning technologies in the Cyber Security industry
Opportunity to fulfill your potential by rolling out creative ideas and projects.
Work with and build a long-lasting relationship with a team of brilliant people.
Developing and managing a growing and dynamic team of driven cyber security experts.
If this sounds like an ideal role for you then why wait? Apply now!"
3763122844,"Systems Engineer - Commercial, Indonesia",https://www.linkedin.com/jobs/view/3763122844,,https://www.linkedin.com/company/palo-alto-networks/life," "," ",100,,On-site,,"10,001+ employees · Computer and Network Security",https://media.licdn.com/dms/image/C560BAQFZg72Sfni4SA/company-logo_100_100/0/1657225156841/palo_alto_networks_logo?e=1717027200&v=beta&t=hM0gUxO6Z8TiO8KY_FbuVtdOOwutSalYu9KZgNOx6V4,"Palo Alto Networks, the global cybersecurity leader, is shaping the cloud-centric future with technology that is transforming the way people and organizations operate. Our mission is to be the cybersecurity partner of choice, protecting our digital way of life. We help address the world's greatest security challenges with continuous innovation that seizes the latest breakthroughs in artificial intelligence, analytics, automation, and orchestration. By delivering an integrated platform and empowering a growing ecosystem of partners, we are at the forefront of protecting tens of thousands of organizations across clouds, networks, and mobile devices. Our vision is a world where each day is safer and more secure than the one before. For more information, visit www.paloaltonetworks.com.","Company Description

Our Mission

At Palo Alto Networks® everything starts and ends with our mission:

Being the cybersecurity partner of choice, protecting our digital way of life.

Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.

Our Approach to Work

We lead with flexibility and choice in all of our people programs. We have disrupted the traditional view that all employees have the same needs and wants. We offer personalization and offer our employees the opportunity to choose what works best for them as often as possible - from your wellbeing support to your growth and development, and beyond!

Job Description

Your Career

As a Pre-Sales Systems Engineer, you are an important member of our technical sales team, identifying complex security challenges in your customers’ networks and driving solutions with our market-leading security products and services.

You are the technical sales representative of the company and focus on customer satisfaction with all that you do. You and your sales partner own the customer relationship and your goal is to help them detect and prevent advanced cyberattacks and breaches while safely enabling applications by deploying the full Palo Alto Networks platform so that they can confidently pursue network, cloud, and mobile technology initiatives.

Your Impact

Understand and effectively present our security platform and solutions
Work closely with Commercial customers & partners in Indonesia
Create and deliver compelling demonstrations of Palo Alto Networks products and solutions
Educate customers and partners on the modern network security landscape
Identify and qualify new opportunities and support technical pre-sales activities to opportunity closure
Expand the Palo Alto Networks install base within existing accounts
Enable and leverage channel partners and work successfully in a channel-driven sales model
Create evaluation test plans with customers and lead the evaluation process to a successful conclusion
Differentiate from industry technologies and solution
Assist customers through the support escalation process
Continuous self-improvement and learning to maintain current technical knowledge and participate in technical communities of interest
Identify problems in customer environments - effectively engages customers at the technical field and technical management levels
Effective in customer-facing engagement, in writing, presentation, and creative problem-solving skills

Qualifications

Your Experience

BSCS or equivalent or equivalent military experience required and 6+ years of experience as a Pre-Sales Systems Engineer or Solution Consultant or Sales Engineer or Systems Integrator
Pre-sales experience handling Commercial customers & partners in Indonesia
Demonstrable experience with systems installation, configuration, and administration of routers/switches, UNIX/Linux and Windows-based systems (prior Active Directory/LDAP experience desirable)
Experience emphasizing L2-L4 Networking (L2 Switching architectures including Spanning Tree, IP routing including OSPF and BGP, L4 Load-balancing)
Industry knowledge of security and network product and technology trends
Experience selling, demonstrating, installing and/or solving network infrastructure security products
Extensive domestic travel within the territory is often required, and international travel may be required as necessary
Experience selling network infrastructure based security appliances including, but not limited to - Firewalls, SSL/IPSec VPNs, Security Proxies and Caches
Practical experience working with routing and switching products that will be installed adjacent to our appliances
Strong communication and presentation skills, both written and verbal
Strong analytical skills, ability to analyze complex multivariate problems and use a systematic approach to gain quick resolution

Additional Information

The Team

As part of our Systems Engineering team, you’ll support the sales team with technical expertise and guidance when establishing trust with key clients. You won’t find someone at Palo Alto Networks that isn’t committed to your success – with everyone pitching in to assist when it comes to solutions selling, learning, and development. As a member of our systems engineering team, you are motivated by a solutions-focused sales environment and find fulfillment in working with clients to resolve incredible complex cyberthreats.

Our Commitment

We’re trailblazers that dream big, take risks, and challenge cybersecurity’s status quo. It’s simple: we can’t accomplish our mission without diverse teams innovating, together.

We are committed to providing reasonable accommodations for all qualified individuals with a disability. If you require assistance or accommodation due to a disability or special need, please contact us at accommodations@paloaltonetworks.com.

Palo Alto Networks is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics.

All your information will be kept confidential according to EEO guidelines."
3829321408,Solution Engineer,https://www.linkedin.com/jobs/view/3829321408,H3C,https://www.linkedin.com/company/h3c-technologies-co-ltd/life," ",1 week ago,82,,On-site,,"10,001+ employees · Computer and Network Security",https://media.licdn.com/dms/image/C560BAQGjlYDF9o3YdA/company-logo_100_100/0/1679549078857/h3c_technologies_co_ltd_logo?e=1717027200&v=beta&t=8fsQkbaAXSWKjIkTjHJ4h1nVLXV0VMZ6jdD_K-Tt27o,"Global leader of Digital solutions.
Dedicated to research & development, manufacturing, consultation, sales, and services of Digital solutions.
We provide one-stop comprehensive Digital solutions covering Cloud Computing, Big Data, Interconnectivity and Security, and IT consultation services.","About H3C:

H3C is an industry leader in the provision of Digital Solutions and is committed to becoming the most trusted partner of its customers in their quest for business innovation and digital transformation. We offer a full portfolio of Digital Infrastructure products, spanning across compute, storage, networking, 5G, security and related domains, and provide a comprehensive one-stop digital platform that includes cloud computing, big data, artificial intelligence (AI), industrial internet, information security, intelligent connectivity, AI vision, and edge computing, as well as end-to-end technical services. We are also the exclusive provider of HPE® servers, storage and associated technical services in China.

""Shaping the Digital Future for a Better Life” is the corporate vision of H3C. We are aiming to drive the development of the digital economy, and together with customers and partners, to create a better life for all to enjoy.

Purpose of the Role: As a Solution Engineer (Presales), you will be responsible for interacting and to determine prospective clients’ needs and explain the value of our product’s technological capabilities and business value with the client. The ideal candidate should be able to clearly articulate highly technical concepts to all prospective clients.

Responsibilities:-
Clearly articulate technical capabilities and give technical demonstrations.
Partner with the sales team to generate leads, follow-up all projects related technical matters.
Prepare presentation for Projects, Proposals and Bill Of Materials (BOM).
Prepare of PoC documents to guide customer requirements.
Prepare of SoC for customer reference of tender bidding.
Support the constant communication with prospective clients.
Provide general technical support to partners and clients.
Involve in project implementation and roll-out process.
As a technology Prime of a specific technology of solution from the company.

Qualifications:-
Ability to discuss highly technical concepts with prospective leads.
Willingness to travel.
Strong verbal, written, and interpersonal skills.
Excellent presentation skill.
At least 3 years’ experience in working as a Solution Engineer or Presales or related technical role.
Familiar of part of the Internet Services Providers (ISP) technology listed with evidence, Campus Network, Data Center Network, WAN, WiFi, HCI, Server and Storage, Cloud, Security or 5G.
Experience in VMware, Nutanix or server related Network design.
Successful sizeable project deployment experience."
3830929244,Senior Frontend Developer,https://www.linkedin.com/jobs/view/3830929244,PT Bonofactum,https://www.linkedin.com/company/pt-bonofactum/life," ",3 days ago,80,,On-site,,201-500 employees,https://media.licdn.com/dms/image/C560BAQEsBiIV6rKz4g/company-logo_100_100/0/1631370824802?e=1717027200&v=beta&t=HZlbPFm56RPXNdfOYiTS4mkMbmIO_rz0WH3NP9B35Xc,"PT Bonofactum is part of the German jewelry group JULIE & GRACE, which designs, manufactures and sells fine jewelry online in Europe, Southeast-Asia, Australia and the US. We are one of the first companies that successfully introduced lean manufacturing and the fast fashion model in the jewelry industry.
…
show more","We are seeking a highly skilled and experienced Senior Frontend Developer to join our dynamic team. The ideal candidate will have a passion for crafting elegant and intuitive user interfaces while staying abreast of the latest frontend technologies. As a Senior Frontend Developer, you will play a crucial role in architecting and implementing responsive, high-performance, and scalable user interfaces.

**Responsibilities:**

1. **Frontend Development:**
- Lead the development of frontend components and features using modern web technologies (HTML, CSS, JavaScript/TypeScript).
- Collaborate with BA and BE to implement design concepts into functional and visually appealing user interfaces.
- Ensure cross-browser compatibility and responsiveness of the application.

2. **Technical Leadership:**
- Collaborate with cross-functional teams, including backend developer, to integrate frontend components with server-side logic.
- Stay up-to-date with industry trends and advancements in frontend technologies.

3. **Code Quality and Testing:**
- Conduct code reviews to ensure code quality, adherence to coding standards, and proper documentation.
- Implement and advocate for best practices in frontend development.
- Work closely with QA teams to ensure thorough testing of frontend components.

4. **Performance Optimization:**
- Identify and address performance bottlenecks in frontend code and improve overall application performance.
- Optimize and maintain a smooth and efficient user experience.

**Requirements:**
- 3 years of professional experience in frontend development.
- Strong proficiency in HTML, CSS, and JavaScript/TypeScript.
- Experience with modern frontend frameworks/libraries (e.g., React, Vue.js, Next.js).
- Knowledge of frontend build tools and package managers (Webpack, npm, yarn, etc.).
- Familiarity with RESTful APIs and integration with backend services.
- Strong problem-solving and analytical skills.
- Excellent communication and collaboration skills.

**Nice to Have:**
- Experience with server-side rendering and isomorphic JavaScript.
- Familiarity with frontend testing frameworks (Jest, Jasmine, etc.).
- Understanding of UX/UI design principles.
- Previous experience in an Agile/Scrum development environment.

If you are interested in applying for this position, please submit your resume, portfolio (if applicable), and a cover letter outlining your relevant experience and why you would be a good fit for the role."
3836044222,Senior Enterprise Architect,https://www.linkedin.com/jobs/view/3836044222,Glints,https://www.linkedin.com/company/glints/life," ",1 day ago,59,,Hybrid,,201-500 employees · Human Resources Services,https://media.licdn.com/dms/image/C510BAQHxwe9IXlb73Q/company-logo_100_100/0/1630569070179/glints_logo?e=1717027200&v=beta&t=yy5TlhcwW_Ldotaizz5YWGObWu0gCsUjfIMUd3g9nCU,"Glints is the leading talent ecosystem in Southeast Asia. Our mission is to enable the 120 million professionals in the region to grow their careers and empower organizations to hire the right talent from anywhere in Southeast Asia. Officially launched in 2015 in Singapore, Glints has empowered more than 3 million talent and 50,000 organizations to realize their human potential. Today, we stand at the forefront of human capital empowerment as the fastest-growing startup in the career development and talent recruitment space. Glints currently operates in Indonesia, Malaysia, Singapore, Vietnam, Philippines, and Taiwan.
…
show more","We are currently seeking a highly skilled and motivated Senior Enterprise Architect. It's a long 
term position and you will be working on a project for our client, a Software House company based in Europe. 

Being a team player and having a positive attitude is an essential trait to have for every candidate 
who applies for this role. As a key player in this exciting project, led by a leading fixed and mobile 
telecommunications operator across multiple international markets, including Algeria, Indonesia, 
Iraq, Kuwait, Myanmar, Oman, Qatar, and Tunisia, you will play a crucial role in establishing and 
maintaining the infrastructure that will drive our ambitions to become the local equivalent of 
Revolut. 
Your responsibilities: 
● Conduct research on new technologies to stay current with industry advancements 
● Provide technical feasibility analysis for projects in the design phase 
● Participate in presales activities, contributing to architecture proposals 
● Develop high-level product breakdowns and design the overall architecture 
● Identify reusable technologies from internal company projects and third-party sources 
● Analyze and define business requirements and design enterprise, solution, and 
infrastructure architecture 
● Facilitate the preparation of project estimates 
● Mentor and guide junior architects and provide technical leadership 
● Collaborate with cross-functional teams and stakeholders to align architecture with 
business objectives 
● Drive innovation and continuous improvement of architecture practices and standards 
● Communicate complex technical concepts to non-technical stakeholders 
● Manage technical dimension of external vendors’ delivery

Requirements : 
● 8+ years of experience in enterprise architecture, particularly in the banking and 
insurtech industries 
● Experience with enterprise systems and their implementation- ERP, CRM, DWH 
● Strong background as a solution architect with enterprise architecture expertise 
● Ability to analyze business requirements and design appropriate architecture 
● Excellent communication and collaboration skills 
● Proven track record in mentoring and leading technical teams 
● Experience in driving innovation and continuous improvement of architectural practices 
● Strong ability to communicate complex technical concepts to non-technical stakeholders 
● Bachelor's or Master's degree in Computer Science, Information Systems, or a related 
field 
● Ability to travel to MENA for 2-3 weeks in a month, you can work remotely the rest of the month. 

What We Offer : 
● Friendly team and enjoyable working environment 
● Wide range of training and learning possibilities 
● Flexible working schedule 
● Sustainable, long-term oriented work relationship 
● Kind and respectful atmosphere 
● Fair salary and social benefits 

Who We Are : 
Wolkk was founded in 2022 in Bali, Canggu. We train, teach, and coach technology-driven 
software engineers in Indonesia to achieve high-quality cloud applications and apps. Our 
German and Dutch founders have over 25 years of experience in the software industry. Our client's is a remote company with a training center in Bali. 

Our values: 
● Trust and Respect 
● Thirst for learning 
● Agile and Flexible 
● Quality driven"
3817272894,Senior Software Engineer,https://www.linkedin.com/jobs/view/3817272894,BitHealth,https://www.linkedin.com/company/bithealth/life," ",2 weeks ago,100,,Hybrid,,51-200 employees · Information Technology & Services,https://media.licdn.com/dms/image/D4E0BAQEtbeSJkNL14Q/company-logo_100_100/0/1664787920525/bithealth_logo?e=1717027200&v=beta&t=DohfWXAT2hr1z9aUGjZZMA9IBCO1sKKPIYDMF92xwCE,"BitHealth is the digital health solution provider company in Indonesia that specializes in digital health technology and transformation partner to healthcare organization.

Established since 2020, we will continue on developing various breakthroughs which could escalate the effectiveness and efficiency of our health industry in the future.

Our Vision is to be the Indonesia Largest Digital Services Provider in Healthcare with the Mission to help our clients transforming patient experience, operation excellence, and clinical outcome through innovative digital technology.
…
show more","Job Description:
Developing and packaging new product/features and user interfaces from wireframe models
Ensuring the best performance and user experience of the application
Writing clean, readable, and testable code
Optimize the application for maximum speed and scalability

Requirements:
At least 4-5+ years of experience as a Software Developer
Proficiency in JavaScript language, including its syntax and features
In-depth knowledge and understanding of Frontend Javascript framework VueJS, Backend Javascript ExpressJS and Adonis (typescript)
Familiarity with database technology such as Oracle, MYSQL, PosgreSQL, MongoDB, or SQL Server
Knowledge of Node.js (ES6 or TypeScript) and frameworks available for it (such as Express, GraphQL, AdonisJS)
Experience with both consuming and designing RESTful APIs
User authentication and authorization between multiple systems, servers, and environments (ex: using JWT)
Integration of multiple data sources and databases into one system.
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
Proficient understanding of code versioning tools, such as Git
Knowledge of Cloud Server such as GCP/AWS/Azure"
3827244668,Assistant Software Test Engineer(OS),https://www.linkedin.com/jobs/view/3827244668,PT. VIVO MOBILE INDONESIA,https://www.linkedin.com/company/vivoindonesia/life," ",1 week ago,100,,On-site,,"1,001-5,000 employees · Telecommunications",https://media.licdn.com/dms/image/D560BAQF4nPg0nSaiLA/company-logo_100_100/0/1699241543272/vivoindonesia_logo?e=1717027200&v=beta&t=nnkfPkhtVj6h3MaL3WvmrhIr4Gp-oQUtncz7rNwHMJ0,"vivo is a technology company that creates great products based on a design-driven value, with smart devices and intelligent services as its core. The company aims to build a bridge between humans and the digital world. Through unique creativity, vivo provides users with an increasingly convenient mobile and digital life. Following the company’s core values, which include Benfen*, design-driven and user orientation, vivo has implemented a sustainable development strategy, with the vision of becoming a healthier, longer-lasting world-class corporation.

While recruiting and developing the best local talents, vivo is supported by a network of 10 R&D centers in Shenzhen, Dongguan, Nanjing, Beijing, Hangzhou, Shanghai, Xi’an, Taipei, Tokyo and San Diego, focusing on the development of state-of-the-art consumer technologies, including 5G, artificial intelligence, industrial design, photography and other up-and-coming technologies. vivo has also set-up five production hubs (including brand authorized manufacturing center), across China, South- and Southeast Asia, with an annual production capacity of nearly 200 million smartphones. As of now, vivo has branched out its sales network across more than 50 countries and regions and is loved by more than 400 million users worldwide.

*“Benfen” is a term describing the attitude on doing the right things and doing things right – which is the ideal description of vivo’s mission to build technology for good.


Official Site: www.vivo.com/id/
Facebook: www.facebook.com/vivoIndonesia/
Instagram: @vivo_indonesia & @lifeatvivo_id","Hi, Progressive Talent!

We believe that our employees are key to the strong future development of our brand. vivo encourages its employees to innovate and provides them with the necessary space and resources for their career to grow and develop.

Therefore we very excited to open this opportunity as our Assistant Software Test Engineer(OS).

If you are someone with:
Education background 
Bachelor’s Degree (or Diploma with relevant experience in Telco Industry) of telecommunication engineering/ computer science or the other related major.

Knowledge and skills 
Solid understanding with android technology, Software testing (black box, white box testing) , application quality assurance and passion in new technology.
Understanding with cellular telecommunication technology and wireless network infrastructure (such as GSM, WCDMA, LTE, 5G NSA & SA and common telecommunication standards such as 3GPP, IEEE, 802.11, 3G and 4G).
Have sensitive sense of issues that might be happen in application.
Ability on project management and time management skills.
Familiar with smartphone and software development cycle. 
Have testing working experience, Fresh Graduates are welcome.

Other requirements 
Ability to work in a team and individually, self-motivated, hardworking, target-oriented, strong analytical and logical thinking, and have great capacity to learn. 
Good communication, full proficiency in English or Mandarin.
Flexibility of work time, able to do overtime when necessary on workdays and weekend.
Willing to work in Cikupa, Tangerang.
Ability to work under pressure of target and deadlines.


And you are ready to do:

1. Responsible for the testing, experience, and quality acceptance of OS products, continuously improve the product OS quality and user experience, and ensure that the OS has a first-class reputation in the industry.
2. Achieving the best quality of vivo products that the experience of the third-party APP in vivo mobile phones is at an industry-leading level.
3. Responsible for the interactive experience quality control process and standard establishment, and promote the continuous improvement of the OS interactive experience.
4. Prevent big complaint for the application while being used on vivo devices and focus on promoting the rapid processing of localization problems.
5. Responsible for software business security, software compliance, and build OS compliance testing system quality assurance.
6. Giving the local insight to developing new strategy & new test plan.
7. Establishment of cooperation channels with the three-party App companies to participate in joint debugging and testing.
8. Responsible for new platforms, new functions related to communication, test of new technology network adaptability introduction, formulate test plans, test cases and quality standards to ensure acceptance quality.
9. Responsible for field test planning and capacity building in Southeast Asia, ensure the project field test results, continue to improve field test capabilities and enhance communication-related reputation.

Apply for this position and be part of our #ProgressiveCommunity"
