id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,company_logo,company_description,about_the_job
3803609609,Product Manager,https://www.linkedin.com/jobs/view/3803609609,Sociolla,https://www.linkedin.com/company/sociolla/life,"Jakarta, Indonesia",2 weeks ago,100,,On-site,,"201-500 employees · Technology, Information and Internet",https://media.licdn.com/dms/image/C4E0BAQGK517TdnPdGg/company-logo_100_100/0/1631341540587?e=1715212800&v=beta&t=d1JSFm_k1QMbhwcF-S8W0dfNr2A7dMNA8-UwdfaP6ps,"Sociolla is no.1 beauty and personal care e-commerce player in Indonesia. As part of a leading beauty-tech company, Social Bella Indonesia, we offer a wide range of curated, BPOM-certified beauty and personal care products. In 2018, Sociolla was the most visited beauty e-commerce site in Indonesia, according to iPrice Group research. Last year, Sociolla completed its comprehensive beauty ecosystem by launching its flagship offline store with personalized omni channel concept, the first of its kind in Indonesia. In 2019, Sociolla through Social Bella was awarded as Disruptor Award for the A-List: Forbes Indonesia’s Most Promising Growth-Stage Startups 2019 together with new rising startups. This year, Chrisanti Indiana, the Co-Founder & Chief Marketing Officer is also listed in the Forbes' 30 Under 30 Asia version.","Requirements :
Minimum bachelor degree or equivalent in IT/business administration or related field
Having at least 1-3 years of work experience as a product manager 
Able to work in a team and individually
Fast paced, agile and strong analytical thinking skills
Ms. Office and English proficiency
Ability to multitask and prioritize daily workload
Excellent verbal and written communications skills


Job Descriptions :
Coordinate with external divisions for any bug report or request
Asses PRD and brief the team for the feature/task 
Communicate with Lead of Platform 
Prepare and deliver the product as per requirement and users expectation"
3819786468,OutSystem Developer,https://www.linkedin.com/jobs/view/3819786468,VLink Inc,https://www.linkedin.com/company/vlink-inc/life,Jakarta Metropolitan Area,2 days ago,9,,On-site,,201-500 employees · IT Services and IT Consulting,,,"Role Introduction
OutSystems Low-Code Developer, you will be responsible for designing, developing, and maintaining scalable applications using the OutSystems low-code platform. Your role involves working closely with business stakeholders, understanding requirements, and delivering efficient and user-friendly solutions. Play a crucial part in the entire application development lifecycle, from concept to deployment.

Responsibilities
Design, develop, and implement web and mobile applications using the OutSystems low-code platform
Utilise visual development tools to create user interfaces, business logic, and data models
Integrate OutSystems applications with external systems, databases, and APIs
Ensure seamless data flow and interoperability with other enterprise systems 
Conduct unit testing and debugging to ensure the quality, reliability, and performance of developed applications
Provide ongoing support, troubleshooting, and maintenance for existing OutSystems applications 
Create and maintain technical documentation related to application design, development, and deployment

Requirements 
Bachelor's degree in Computer Science, Information Technology, or related field
Proficiency in using the OutSystems low-code platform for application development 
+2 years' of min experience in application development using the OutSystems low-code platform 
Strong problem-solving and analytical skills
Excellent communication and collaboration abilities
Understanding of best practices in software development and design
OutSystems certifications are a plus

Technologies 
Low Code Platform 
OutSystem 
Git 
Microsoft SQL Server"
3800538876,EPM Application Developer,https://www.linkedin.com/jobs/view/3800538876,VLink Inc,https://www.linkedin.com/company/vlink-inc/life,"Jakarta, Indonesia",3 weeks ago,9,,On-site,,201-500 employees · IT Services and IT Consulting,,,"Requirements : Preferred to have minimum 1 year using IBM Cognos TM1 Planning Analytics / SAP BPC / SAP BCS / Oracle Hyperion / Anaplan or any related financial planning and consolidation application. 
Skills : IBM Cognos TM1 Planning Analytics / SAP BPC / SAP BCS / Oracle Hyperion / Anaplan or any related financial planning and consolidation application, business knowledge related to corporate planning, budgeting and/or treasury, Microsoft Office Excel VB Macro Job 
Descriptions : Develop applications (New Applications, Change Requests, and Bug Fixing) EPM IBM Cognos TM1 Planning Analytics for users at Astra International Head Office in accordance with predetermined assignments and schedules."
3816011032,"Lead Data Engineer (Bangkok based, relocation provided)",https://www.linkedin.com/jobs/view/3816011032,Agoda,https://www.linkedin.com/company/agoda/life,"Bali, Indonesia",5 days ago,2,,Full-time,,"5,001-10,000 employees · Software Development",,,"About Agoda 

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

About Agoda

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world

Get to Know Our Team

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

Why Agoda Data Applications Team?

Our Data Engineering teams are at the intersection of business analytics, data warehousing and software engineering. Our job involves dealing with distributed systems, stream processing, computation and data governance at tens of PB Scale.

We focus on software engineering related to data replication, storage, centralized computation, and Data API’s. By providing our users with data products/tools, shared frameworks and data services, we enable our company to validate strategic decisions, make smarter choices, and react to the fast-changing world.

We are a small but passionate team with people from different nationalities working together on a single goal.

In this Role, you will get to

Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
Build, administer and scale data processing pipelines
Be comfortable navigating the following technology stack: Scala, Spark, java, Golang, Python3, scripting (Bash/Python), Hadoop, SQL, S3 etc
Improve scalability, stability, accuracy, speed and efficiency of our existing data systems
Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality
Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks 

What You’ll Need To Succeed

Bachelor’s degree in Computer Science /Information Systems/Engineering/related field
5+ years of experience in Data engineering
Good experience in Apache Spark
Expert level understanding of JVM and either Java or Scala
Experience debugging and reasoning about production issues is desirable
A good understanding of data architecture principles preferred
Any other experience with Big Data technologies / tools
SQL experience
Analytical problem-solving capabilities & experience
Systems administration skills in Linux

It’s great if you have

Good understanding of Hadoop ecosystems
Experience working with Open-source products
Python/Shell scripting skills
Working in an agile environment using test driven methodologies

#telaviv #jerusalem #IT #ENG #4 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #budapest #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #osaka #malta #amsterdam #oslo #warsaw #krakow #alrayyan #riyadh #jeddah #mecca #medina #singapore #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #london #manchester #edinburgh #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #jerusalem #IT #4 #bangalore #delhi #hyderabad #pune #singapore #beijing #shanghai #shenzhen #tokyo #seoul #hongkong #taipei #kualalumpur #jakarta #hochiminh #hochiminhcity #manila #instanbul #makati #dubai #riyadh #gurgaon #noida

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3820169102,Senior SDET - Engineering Platform (AEP),https://www.linkedin.com/jobs/view/3820169102,Gojek,https://www.linkedin.com/company/gojek/life,"Jakarta, Jakarta, Indonesia",2 days ago,6,,On-site,,"1,001-5,000 employees · Technology, Information and Internet",,,"About The Role

As an engineer in Automation Engineering platform you will be responsible to lead and implement the test strategy for automation by working closely with the product engineering group, design and develop tools and frameworks that help smoother development and testing process. You will also work on the latest cutting-edge internet/software technology.

What You Will Do

Conduct feature and exploratory tests on Mobile apps (Android, iOS)and API. Engage in continuous automation throughout agile development iterations to ensure zero defects
Work closely with the cross-functional product team, including PMs, Designers, Developers, and QA managers right from the inception of features
Create and execute the test cases for features with minimum guidance and maintain and add new cases in automation frameworks on either UI/API test level and reduce manual efforts during regression testing 
Participate in iteration planning, providing input on required testing tasks, processes, and associated effort for the selected user stories
Design, develop and execute test automation for relevant areas of ownership independently
Contribute to automation framework development (Libraries / new features / extensions)
Provide automated test coverage for corner cases, revenue, impact, usability, backend services, and exploratory testing
As a fast learner and team player, you’re comfortable teaching yourself new skills quickly and can thrive in a complex and fast-paced environment while making strong technical individual contributions

What You Will Need

4-6+ years of experience in the field of professional testing
Good prior experience in Manual & Automation test methodologies
Sound knowledge of testing/automating the tests at different layers of the application
Comfortable writing clean code in one programming language (Java/Kotlin is a plus)
Good Understanding of Tools like Selenium, Appium, Cucumber BDD, TestNG Maven/Gradle, and CI/CD tools like Jenkins, GitLab, etc
Should have exposure to tools like Postman, Charles Proxy/MITM 
Working knowledge of Git
Experience in developing test automation framework from scratch is a big plus"
3743697073,Senior iOS Engineer,https://www.linkedin.com/jobs/view/3743697073,Gojek,https://www.linkedin.com/company/gojek/life,"Jakarta, Jakarta, Indonesia"," ",100,,On-site,,"1,001-5,000 employees · Technology, Information and Internet",,,"About The Role

Are you interested in solving deep customer experience problems? Are you looking to build features which will be used by millions of customers everyday? Do you want to work with an amazing team?Then, this may be the role for you. As a member of the Customer platform team, you will be building the best user experience for Gojek's User. You would primarily focus on Gojek’s Home screen performance, Signup Screens flow, Account Management flows, App updater flow, Location selection flows, Analytics Metrics.

What You Will Do

Design, build and improve the mobile experiences for one of the world's fastest growing mobile apps
Partner with the product management team to define and execute the feature roadmap
Coordinate with cross functional teams (Backend, DevOps, Design etc.) on planning and execution
Proactively manage stakeholders communication related to deliverables, risks, changes and dependencies
Internalizes GOJEK values and uses them in day to day interaction as a second nature
Start mentoring or guiding SE1/SE2
Communicate, collaborate and work effectively across cross functional teams in a global environment

What You Will Need

At least 3+ years of experience with iOS development
Proficient in Swift programming, Cocoa, Xcode and the iOS SDK
Strong understanding of iOS Apps architecture and implementation
Ability to write model code for functional and nonfunctional requirements and help improve the code quality standard across the team
Working experience with popular libraries for networking, async, image loading etc
Well versed with Agile methodologies, TDD and Test Engineering and Automation

About The Team

Customer Platforms group is responsible for providing delightful experiences to more customers via sustainable and scalable product solutions This vertical is responsible for improving customer satisfaction towards the Gojek app and improving customer engagement by helping them discover new product offerings and experiences by providing functionality to reach a delightful experience.

About GoTo Group

GoTo Group is the largest digital ecosystem in Indonesia with its mission to “Empower Progress’ by offering technological infrastructure and solutions for everyone to access and thrive in the digital economy. The GoTo ecosystem consists of on-demand transportation services, food and grocery delivery, logistics and fulfillment, as well as financial and payment services through the Gojek and GoTo Financial platforms.It is the first platform in Southeast Asia that hosts these crucial cases in a single ecosystem, capturing the majority of Indonesia’s vast consumer household.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

GoTo and its business units, including Gojek, GoToFinancial and GoToLogistics (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels."
3815348303,iOS Developer,https://www.linkedin.com/jobs/view/3815348303,PT Sahabat Mikro Fintek,https://www.linkedin.com/company/sahabatmikrofintek/life,"Jakarta, Indonesia",1 week ago,15,,On-site,,201-500 employees · Financial Services,,,"Job Descriptions:
Coordinate between multiple cross-functional teams internally
Ability to independently code an iOS App end-to-end, drive code quality and peer code reviews
Ability to deliver high-quality software products based on requirements using Agile process
Ability to read, understand and translate specifications into coded solutions
Provide leadership to development teams and mentor subordinates by setting up standards and best practices for team
Stay up to date with the latest tech stacks or news on iOS app development to come up with new ideas on how the app can be improved.

Job Qualifications:
Bachelor’s degree in computer science or software engineering.
Proven experience as an app developer.
Proficient in Native Programming Language (Swift), 
Performance Optimization, Mobile Application Architecture
Extensive experience with iOS Frameworks such as Core Data and Core Animation.
Knowledge of iOS back-end services.
Knowledge of Apple’s design principles and application interface guidelines.
Proficient in code versioning tools including Mercurial, Git, and SVN.
Knowledge of C-based libraries.
Familiarity with push notifications, APIs, and cloud messaging.
Experience with continuous integration."
3780362852,Principal Software Engineer Back End (Bangkok based – Relocation provided),https://www.linkedin.com/jobs/view/3780362852,Agoda,https://www.linkedin.com/company/agoda/life,"Bali, Indonesia"," ",24,,Hybrid,,"5,001-10,000 employees · Software Development",,,"About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

In Agoda’s Back End Engineering department, we build the scalable, fault-tolerant systems and APIs that host our core business logic. Our systems cover all major areas of our business: inventory and pricing, product information, customer data, communications, partner data, booking systems, payments, FinTech and more. These mission-critical systems change frequently with dozens of releases per day, so we must employ state-of-the-art CI/CD and testing techniques in order to make sure everything works without any downtime. We also ensure that our systems are self-healing, responding gracefully to extreme loads or unexpected input. In order to accomplish this, we use state-of-the-art languages like Scala and Go, data technologies like Kafka and Spark, and agile development practices. Most importantly though, we hire great people from all around the world and empower them to be successful. Whether it’s building new projects like Flights and Packages or reimagining our existing business, you’ll make a big impact as part of the Back End Engineering team.

The Opportunity

You might call yourself “full stack” or “back end” or you might consider yourself an authority in a certain field, but you have a keen interest in how the different systems work together.

We’d love to hear from you if you are skilled in any of the technologies we work with (note – we are not looking for you to have them all). We are interested in speaking to persons of any level from individuals just starting their IT careers to experts in their field, although this particular position is better suitable to veteran engineers, with expertise in certain technologies, and especially those that had lead projects, initiatives and/or teams.

In This Role, You’ll Get to

Think and own the full life cycle of our products, not just a single piece of code – from business requirements, technology selection, coding standards, agile development, unit and application testing, to CI/CD and proper monitoring
Design, develop and maintain platforms across the back end area
Improve scalability, stability, and efficiency of our existing systems
Write great code and help others write great code
Collaborate with other teams and departments

What You’ll Need To Succeed

12+ years’ experience under your belt developing performance-critical applications that run in a production environment using Scala, Java or C#
Experience in leading projects, initiatives and/or teams, with full ownership of the systems involved
Data platforms like SQL, Cassandra or Hadoop. You understand that different applications have different data requirements
Good understanding of algorithms and data structures
Strong coding ability
You are passionate about the craft of software development and constantly work to improve your knowledge and skills
Excellent verbal and written English communication skills

It’s Great If You Have

Experience with Scrum/Agile development methodologies
Experience building large-scale distributed products
Core engineering infrastructure tools like Git for source control, TeamCity for Continuous Integration and Puppet for deployment
Hands-on experience working with technology like queueing systems (Kafka, RabbitMQ, ActiveMQ, MSMQ), Spark, Hadoop, NoSQL (Cassandra, MongoDB), Play framework, Akka library 

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #tokyo #osaka #kualalumpur #amsterdam #oslo #manila #warsaw #krakow #bucharest #moscow #saintpetersburg #capetown #johannesburg #seoul #barcelona #madrid #stockholm #zurich #taipei #bangkok #Phuket #istanbul #london #manchester #edinburgh #kiev #hcmc #hanoi #wroclaw #poznan #katowice #rio #salvador #IT #4 #5

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3816001714,"Lead Data Engineer (Fintech team) (Bangkok based, relocation provided)",https://www.linkedin.com/jobs/view/3816001714,Agoda,https://www.linkedin.com/company/agoda/life,"Bandung, East Java, Indonesia",5 days ago,3,,Full-time,,"5,001-10,000 employees · Software Development",,,"About Agoda 

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

About Agoda

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world

 Get to Know Our Team 

Fintech is one of the fastest growing areas in Agoda and we are rapidly expanding our tech team. We work closely with the finance business team and our Fintech product owners to reduce risk, drive efficiencies and move on new market opportunities in this exciting field. We have a wide range of projects from traditional finance or cutting-edge customer fintech. For example, reconciliation using Big Data technologies, growing and optimizing customer payments options, tax calculations in milli-second response times and a mesh of supplier payment options like vertical credit cards. Its a hot field and the perfect mix of data engineering and backend engineering.

 The Opportunity 

We are looking for engineers with experience in the fintech area. This can be a year or two at a fintech startup right through to an expert in this domain. You might have a background as ‘ back end ’ or ‘data’ engineer , either way we are looking for smart engineers who can be super agile, move fast and have an eye for detail. We’d love to hear from you if you are skilled in any of the technologies we work with and excited at building new fintech technology.

In this Role, you will get to

Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
Build, administer and scale data processing pipelines
Be comfortable navigating the following technology stack: Scala, Spark, java, Golang, Python3, scripting (Bash/Python), Hadoop, SQL, S3 etc
Improve scalability, stability, accuracy, speed and efficiency of our existing data systems
Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality
Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks 

What You’ll Need To Succeed

Bachelor’s degree in Computer Science /Information Systems/Engineering/related field
5+ years of experience in Data engineering
Good experience in Apache Spark
Expert level understanding of JVM and either Java or Scala
Experience debugging and reasoning about production issues is desirable
A good understanding of data architecture principles preferred
Any other experience with Big Data technologies / tools
SQL experience
Analytical problem-solving capabilities & experience
Systems administration skills in Linux

It’s great if you have

Good understanding of Hadoop ecosystems
Experience working with Open-source products
Python/Shell scripting skills
Working in an agile environment using test driven methodologies

#telaviv #jerusalem #IT #ENG #4 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #doha #alrayyan #riyadh #jeddah #mecca #medina #singapore #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #london #manchester #edinburgh #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #jerusalem #IT #4

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3796346526,Test Engineer,https://www.linkedin.com/jobs/view/3796346526,Sapphire Skyscraper Financial Technology (SSSPER),https://www.linkedin.com/company/sapphire-skyscraper-financial-technology/life,"Jakarta, Indonesia",3 weeks ago,100,,Full-time,,"11-50 employees · Technology, Information and Internet",,,"Job Description:
We are seeking a skilled Test Engineer to join our dynamic team. The Test Engineer will be responsible for ensuring the quality of our software products by identifying defects, creating and executing test cases, and collaborating with the development team to resolve issues.

Key Responsibilities:
- Develop and execute test cases to ensure the quality of software products
- Report, track, and verify defects to ensure timely resolution
- Collaborate with the development team to systematically correct defects
- Analyze test results to identify improvement opportunities for software products
- Create and maintain test plans and test cases
- Participate in design and code reviews to assess product quality
- Assist in the evaluation of new technologies and methodologies for ensuring software quality
- Work closely with cross-functional teams to ensure software products meet customer requirements and expectations

Qualifications:
- Bachelor's degree in Computer Science or related field
- Strong knowledge of testing methodologies and tools
- Familiarity with test automation frameworks and tools
- Experience in mobile app testing
- Solid understanding of software development concepts and lifecycles
- Excellent written and verbal communication skills
- Strong problem-solving and analytical abilities
- Self-motivated and able to work independently or as part of a team"
