id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,about_the_job
3778215871,"Software Developer – Avayas/Genesys (Bangkok-based, relocation provided)",htthttps://www.linkedin.com/jobs/view/3778215871,Agoda,https://www.linkedin.com/company/agoda/life," ",,1,,Full-time,,"5,001-10,000 employees · Software Development","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know our Team: 

The IT Infrastructure team operates all networks, servers, and storage platforms used to deliver services to Agoda’s customers. We support every product within the company, working with a wide range of systems and technology stacks. As part of the IT Infrastructure team, you’ll be working with over 25,000 server instances, one of the largest OpenStack private clouds in Asia, sophisticated Kubernetes-based compute engines, and a data platform capable of transporting and ingesting millions of data messages per second. Each of these opportunities – coupled with an open work environment – are a great way to gain experience on a modern and dynamic platform, constantly evolving to adapt to changes in the business landscape.

The opportunity:

In this role as Application Developer (Sr. System Engineer), you will lead the design, development and maintenance of advanced Contact Center solutions and Telephony Platform (Infrastructure) for a global contact center with approximately 2000 concurrent agents distributed across multiple locations of in-house agents and BPO agents (via VDI) around the world, leveraging your extensive software development expertise. This role involves not only technical proficiency but also leadership and mentoring responsibilities, guiding engineers on a virtual team with members located around the world.

In this Role, You’ll Get to

Lead the design of complex and strategic Contact center solutions, ensuring to align with the organization’s goals and customer experience objectives
Develop and maintain custom contact center applications, features, integrations and automation
Mentor and provide technical guidance to engineers, fostering their growth and development with documentation and knowledge sharing
Ensure contact center solutions adhere to security best practices and compliance with data privacy regulations
Lead efforts to optimize the performance of contact center systems and proactive monitoring for issues
Collaborate with cross-functional teams, including network engineers, system administrators, operation teams, external vendors and a notion to business users to deliver integrated contact center solutions that meet business objectives
Continuous Learning, stay updated with industry trends and emerging technologies related to contact center solution and development practices

What You’ll Need To Succeed

We require at least 5 years of experience in advanced Contact center solutions
Significant experience in software development and programming, with focus on Contact center technologies
Proven experience in software development, programming (e.g., Java, JavaScript, .NET) and scripting (eg., Powershell, Shell scripting)
Strong knowledge of contact center technologies
Exceptional problem solving and troubleshooting abilities
Good communication and collaboration in English skills
Good leadership and mentoring skill
Attention to detail and commitment to quality

It’s great if you have:

Experience on RPA and AI development for contact center

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #doha #alrayyan #riyadh #jeddah #mecca #medina #singapore #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #london #manchester #edinburgh #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #jerusalem #IT #4 #makati #bangalore #gurgaon #pune #gurugram #hyderabad #noida #chennai #mumbai #delhi #newdelhi #kolkata #jaipur

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
3772904319,"Software Engineer (AI-Powered Development), Trilogy (Remote) - $200,000/year USD",htthttps://www.linkedin.com/jobs/view/3772904319,Crossover ,https://www.linkedin.com/company/crossover/life," ",,21,,Remote,,"5,001-10,000 employees · IT Services and IT Consulting","Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Are you a seasoned software engineer with a deep interest in AI? Trilogy is on the lookout for exceptional engineers to lead the charge in adopting generative AI tools both in our development process and into our products.

Join us to work on our exciting product portfolio:

TeachTap: Bringing historical figures to life using AI, offering an engaging, TikTok-like learning experience to make learning more relevant and fun.
Educational Content Generation: Utilizing the latest in generative AI combined with comprehensive learning materials to create captivating content.
TeachTower: A game-based motivation system inspired by popular games like Roblox and Minecraft, designed to make learning irresistibly fun.
Coachbot: A learning copilot that integrates with existing apps, guiding learning paths, recommending next steps, and rewarding daily progress.
Data-driven Sales: A sales platform that leverages AI to provide real-time guidance to agents during calls, create personalized renewal plans, and quality control sales calls.
Crossover: An AI-powered hiring platform that sifts through millions of applicants annually to find the top 1% of global talent.

Your role will focus on integrating AI into engineering practices, using AI tools to increase efficiency and solve engineering tasks like coding and testing. Based on the obtained results, you will derive recipes and playbooks to be adopted by the broader engineering team. Maintaining high-quality standards in our codebases while ensuring high leverage of AI tools across our engineering teams will be a key part of your work.

You will be an integral part of our existing engineering team, working collaboratively on our suite of products to deeply understand our environment and needs. You will have the freedom to propose and experiment with new tools and then will leverage the insights and experiences obtained to evolve our processes, advocate for new tool adoption, or even spearhead the creation of small tools, bots, and frameworks to enhance our technical setup.

We seek candidates with a strong background in software engineering and a capacity for adapting to new technologies. Moreover, an interest in the latest generative AI developments and a drive for innovation are crucial. While our primary tech stack is AWS Serverless with TypeScript, we're looking for versatile engineers who can excel in a variety of technical environments and challenges.

What You Will Be Doing

Developing fully functional features, using AI tools to expedite delivery and enhance quality.
Performing experiments with AI to enhance engineering processes, including decomposition, solution design, code generation, and troubleshooting.
Documenting best practices and techniques in guides that enable others to harness the power of generative AI effectively.

What You Won’t Be Doing

Building new AI models from scratch; instead, your focus will be on leveraging and fine-tuning existing models to maximize efficiency.
Being confined to outdated technologies; we encourage an environment that thrives on dynamic tech stacks, fostering continuous innovation.

Software Engineer (AI-Powered Development) Key Responsibilities

Drive transformative change by establishing a framework that seamlessly integrates generative AI, significantly amplifying engineering productivity.

Basic Requirements

Minimum 5 years of experience in professional software development.
Minimum 3 years either as a lead engineer reviewing the work of other engineers or as an architect making important technical decisions.
Excited to use and explore new generative AI tools for software engineering tasks on a day-to-day basis

About Trilogy

Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $100 USD/hour, which equates to $200,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5106-ID-Yogyakar-SoftwareEngine1.005"
3758400362,Web Back-End Developer,htthttps://www.linkedin.com/jobs/view/3758400362,Turing,https://www.linkedin.com/company/turingcom/life," ",4 weeks ago,0,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A NASDAQ-listed technology innovator, renowned for its innovative approach and dynamic work environment, is seeking a Web Back-End Developer. This company consistently challenges the boundaries of technological advancements, setting new industry standards. The selected candidate will assume a pivotal role in the development and maintenance of a diverse range of applications, contributing significantly to the company's continued success and growth.

Job Responsibilities

Develop and maintain robust back-end systems using GraphQL, React, and Spring Boot
Debug, test, and troubleshoot multiple applications to ensure their efficiency, speed, and scalability
Collaborate with designers and engineers to develop user-friendly UIs
Conduct code analysis and suggest modifications to enhance code quality
Stay updated with market trends and innovative problem-solving strategies through research
Contribute to the continuous improvement of the company's products and services

Job Requirements

Bachelor’s/Master’s degree in Engineering, Computer Science, or equivalent experience
A minimum of 6-7 years of overall experience in the field
At least 1+ years of experience with GraphQL, React, and Spring Boot
Proven experience in developing and maintaining robust back-end systems
Strong understanding of software development life cycle (SDLC) and agile methodologies
Excellent problem-solving skills and attention to detail
Must be fluent in English and possess strong communication skills"
3758401408,Web Back-End Developer,htthttps://www.linkedin.com/jobs/view/3758401408,Turing,https://www.linkedin.com/company/turingcom/life," ",4 weeks ago,1,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A Silicon Valley-based company with a strong presence in the tech industry is in search of a Web Back-End Developer. The company is at the forefront of innovation, constantly redefining what's possible.

If you're a seasoned professional, this is your opportunity to make a significant impact by contributing to the development and maintenance of various applications.

Job Responsibilities:

Create efficient, reusable, and dependable Java code
Develop and maintain Microservices for diverse applications
Manage data storage solutions using Redis
Debug, test, and troubleshoot back-end components of applications
Collaborate with your team to design and launch new features
Play a key role in all phases of the development lifecycle, ensuring optimal performance, quality, and responsiveness of the applications

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
A minimum of 6-7 years of overall experience in Web Back-End Development
At least 1+ year/s of experience with Java
A minimum of 1+ year/s of experience in developing and maintaining Microservices
At least 1+ year/s of experience managing data storage solutions using Redis
Proficiency in agile methodologies and a strong understanding of the software development life cycle (SDLC)
Exceptional problem-solving skills and outstanding attention to detail
Fluency in English and excellent communication skills"
3762066510,Web Back-end Developer,htthttps://www.linkedin.com/jobs/view/3762066510,Turing,https://www.linkedin.com/company/turingcom/life," ",3 weeks ago,2,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A fast-scaling startup, leveraging advanced technologies to transform the digital landscape, is currently seeking a skilled Web Backend Developer. In this role, you will be responsible for managing the flow of data between the server and the users. The company is dedicated to delivering innovative solutions to complex challenges, driving growth and success in the digital realm. This is an exceptional opportunity to join a dynamic team in a fast-paced and rewarding environment.

Job Responsibilities:

Develop and maintain high-performance server-side logic to ensure quick response times to front-end requests.
Collaborate with front-end developers to seamlessly integrate user-facing elements with server-side logic.
Implement robust security measures and data protection protocols.
Design and implement effective data storage solutions.
Work closely with the team to identify and address performance and scalability issues.
Stay updated with emerging technologies and incorporate relevant updates into the existing platform.

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience).
Minimum of 3-5 years of web development experience.
At least 1+ years of hands-on experience in Go programming language.
Strong understanding of the web development cycle and proficient use of programming techniques and tools.
Proficiency in code versioning tools, such as Git.
Excellent problem-solving skills and ability to handle complex development tasks.
Exceptional English communication skills and ability to work collaboratively in a team."""
3758401388,Web Back-End Developer,htthttps://www.linkedin.com/jobs/view/3758401388,Turing,https://www.linkedin.com/company/turingcom/life," ",3 weeks ago,0,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A U.S.-based company, dedicated to leveraging advanced technologies to enhance the digital landscape, is in search of a Web Back-End Developer. In this role, you will oversee the efficient flow of data between the server and users. The company's mission is to provide innovative solutions to complex challenges, driving growth and success in the digital realm. This opportunity allows you to join a dynamic team and thrive in a fast-paced, rewarding environment.

Job Responsibilities:

Architect and maintain server-side logic to ensure high performance and responsiveness to front-end requests
Collaborate closely with front-end developers to seamlessly integrate user-facing elements with server-side logic
Implement comprehensive security and data protection measures to ensure user data privacy
Design and implement data storage solutions, optimizing data handling and storage efficiency
Collaborate with the team to identify and resolve performance and scalability issues
Stay informed about emerging technologies and apply relevant updates to the existing platform

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science, or equivalent experience
A minimum of 3-5 years of overall experience in web development
At least 2+ years of experience in the Go programming language
Profound understanding of the web development cycle and mastery of a variety of programming techniques and tools
Proficiency in code versioning tools, with a strong understanding of Git
Exceptional problem-solving skills and the ability to handle complex development tasks
Strong English communication skills and the capacity to excel in a team environment"
3762067552,Web Back-End Developer,htthttps://www.linkedin.com/jobs/view/3762067552,Turing,https://www.linkedin.com/company/turingcom/life," ",3 weeks ago,2,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A fast-scaling startup, celebrated for its innovative approach and the dynamic work environment we offer. Currently, they are seeking a Web Back-End Developer to be a part of their journey. The company has made significant strides in the tech industry, consistently pushing boundaries and setting new standards. This position is an exciting opportunity to significantly contribute to the company's ongoing success and growth.

Job Responsibilities:

Conduct thorough code analysis and provide suggestions to enhance code quality.
Collaborate with a team of designers and engineers to create cutting-edge, user-friendly UIs.
Stay updated with market trends and explore innovative problem-solving strategies through research.
Improve the efficiency, speed, and scalability of applications.
Develop and maintain robust back-end systems using GraphQL, React, and Spring Boot.
Leverage your wealth of experience to contribute to all phases of the software development life cycle.

Job Requirements:

Bachelor’s or Master’s degree in Engineering, Computer Science, or equivalent experience.
A minimum of 6-7 years of overall experience in the tech industry.
At least 1+ year/s of experience with GraphQL, React, and Spring Boot.
Proven expertise in developing and maintaining robust back-end systems.
A solid understanding of the software development life cycle (SDLC) and agile methodologies.
Exceptional problem-solving skills and meticulous attention to detail.
Proficiency in English with strong communication skills."
3762063877,Web Back-End Developer,htthttps://www.linkedin.com/jobs/view/3762063877,Turing,https://www.linkedin.com/company/turingcom/life," ",3 weeks ago,0,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","A NASDAQ-listed technology company renowned for its innovative approach and unwavering commitment to delivering cutting-edge solutions. Based in the heart of Silicon Valley, they remain consistently at the forefront of technological advancements, pushing boundaries and setting new industry standards. Currently, they are searching for a Web Back-End Developer, offering an exciting opportunity for dynamic and ambitious professionals to contribute to the ongoing success and growth.

As a Web Back-End Developer, your responsibilities include developing and maintaining robust back-end systems, leveraging your skills in GraphQL, React, and Spring Boot. You will diagnose, test, and troubleshoot issues in multiple applications to optimize their efficiency, speed, and scalability.

Job Responsibilities:

Develop and maintain robust back-end systems using GraphQL, React, and Spring Boot.
Diagnose, test, and resolve issues in multiple applications to optimize efficiency, speed, and scalability.
Collaborate closely with a team of talented designers and engineers to create user-friendly UIs.
Perform comprehensive code analysis and recommend enhancements to improve code quality.
Stay updated with industry trends and innovative problem-solving strategies through continuous research.
Contribute to the ongoing improvement of the company's products and services.

Job Requirements:

Bachelor’s or Master’s degree in Engineering, Computer Science, or equivalent experience.
A minimum of 8-10 years of overall experience in the field.
At least 1+ year/s of hands-on experience with GraphQL, React, and Spring Boot.
Proven track record in developing and maintaining robust back-end systems.
Strong understanding of the software development life cycle (SDLC) and agile methodologies.
Exceptional problem-solving skills and meticulous attention to detail.
Proficiency in English and effective communication skills."
3766699449,Web Backend Developer,htthttps://www.linkedin.com/jobs/view/3766699449,Turing,https://www.linkedin.com/company/turingcom/life," ",2 weeks ago,0,,Remote,,"1,001-5,000 employees · IT Services and IT Consulting","Job Description:

A well-established U.S.-based company, known for its innovative solutions, is in search of a Web Back-End Developer. Your role will involve managing the interchange of data between servers and users, ensuring high performance and responsiveness. The company's commitment to innovation and next-generation technology presents an exciting opportunity to be part of their dynamic team.

Job Responsibilities:

Develop and maintain server-side logic for high-performance and responsive systems.
Collaborate with front-end developers to seamlessly integrate user-facing elements with server-side logic.
Implement stringent security and data protection measures.
Design and implement efficient data storage solutions.
Utilize Java, Jenkins, and Mockito for back-end service development, testing, and deployment.
Collaborate with the team to identify and resolve system issues.

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science, or equivalent.
A minimum of 6-7 years of experience in web back-end development.
At least 1+ year/s of experience with Java.
1+ year/s of hands-on experience with Jenkins and Mockito.
Strong understanding of server-side templating languages and user authentication and authorization across multiple systems.
Proficiency with code versioning tools, such as Git.
Strong communication skills and fluency in English."
3739507909,Software Engineer,htthttps://www.linkedin.com/jobs/view/3739507909,Traveloka,https://www.linkedin.com/company/traveloka/life," ",1 month ago,320,,Full-time,,"1,001-5,000 employees · Software Development","It's fun to work in a company where people truly BELIEVE in what they're doing!



Job Description

Build, maintain, and document customer facing and non-customer facing features and functionalities in the Financing(Lending) domain
Write well-designed, maintainable, reliable, and testable code in Java, Kotlin
Build and maintain web tools using javascript, react, html and css
Build and maintain the product infrastructure
Integrate with internal or external system
Follow and ensure best engineering practices and the direction of our technical environment
Work with stakeholders across variety of business functions and teams
Share on-call rotation together with engineering team and be escalation contact for service incident



Requirements

Minimum 1 year of relevant industry experience as a Full stack/backend software engineer
Experience in object-oriented programming language (Java/Kotlin is preferable)
Experience in back-end web development
Experience in unit testing and integration testing
Understanding of building and maintaining high-performance web applications
Have good problem solving skill and critical thinking
Have good communication skill (Should be able to communicate with remote team members in English)
Experience in AWS Cloud environment is a plus
Experience in optimizing applications for performance is a plus
Experience in infrastructure as code is a plus
Experience in react framework is a plus



If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
