id,title,job_url,company,company_link,location,published_at,number_of_applicants_applied,employment_duration,work_location_type,work_experience_level,company_type,about_the_job
3718936340,Graphic Designer- Packaging Design,htthttps://www.linkedin.com/jobs/view/3718936340,,,,,0,,,,,
3786037090,Junior Graphic Designer (Remote Internship - Graphic Design),htthttps://www.linkedin.com/jobs/view/3786037090,,,,,0,,,,,
3779652583,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3779652583,,,,,0,,,,,
3779662076,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3779662076,,,,,0,,,,,
3785356107,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3785356107,GAO Tek Inc,https://www.linkedin.com/company/gao-tek-inc/life," ",2 days ago,56,,Remote,,51-200 employees · Civil Engineering,"Responsibilities

Unpaid Graphics Design Internship

(Virtual or Remote)

Benefits of this Internship?

3 certificates, One Certificate of Internship and two certificates related to their training at GAOTek Inc.
Get free training with professional and managerial staff from GAOTek Inc.
A lot of knowledge because you can dive straight into the world of work for fresh graduates.
Mentorship and guidance from experienced business development professionals.
Virtual and flexible, candidates can work from anywhere with a flexible schedule. 
Candidates do not have to pay any fees. On the other hand, the program does not offer candidates any compensation either.

Please understand that we only take candidates who are seriously interested in this internship opportunity and who are willing to work hard to learn, be productive and make contributions. Candidates do not have to pay any fees. On the other hand, the program does not offer candidates any compensation either. You are required to commit a duration of 3 to 6 months and a minimum of 20 hours per week. You can divide it freely as your free time. For example, you want to work 5 hours/day. Then, you only need 4 days to reach that 20hours commitment.

Duration Of The Internship

Shortest duration is 3 months
Longest duration is 6 months

Job Description

Create graphics, Edit images and videos.
Participate in a team to organize virtual (online) global conferences.
Use social media platforms such as LinkedIn to invite conference speakers, attendees, or sponsors.
Perform social marketing to promote the conferences and events and our products.
Agenda preparation, care of speakers, attendees, and sponsors, and events coordination.

Requirements

University Students that related to the field or position, people who have experiences in the related field, and people who have no experiences but have a strong interest in related field but of course with a supporting educational background.
Have an English skill (Since we are international company, then English is used for work, make daily/weekly report, and for weekly meeting with team leader).
People who willing to learn a lot of things and didn't expect any payment so just learned to work.
People who have time management since this is remote work, and usually didn’t have much time to learn to work seriously.
People who can commit to learn within a period determined by the company."
3709974437,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3709974437,,,,,0,,,,,
3745303819,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3745303819,,,,,0,,,,,
3772254062,Executive - Graphic Designer,htthttps://www.linkedin.com/jobs/view/3772254062,,,,,0,,,,,
3777885101,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3777885101,,,,,0,,,,,
3744981556,"Graphic Designer, Photo & Video Editor",htthttps://www.linkedin.com/jobs/view/3744981556,,,,,0,,,,,
3777879869,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3777879869,,,,,0,,,,,
3777068517,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3777068517,,,,,0,,,,,
3787741939,Freelance Graphic Designer (8 Hours / Day),htthttps://www.linkedin.com/jobs/view/3787741939,Lion & Lion,https://www.linkedin.com/company/lion&lion/life," ",1 day ago,61,,On-site,,51-200 employees · Advertising Services,"About Us

Lion & Lion is an award-winning, digital agency operating in Southeast Asia focusing on delivering impact to its clients’ businesses with an integrated, data-driven and strategically led approach to digital marketing. With offices in Kuala Lumpur, Singapore and Jakarta, and more than 120 digital specialists, Lion & Lion has a prestigious and growing portfolio of clients including Google, Bayer, F&N, Emborg, and more.

Your role

Designs and creates visual assets for all digital channels; social media, mobile, apps through style guides and optimized graphics for each format.
Comes up with Motion Graphics and determining technical requirements. Able to conceptualize, visualize and execute design projects diligently and in a timely manner.
Approaches projects as a team player.
Is a self-starter and stays self-motivated.
Thrives and innovates under challenging deadlines.

Your profile

Must have at least a Diploma/Degree in Graphic Design/Web Design/Multimedia or anything of its equivalent.
Preferably with two years working experience in the digital agency.
Must be familiar with Macintosh OS.
Must have the needed skills to use Adobe Illustrator, Adobe Photoshop, Adobe After effect and Adobe Premier.
Have excellent communication and interpersonal skills for both written and oral, especially in English.
Be independent, meticulous, proactive, results oriented, and able to work with minimum supervision.

Powered by JazzHR

bHHWVbUhbG"
3779855775,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3779855775,,,,,0,,Hybrid,,See how you compare to 73 applicants. Try Premium for IDR0,"Responsibilities

 Create Graphic design for any visuals needed
 Create, take and edit engaging photos and videos for content
 Brainstorm, develop and plan with a team for product, model, and campaign photoshoot.

Requirements

Female
Creative, good taste for design, visual, and photography
Minimum 1 year experience in fashion or apparel industry
Able to Operate Adobe Photoshop, Ilustrator or other design tools
Able to operate camera and editing videos are a plus point
Crazy in love with kids is a plus point!"
3784367275,UI/UX & Graphic Designer (Jakarta),htthttps://www.linkedin.com/jobs/view/3784367275,,,,,0,,"IDR5,500,000/yr - IDR7,000,000/yr",,See how you compare to 87 applicants. Try Premium for IDR0,"Responsibilities

Develop new design concepts, graphics, and layout.
Develop UI/UX Design for web and mobile apps
Create a key visual to support the concept of communication.
Control and supervise the creative execution process 
Ensure good visual quality for all output of the marketing channel and projects.
Research to be up to date with graphic design & UI/UX trends 
Ensure all projects are on track in terms of deliverables - quantity and quality

Requirements

Currently pursuing bachelor's degree in graphic design, informatics, arts or related majors and have excellent aesthetic judgment, have a good sense of colors and design.
Great communication skills and networking ability.
Good at operating design software (Figma, Adobe Photoshop, Illustrator, and Ad Sketch).
Strong attention to detail.
Have quick problem-solving skills is a plus
& kindly send your design & ui/ux portofolio through email career@sagaratech.com with subject ""Portofolio_(your name)"""
3787316385,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3787316385,PT Trucare Novatech Indonesia,https://www.linkedin.com/company/pt-trucare-novatech-indonesia/life," ",1 day ago,107,,Hybrid,,11-50 employees · Personal Care Product Manufacturing,"As a Graphic Designer at Truecare Novatech Indonesia, you will play a crucial role in visually communicating the brand's essence and promoting our products through creative and engaging designs. Your work will contribute to enhancing the overall aesthetic appeal of our marketing materials, packaging, and online presence. We are looking for a talented and passionate individual who can bring innovative design concepts to life and help elevate our brand in the competitive skincare industry.

Minimum Qualifications

 Bachelor's degree in Graphic Design, Visual Arts, or a related field.
 Proven experience as a graphic designer, preferably in the beauty or skincare industry. A portfolio showcasing a diverse range of design projects is required.
 Advanced skills in Adobe Creative Suite (Photoshop, Illustrator, InDesign, etc.) and other relevant design tools.
 Strong creative and conceptual thinking, with the ability to bring innovative ideas to the table.
 Meticulous attention to detail and a commitment to delivering high-quality, polished designs.
 Effective communication skills to collaborate with cross-functional teams and interpret design briefs.
 Ability to manage multiple projects simultaneously, meet deadlines, and work efficiently under pressure.
 A genuine interest in the skincare industry and a keen understanding of beauty and wellness trends."
3744328039,Graphic Designer,htthttps://www.linkedin.com/jobs/view/3744328039,,,,,0,,On-site,,See how you compare to 271 applicants. Try Premium for IDR0,"Company Description: Located in Bogor’s Cibinong City district, HARRIS Hotel Cibinong City is a four-minute drive to Cibinong City Mall, the largest shopping mall in the district. The hotel is surrounded by schools and medical facilities. It is a 13-minute drive to Cibinong train station and a 35-minute drive to Jungleland Adventure Park. Halim Perdanakusuma Airport is also a 45-minute drive away. The hotel will feature facilities such as meeting rooms, a swimming pool, restaurant, spa and gymnasium. Job Description:

Graphic Designer"
3774686629,Creative Graphic Designer of Glowbetter,htthttps://www.linkedin.com/jobs/view/3774686629,AVO Innovation Technology,https://www.linkedin.com/company/avo-innovation-&-technology/life," ",2 weeks ago,175,,On-site,,201-500 employees · Personal Care Product Manufacturing,"Create and design creative material for website, e-mails, social media and other marketing channel for various promotions and campaigns;
Deliver high-quality, on-board graphics to support a superior customer experience;
Enhance, retouch, format and manipulate digital images according to various end-needs;
Involvement in campaign and social photoshoots;
Working with a wide range of media, including adobe suites, photography, video, and other computer-aided design;
Thinking creatively to produce new ideas and concepts to contribute to the team.

Minimum Qualifications

Bachelor Degree in any major with min. 1-year experience in related field;
Familiar with Photoshop, Ai , and Corel Draw;
Adobe premiere and After effect is a plus;
Confidence to present and explain ideas;
Writing skill ( advertorial, catalogs, media releases, articles);
Have great sense of urgency, can-do attitude."
3776866930,Graphic Designer Intern (Paid),htthttps://www.linkedin.com/jobs/view/3776866930,,,,,0,,Hybrid,,See how you compare to 70 applicants. Try Premium for IDR0,"Koding Next, the leading coding and technology school in South-East Asia, is pleased to announce a new job opening – Internship Graphic Designer. You will join the team of professionals dedicated to the main mission - helping people to not only consume the technology but use its full potential. Koding Next is the most comprehensive coding school for children, teenagers, and adults in Indonesia.

Job Overview

As Graphic Designer Intern, you will be responsible for creative content, branding, designing marketing communications, translating verbal into visual. This role is suitable for a self-motivated and enthusiastic candidate with a genuine passion for design and working in a team.

Responsibilities

Design marketing communications (print and digital) including emails, marketing and social media campaigns and much more.
Design marketing materials, print and digital ads, enhancing of all visuals and pictures, logo & brand identity design.
Enhance the overall online experience and visual content on social media to lead to a higher online conversion rate.
Design presentations.

Requirements

Last year student or Fresh Graduate in any major
Intermediate in English
Have experience in a similar position
Good experience in Adobe design software (Illustrator, Photoshop etc)
Readiness to work in Kemayoran, Jakarta"
